id,TreEL200607280
info,visteam,AkrEL
info,hometeam,TreEL
info,date,2006/07/28
play,4,0,452245,,,D7/F.1-3
play,4,0,447800,,,6/L
play,4,1,451668,,,6/P
play,4,1,455369,,,K
play,4,1,446858,,,K
play,5,0,448170,,,43/G
play,5,0,452269,,,W
play,5,0,430653,,,SB2
play,5,0,430653,,,S7/G.2-3
play,5,0,430929,,,K
play,5,0,435626,,,7/F
play,5,1,455167,,,S7/G
play,5,1,435408,,,64(1)3/GDP/G6
play,5,1,435405,,,E5
play,5,1,450363,,,SB2
play,5,1,450363,,,K
play,6,0,455723,,,D9/G
play,6,0,435625,,,S9/F.2-H
play,6,0,452245,,,S9/F.1-H;B-3
play,6,0,447800,,,63/G
play,6,0,448170,,,K
play,6,0,452269,,,D7/F.3-H
play,6,0,430653,,,4/P
play,6,1,451629,,,3/G
play,6,1,460652,,,43/G
play,6,1,451668,,,S5/G
play,6,1,455369,,,K
play,7,0,430929,,,NP
sub,435461,Francisco Butto,1,0,1
play,7,0,430929,,,53/G
play,7,0,435626,,,13/G
play,7,0,455723,,,S8/L
play,7,0,435625,,,S8/L.1-2
play,7,0,452245,,,13/G
play,7,1,446858,,,NP
sub,461212,Matt Palmer,0,0,1
play,7,1,446858,,,43/G
play,7,1,455167,,,K
play,7,1,435408,,,K
play,8,0,447800,,,D7/F
play,8,0,448170,,,NP
sub,454536,Randy Walter,0,5,12
play,8,0,448170,,,K
play,8,0,452269,,,43/G.2-3
play,8,0,430653,,,D8/F.3-H
play,8,0,430929,,,6/P
play,8,1,435405,,,NP
sub,454536,Randy Walter,0,5,10
play,8,1,435405,,,3/P
play,8,1,450363,,,7/L
play,8,1,451629,,,S8/G
play,8,1,460652,,,13/G
play,9,0,435626,,,NP
sub,462528,Jeremy King,1,0,1
play,9,0,435626,,,S4/G
play,9,0,455723,,,7/F
play,9,0,435625,,,SB2
play,9,0,435625,,,W
play,9,0,452245,,,W.1-2;2-3
play,9,0,454536,,,K
play,9,0,448170,,,K
play,9,1,451668,,,NP
sub,455730,Jason Waddell,0,0,1
play,9,1,451668,,,S9/L
play,9,1,455369,,,6/L
play,9,1,446858,,,3/P
play,9,1,455167,,,3/P
id,TreEL200604150
info,visteam,ConEL
info,hometeam,TreEL
info,date,2006/04/15
