id,BoiNWL200606220
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/22
start,453183,Deryck Lewis,1,4,7
start,488859,Ryan Episcopo,1,5,10
start,444453,Russell Canzler,1,6,3
start,453341,Joshua Lansford,1,7,5
start,503351,Blake Lalli,1,8,2
start,501795,Matt Matulia,1,9,6
start,445153,Darin Downs,1,0,1
play,1,0,502423,,,43/G
play,1,0,453245,,,7/F
play,1,0,453327,,,43/G
play,1,1,501865,,,W
play,1,1,502182,,,6(1)3/G6/GDP
play,1,1,448293,,,9/F
play,2,0,501896,,,63/G
play,2,0,459945,,,43/G
play,2,0,489415,,,9/F
play,2,1,453183,,,E5/TH
play,2,1,488859,,,SB2;1-3(E2/TH)
play,2,1,488859,,,8/SF.3-H
play,2,1,444453,,,K
play,2,1,453341,,,S9/G
play,2,1,503351,,,31/G
play,3,0,502472,,,3/PF
play,3,0,471055,,,D9/F
play,3,0,501793,,,E4.2-H
play,3,0,502423,,,K
play,3,0,453245,,,7/F
play,3,1,501795,,,3/G
play,3,1,501865,,,K
play,3,1,502182,,,31/G
play,4,0,453327,,,W
play,4,0,501896,,,HP.1-2
play,4,0,459945,,,D9/F.1-3;2-H
play,4,0,489415,,,K
play,4,0,502472,,,43/G.2-3;3-H
play,4,0,471055,,,K
play,4,1,448293,,,S8/G
play,4,1,453183,,,FC5/G.1X2(54);B-1
play,4,1,488859,,,S9/G.1-3
play,4,1,444453,,,54(1)3/GDP/G5
play,5,0,501793,,,S9/F
play,5,0,502423,,,S8/G.1-2
play,5,0,453245,,,S8/F.1-3;2-H;B-2
play,5,0,453327,,,S9/F.2-3;3-H
play,5,0,501896,,,NP
sub,467028,Alfredo Francisco,1,0,1
play,5,0,501896,,,D7/F.1-H;3-H
play,5,0,459945,,,S7/G.2-3
play,5,0,489415,,,S7/F.1-2;3-H
play,5,0,502472,,,54(1)3/GDP/G5.2-3
play,5,0,471055,,,D9/F.3-H
play,5,0,501793,,,K
play,5,1,453341,,,NP
sub,453970,Ben Krosschell,0,0,1
play,5,1,453341,,,63/G
play,5,1,503351,,,53/G
play,5,1,501795,,,K
play,6,0,502423,,,9/L
play,6,0,453245,,,W
play,6,0,453327,,,8/F
play,6,0,501896,,,E5.1-2
play,6,0,459945,,,PB.1-2;2-3
play,6,0,459945,,,6/P
play,6,1,501865,,,NP
sub,489393,Geoff Vandel,0,0,1
play,6,1,501865,,,W
play,6,1,502182,,,K
play,6,1,448293,,,D7/F.1-H
play,6,1,453183,,,W
play,6,1,488859,,,W.1-2;2-3
play,6,1,444453,,,S6/G.1-2;2-3;3-H
play,6,1,453341,,,64(1)3/GDP/G6
play,7,0,489415,,,W
play,7,0,502472,,,D8/F.1-3
play,7,0,471055,,,6/L
play,7,0,501793,,,S8/F.2-3;3-H
play,7,0,502423,,,NP
sub,493256,Alessandro Maestri,1,0,1
play,7,0,502423,,,64(1)3/GDP/G6
play,7,1,503351,,,43/G
play,7,1,501795,,,W
play,7,1,501865,,,8/F
play,7,1,502182,,,S7/F.1-3
play,7,1,448293,,,13/G
play,8,0,453245,,,8/F
play,8,0,453327,,,63/G
play,8,0,501896,,,43/G
play,8,1,453183,,,K
play,8,1,488859,,,7/F
play,8,1,444453,,,HR/F
play,8,1,453341,,,63/G
play,9,0,459945,,,NP
sub,456078,Welington Castillo,1,8,2
play,9,0,459945,,,K
play,9,0,489415,,,S8/F
play,9,0,502472,,,WP.1-2
play,9,0,502472,,,K
play,9,0,471055,,,63/G
play,9,1,456078,,,NP
sub,457117,Ernesto Frieri,0,0,1
play,9,1,456078,,,S9/F
play,9,1,501795,,,5/P
play,9,1,501865,,,FC4/G.1X2(46);B-1
play,9,1,502182,,,7/F
id,BoiNWL200606210
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/21
start,502423,Michael Epping,0,1,8
start,453245,Tom King,0,2,6
start,453327,Matt Antonelli,0,3,5
start,489322,Casey Smith,0,4,3
start,459945,Craig Cooper,0,5,10
start,450600,Luke Cannon,0,6,7
start,464368,Willy Crafort,0,7,9
start,496169,Matt Stocco,0,8,2
start,453319,Raymond Stokes,0,9,4
start,455359,Orlando Lara,0,0,1
start,501865,Matt Camp,1,1,8
start,501795,Matt Matulia,1,2,4
start,448293,Alfred Joseph,1,3,9
start,467061,Elvin Puello,1,4,5
start,488859,Ryan Episcopo,1,5,7
start,444453,Russell Canzler,1,6,3
start,453341,Joshua Lansford,1,7,10
start,501830,Matthew Canepa,1,8,2
start,469196,Sammy Baez,1,9,6
start,459336,Billy Petrick,1,0,1
play,1,0,502423,,,S4/G
play,1,0,453245,,,SB2
