id,AanAZL200606230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2006/06/23
play,7,0,450856,,,4/P
play,7,0,470468,,,7/F
play,7,0,459765,,,S8/F
play,7,0,451130,,,WP.1-2
play,7,0,451130,,,4/P
play,7,1,502206,,,6/P
play,7,1,501921,,,D7/G
play,7,1,489135,,,BK.2-3
play,7,1,489135,,,K
play,7,1,459968,,,9/F
play,8,0,502052,,,43/G
play,8,0,463594,,,3/G
play,8,0,463011,,,D8/L
play,8,0,447740,,,43/G
play,8,1,502575,,,K
play,8,1,474233,,,S8/L
play,8,1,455117,,,WP.1-2
play,8,1,472569,,,NP
sub,464423,Carlos Colmenares,1,4,12
play,8,1,455117,,,8/F
play,8,1,472569,,,S9/F.2-H
play,8,1,446411,,,POCS2(136)
play,9,0,502670,,,NP
sub,464423,Carlos Colmenares,1,4,10
play,9,0,450856,,,NP
sub,425778,Matt Hensley,1,0,1
play,9,0,502670,,,E6
play,9,0,450856,,,3/SH.1-2
play,9,0,470468,,,3/PF
play,9,0,459765,,,9/F
play,9,1,502206,,,NP
sub,464359,Miguel Marrero,0,0,1
play,9,1,446411,,,7/L
play,9,1,502206,,,S7/F
play,9,1,501921,,,S5/BG.1-2
play,9,1,489135,,,S7/F.1-2;2-H
id,AanAZL200606280
info,visteam,AcuAZL
info,hometeam,AanAZL
info,date,2006/06/28
start,469807,Lisandro Rosario,0,1,10
start,503556,Marwin Gonzalez,0,2,5
start,503567,Ryan Lilly,0,3,4
start,503562,Jeremy Williams,0,4,9
start,452102,Cody Gilbert,0,5,7
start,453284,Blake Parker,0,6,3
start,502122,Clifford Andersen,0,7,8
start,469207,Carlos Perez,0,8,2
start,502320,Cesar Valentin,0,9,6
start,456379,Alberto Alburquerque,0,0,1
start,501921,Alex Fonseca,1,1,4
start,464423,Carlos Colmenares,1,2,6
start,502575,Matthew Sweeney,1,3,5
start,474233,Hank Conger,1,4,10
start,446411,Seth Loman,1,5,3
