id,VerFSL200604070
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2006/04/07
play,7,0,448276,,,NP
sub,470462,Ramon Troncoso,1,0,1
play,7,0,448276,,,S8/L
play,7,0,452256,,,S8/G.1-3
play,7,0,452092,,,SB2
play,7,0,452092,,,D8/F.2-H;3-H
play,7,0,450270,,,K
play,7,0,460225,,,53/G.2-3
play,7,0,452238,,,31/G
play,7,1,462569,,,NP
sub,458949,Kurt Koehler,0,0,1
play,7,1,462569,,,3/P
play,7,1,449082,,,K
play,7,1,111232,,,8/F
play,8,0,452989,,,K
play,8,0,452246,,,K
play,8,0,448654,,,D7/F
play,8,0,448276,,,HR/F.2-H
play,8,0,452256,,,K
play,8,1,458239,,,NP
sub,445984,Jesus Delgado,0,0,1
play,8,1,458239,,,S8/F
play,8,1,451640,,,K
play,8,1,448596,,,FC4/G.1X2(46);B-1
play,8,1,489134,,,SB2+WP.2-3;B-1
play,8,1,455088,,,S8/G.1-2;3-H
play,8,1,451614,,,K
play,9,0,452092,,,NP
sub,466936,Albenis Castillo,1,0,1
play,9,0,452092,,,43/G
play,9,0,450270,,,63/G
play,9,0,460225,,,K
play,9,1,462569,,,NP
sub,460648,Harvey Garcia,0,0,1
play,9,1,462569,,,K
play,9,1,449082,,,S9/G
play,9,1,111232,,,K
play,9,1,458239,,,K
id,VerFSL200604190
info,visteam,JupFSL
info,hometeam,VerFSL
info,date,2006/04/19
start,460225,Juan Gonzalez,0,1,6
start,452989,Edgar V Gonzalez,0,2,4
start,452246,Brad McCann,0,3,3
start,448654,Grant Psomas,0,4,5
start,448276,Brett Carroll,0,5,9
start,452256,Steve Gendron,0,6,7
start,452092,Juan Figueroa,0,7,10
start,467788,Greg Brown,0,8,2
start,455687,Jai Miller,0,9,8
start,489082,Jacob Marceaux,0,0,1
start,448596,David Nicholson,1,1,6
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,4
start,462569,Ryan Carter,1,4,7
start,445172,Chris Westervelt,1,5,10
start,449082,Xavier Paul,1,6,9
start,111232,Pat Borders,1,7,2
start,489134,Jason Mooneyham,1,8,3
start,460578,Jimmy Rohan,1,9,5
start,455106,Blake Johnson,1,0,1
play,1,0,460225,,,W
play,1,0,452989,,,3/G.1-2
play,1,0,452246,,,53/G
play,1,0,448654,,,BK.2-3
play,1,0,448654,,,W
play,1,0,448276,,,S9/F.1-2;3-H
play,1,0,452256,,,WP.1-2;2-3
play,1,0,452256,,,K
play,1,1,448596,,,S8/L
play,1,1,469845,,,K
play,1,1,455088,,,SB2
play,1,1,455088,,,E3.2-3
play,1,1,462569,,,7/SF.3-H
play,1,1,445172,,,8/F
play,2,0,452092,,,43/G
play,2,0,467788,,,53/G
play,2,0,455687,,,63/G
play,2,1,449082,,,W
play,2,1,111232,,,SB2
play,2,1,111232,,,S9/L.2-H
play,2,1,489134,,,K
play,2,1,460578,,,D7/F.1-3
play,2,1,448596,,,K
play,2,1,469845,,,3/P
play,3,0,460225,,,K
play,3,0,452989,,,D9/F
play,3,0,452246,,,9/F
play,3,0,448654,,,2/PF
play,3,1,455088,,,W
play,3,1,462569,,,K
play,3,1,445172,,,PB.1-2
play,3,1,445172,,,W
play,3,1,449082,,,S7/F.1-2;2-3
play,3,1,111232,,,2/PF
play,3,1,489134,,,K
play,4,0,448276,,,S5/BG
play,4,0,452256,,,CS2
play,4,0,452256,,,K
play,4,0,452092,,,31/G
play,4,1,460578,,,63/G
play,4,1,448596,,,K
play,4,1,469845,,,D8/F
play,4,1,455088,,,S9/G.2-H;B-2
play,4,1,462569,,,K
play,5,0,467788,,,63/G
play,5,0,455687,,,13/G
play,5,0,460225,,,7/F
play,5,1,445172,,,NP
sub,450258,Adam Brandenburg,0,0,1
play,5,1,445172,,,23/G
play,5,1,449082,,,E1/TH
play,5,1,111232,,,E5.1-3
play,5,1,489134,,,HP.1-2
play,5,1,460578,,,W.1-2;2-3;3-H
play,5,1,448596,,,4/P
play,5,1,469845,,,9/F
play,6,0,452989,,,S8/L
play,6,0,452246,,,5/P
