id,IowPCL200505040
info,visteam,NasPCL
info,hometeam,IowPCL
info,date,2005/05/04
play,3,0,346867,,,D7/F
play,3,0,407356,,,S8/G.2-H
play,3,0,430571,,,13/G
play,3,1,425655,,,K
play,3,1,447789,,,13/G
play,3,1,150273,,,K
play,4,0,430261,,,K
play,4,0,449448,,,S7/L
play,4,0,276345,,,9/F
play,4,0,425794,,,43/G
play,4,1,407778,,,K
play,4,1,115370,,,63/G
play,4,1,430917,,,43/G
play,5,0,425659,,,W
play,5,0,279912,,,S8/G.1-3;BX2(854)
play,5,0,346867,,,S8/F.3-H
play,5,0,407356,,,HR/F.1-H
play,5,0,430571,,,6/P
play,5,0,430261,,,63/G
play,5,1,451687,,,9/F
play,5,1,434567,,,K
play,5,1,150225,,,13/G
play,6,0,449448,,,31/G
play,6,0,276345,,,8/F
play,6,0,425794,,,163/G1
play,6,1,425655,,,NP
sub,430639,Richard Lewis,1,9,11
play,6,1,430639,,,6/P
play,6,1,447789,,,K
play,6,1,150273,,,S8/G
play,6,1,407778,,,7/F
play,7,0,425659,,,NP
sub,112940,Will Cunnane,1,9,1
play,7,0,425659,,,63/G
play,7,0,279912,,,D8/F
play,7,0,346867,,,HR/F.2-H
play,7,0,407356,,,S9/F
play,7,0,430571,,,WP.1-2
play,7,0,430571,,,8/F
play,7,0,430261,,,W
play,7,0,449448,,,S8/F.1-2;2-H
play,7,0,276345,,,FC6/G.1X2(64)
play,7,1,115370,,,63/G
play,7,1,430917,,,2/PF
play,7,1,451687,,,W
play,7,1,434567,,,S8/G.1-2
play,7,1,150225,,,K
play,8,0,425794,,,NP
sub,115370,Shane Halter,1,4,6
play,8,0,425659,,,NP
sub,150304,Kevin McGlinchy,1,8,1
play,8,0,279912,,,NP
sub,133140,Scott McClain,1,9,5
play,8,0,425794,,,NP
sub,115224,Wilton Guerrero,0,9,11
play,8,0,115224,,,K
play,8,0,425659,,,6/P
play,8,0,279912,,,7/F
play,8,1,133140,,,NP
sub,407867,Jimmy Journell,0,1,1
play,8,1,447789,,,NP
sub,115224,Wilton Guerrero,0,9,4
play,8,1,133140,,,K
play,8,1,447789,,,K
play,8,1,150273,,,S9/G
play,8,1,407778,,,WP.1-2
play,8,1,407778,,,53/G
play,9,0,346867,,,4/P
play,9,0,407356,,,4/P
play,9,0,430571,,,31/G
play,9,1,115370,,,NP
sub,434118,Carmen Cali,0,1,1
play,9,1,115370,,,S9/G
play,9,1,430917,,,S8/G.1-2
play,9,1,451687,,,T9/L.1-H;2-H
play,9,1,434567,,,S6/G.3-H
play,9,1,150304,,,NP
sub,116248,Trenidad Hubbard,1,8,11
play,9,1,116248,,,K
play,9,1,133140,,,WP.1-2
play,9,1,133140,,,W
play,9,1,447789,,,NP
sub,435401,Skip Schumaker,0,1,8
play,9,1,150273,,,NP
sub,279912,Raul Gonzalez,0,2,7
play,9,1,407778,,,NP
sub,124171,Gabe White,0,4,1
play,9,1,447789,,,K
play,9,1,150273,,,S8/F.1-2;2-H
play,9,1,407778,,,3/P
id,IowPCL200505070
info,visteam,MemPCL
info,hometeam,IowPCL
info,date,2005/05/07
start,435401,Skip Schumaker,0,1,8
start,425659,Hector Luna,0,2,4
start,279912,Raul Gonzalez,0,3,9
start,346867,Scott Seabol,0,4,5
start,407356,Brandon Berger,0,5,7
start,430571,John Gall,0,6,3
start,449448,John Nelson,0,7,6
start,276345,Javier Cardona,0,8,2
start,424184,Shawn Sedlacek,0,9,1
start,116248,Trenidad Hubbard,1,1,7
start,150273,Calvin Murray,1,2,8
start,430917,Mike Fontenot,1,3,5
start,407778,David Kelton,1,4,9
start,115370,Shane Halter,1,5,6
start,451687,James Hoffpauir,1,6,3
start,430639,Richard Lewis,1,7,4
start,434567,Geovany Soto,1,8,2
start,430594,Renyel Pinto,1,9,1
play,1,0,435401,,,K
play,1,0,425659,,,63/G
play,1,0,279912,,,E5
play,1,0,346867,,,HR/F.1-H
play,1,0,407356,,,D7/F
play,1,0,430571,,,3/PF
play,1,1,116248,,,HP
play,1,1,150273,,,W.1-2
play,1,1,430917,,,K
play,1,1,407778,,,W.1-2;2-3
play,1,1,115370,,,W.1-2;2-3;3-H
play,1,1,451687,,,FC7/G.1X3(75);2-H;3-H;B-1(E3/TH)
play,1,1,430639,,,S9/L.1-2
play,1,1,434567,,,S9/L.1-2;2-H
play,1,1,430594,,,W.1-2;2-3
play,1,1,116248,,,9/F
play,2,0,449448,,,W
play,2,0,276345,,,W.1-2
play,2,0,424184,,,24/SH.1-2;2-3
play,2,0,435401,,,3/G.2-3;3-H
play,2,0,425659,,,K
play,2,1,150273,,,HR/F
play,2,1,430917,,,7/F
play,2,1,407778,,,7/F
play,2,1,115370,,,63/G
play,3,0,279912,,,S8/L
play,3,0,346867,,,W.1-2
play,3,0,407356,,,S9/L.1-2;2-3
play,3,0,430571,,,S8/L.1-3;2-H;3-H
play,3,0,449448,,,S9/L.1-2;3-H
play,3,0,276345,,,NP
sub,400127,Travis Phelps,1,9,1
play,3,0,276345,,,S8/L.1-2;2-H
play,3,0,424184,,,14/SH.1-2;2-3
play,3,0,435401,,,K
play,3,0,425659,,,W
play,3,0,279912,,,K
play,3,1,451687,,,W
play,3,1,430639,,,W.1-2
play,3,1,434567,,,NP
sub,429982,Evan Rust,0,9,1
play,3,1,434567,,,3/G.1-2;2-3
play,3,1,400127,,,W
play,3,1,116248,,,WP.1-2;2-3;3-H
play,3,1,116248,,,W
play,3,1,150273,,,9/F
play,3,1,430917,,,S8/L.1-2;2-3;3-H
play,3,1,407778,,,D9/F.1-H;2-H;3-H
play,3,1,115370,,,NP
sub,111241,Toby Borland,0,9,1
play,3,1,115370,,,3/PF
play,4,0,346867,,,63/G
play,4,0,407356,,,S8/L
play,4,0,430571,,,D7/F.1-H
play,4,0,449448,,,K
play,4,0,276345,,,IW
play,4,0,111241,,,S7/L.1-2;2-H
play,4,0,435401,,,43/G
play,4,1,451687,,,S7/L
play,4,1,430639,,,S1/G.1-2
play,4,1,434567,,,5(B)54(2)/LDP
play,4,1,400127,,,13/G
play,5,0,425659,,,NP
sub,111244,Joe Borowski,1,9,1
play,5,0,425659,,,31/G
play,5,0,279912,,,13/G
play,5,0,346867,,,63/G
play,5,1,116248,,,D7/F
play,5,1,150273,,,63/G.2-3
play,5,1,430917,,,W
play,5,1,407778,,,46(1)3/GDP/G4
play,6,0,407356,,,63/G
play,6,0,430571,,,63/G
