id,AanAZL200506230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2005/06/23
play,8,0,457111,,,K
play,8,0,489029,,,HP.1-2
play,8,0,446120,,,NP
sub,457136,Samuel Hernandez,0,9,12
play,8,0,446120,,,WP.1-2;2-3
play,8,0,446120,,,W
play,8,0,465017,,,W.1-2;2-3;3-H
play,8,0,488988,,,46(1)3/GDP/G4
play,8,1,457756,,,NP
sub,457136,Samuel Hernandez,0,9,10
play,8,1,456483,,,NP
sub,459331,Leandro Noboa,0,0,1
play,8,1,457756,,,S8/L
play,8,1,456483,,,SB2;1-3(E2)(E2/TH)
play,8,1,456483,,,W
play,8,1,457116,,,HP.1-2
play,8,1,489215,,,E5/TH.1-2;2-3;3-H
play,8,1,489283,,,D8/F.1-3;2-H;3-H
play,8,1,446574,,,FLE2/PF
play,8,1,446574,,,53/G.3-H
play,8,1,488889,,,PB.2-3
play,8,1,488889,,,E6.3-H
play,8,1,455117,,,S7/F.1-3;B-2
play,8,1,489135,,,S9/F.2-3;3-H
play,8,1,457756,,,S8/F.1-2;3-H
play,8,1,456483,,,46(1)3/GDP/G4
play,9,0,448856,,,6/L
play,9,0,450856,,,W
play,9,0,448260,,,K
play,9,0,476960,,,E6.1-2
play,9,0,457111,,,3/P
id,AanAZL200507020
info,visteam,ApaAZL
info,hometeam,AanAZL
info,date,2005/07/02
start,468487,Tim Turner,0,1,8
start,448612,Matt Thayer,0,2,9
start,461416,William Venable,0,3,7
start,452035,Kyle Blanks,0,4,3
start,446653,Jose Lobaton,0,5,10
start,489821,Clint Cleland,0,6,5
start,459422,Billy Killian,0,7,10
start,449062,Abraham Aguilar,0,8,6
start,489924,David Parker,0,9,4
start,450862,Juan Jimenez,0,0,1
start,488889,Cody Fuller,1,1,8
start,456483,Larry Infante,1,2,4
start,457756,Patrick Phillips,1,3,6
start,456505,Matt Ryan,1,4,3
start,489283,Darrell Sales,1,5,5
start,446574,Tyler Johnson,1,6,7
