id,WisMDW200604060
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/06
play,6,1,473213,,,43/G
play,7,0,453014,,,E5
play,7,0,452767,,,W.1-2
play,7,0,448650,,,S7/L.1-2;2-3
play,7,0,462944,,,5/P
play,7,0,489356,,,K
play,7,0,472505,,,FC6/G.1X2(64)
play,7,1,459431,,,NP
sub,459894,Jeff Teasley,0,0,1
play,7,1,459431,,,S6/G
play,7,1,451178,,,8/L
play,7,1,489279,,,SB2
play,7,1,489279,,,K
play,7,1,472528,,,K
play,8,0,459949,,,NP
sub,458258,Joseph Woerman,1,0,1
play,8,0,459949,,,K
play,8,0,456989,,,K
play,8,0,455139,,,6/P
play,8,1,488897,,,K
play,8,1,466307,,,K
play,8,1,451587,,,9/F
play,9,0,453014,,,NP
sub,465599,Edgar Guaramato,1,0,1
play,9,0,453014,,,43/G
play,9,0,452767,,,HP
play,9,0,448650,,,WP.1-2
play,9,0,448650,,,K
play,9,0,462944,,,63/G
id,WisMDW200604090
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/09
start,488922,Davy Gregg,0,1,8
start,455139,Robinson Chirinos,0,2,4
start,489356,Brandon Taylor,0,3,5
start,448650,Ryan Norwood,0,4,3
start,462944,Alberto Garcia,0,5,2
start,472505,Jesus Valdez,0,6,7
start,459949,Johnny Defendis,0,7,9
start,461861,Mark Reed,0,8,2
start,489004,Dylan Johnston,0,9,6
start,468408,Jesus Yepez,0,0,1
start,452727,Casey Craig,1,1,7
start,490563,Robert Hudson,1,2,6
start,463622,Ronald Garth,1,3,5
start,451178,Jeffrey Flaig,1,4,3
start,459431,Michael Saunders,1,5,10
start,472528,Luis Valbuena,1,6,4
start,488897,Alex Gary,1,7,8
start,466307,Eddy Hernandez,1,8,9
start,489822,Nicholas Prosise,1,9,2
start,468477,Marwin Vega,0,0,1
play,1,0,488922,,,63/G
play,1,0,455139,,,6/P
play,1,0,489356,,,2/PF
play,1,1,452727,,,43/G
play,1,1,490563,,,4/L
play,1,1,463622,,,4/P
play,2,0,448650,,,K
play,2,0,462944,,,63/G
play,2,0,472505,,,63/G
play,2,1,451178,,,4/P
play,2,1,459431,,,143/G1
play,2,1,472528,,,43/G
