id,GbrGCL200606210
info,visteam,GtiGCL
info,hometeam,GbrGCL
info,date,2006/06/21
play,2,1,448188,,,S9/L
play,2,1,472515,,,6/P
play,2,1,451098,,,S8/G.1-3(E8)
play,2,1,449899,,,FC4/G.1X2(46)
play,3,0,473275,,,7/F
play,3,0,464407,,,43/G
play,3,0,489201,,,K
play,3,1,449828,,,K
play,3,1,449156,,,K
play,3,1,452671,,,S9/F
play,3,1,451080,,,D8/F.1-H
play,3,1,502203,,,T9/L.2-H
play,3,1,448188,,,S7/G.3-H
play,3,1,472515,,,S8/L.1-2
play,3,1,451098,,,K
play,4,0,449179,,,9/F
play,4,0,503790,,,K
play,4,0,464414,,,S7/L
play,4,0,463672,,,43/G
play,4,1,449899,,,S6/G
play,4,1,449828,,,S9/G.1-H;B-3
play,4,1,449156,,,53/G
play,4,1,452671,,,FC6.3XH(625);B-2
play,4,1,451080,,,NP
sub,469233,Takumi Hamaoka,1,3,11
play,4,1,469233,,,43/G
play,5,0,464415,,,NP
sub,469233,Takumi Hamaoka,1,3,7
play,5,0,465079,,,NP
sub,502046,Jeffrey Locke,1,0,1
play,5,0,464415,,,E6
play,5,0,465079,,,7/F
play,5,0,473275,,,E3.1-2
play,5,0,464407,,,FC5/G.1X2(54);2-3;B-1
play,5,0,489201,,,S9/G.1-3;3-H
play,5,0,449179,,,FC6/G.1X2(64)
play,5,1,502203,,,NP
sub,488783,Angel Claudio,0,0,1
play,5,1,502203,,,4/P
play,5,1,448188,,,6/P
play,5,1,472515,,,53/G
play,6,0,503790,,,53/G
play,6,0,464414,,,9/F
play,6,0,463672,,,S7/F
play,6,0,464415,,,9/F
play,6,1,451098,,,K
play,6,1,449899,,,K
play,6,1,449828,,,W
play,6,1,449156,,,SB2
play,6,1,449156,,,S7/G.2-H
play,6,1,452671,,,4/P
play,7,0,465079,,,NP
sub,448855,Junior Guerra,1,0,1
play,7,0,473275,,,NP
sub,489409,Nate Weidenaar,1,8,9
play,7,0,465079,,,7/F
play,7,0,473275,,,8/F
play,7,0,464407,,,W
play,7,0,489201,,,8/F
play,7,1,469233,,,D9/F
play,7,1,502203,,,8/F
play,7,1,448188,,,9/F
play,7,1,472515,,,4/L
play,8,0,449179,,,K
play,8,0,503790,,,HR/F
play,8,0,464414,,,S8/F
play,8,0,463672,,,S9/G.1-3
play,8,0,464415,,,NP
sub,502187,Michael Mehlich,1,0,1
play,8,0,464415,,,7/SF.3-H
play,8,0,465079,,,3/G
play,8,1,451098,,,NP
sub,502749,Brett Carlin,0,0,1
play,8,1,451098,,,K23
play,8,1,489409,,,K
play,8,1,449828,,,8/F
play,9,0,473275,,,43/G
play,9,0,464407,,,W
play,9,0,489201,,,43/G.1-2
play,9,0,449179,,,4/P
id,GbrGCL200607010
info,visteam,GtiGCL
info,hometeam,GbrGCL
info,date,2006/07/01
start,491676,Gorkys Hernandez,0,1,8
start,501813,Michael Sullivan,0,2,7
start,465098,Luis Arlet,0,3,9
start,502073,Christopher Carlson,0,4,3
start,502422,Joseph Bowen,0,5,2
start,455371,Audy Ciriaco,0,6,6
start,455403,Carlos Ramirez,0,7,5
start,444487,Angel Flores,0,8,10
start,449070,Jorge Patino,0,9,4
start,462508,Santo Franco,0,0,1
start,452671,Diory Hernandez,1,1,6
start,448188,Deivis Rivadeneira,1,2,10
start,502203,Adam Coe,1,3,5
start,445219,Adam Parliament,1,4,3
start,503425,Albaro Campusano,1,5,4
start,467725,Javier Dominguez,1,6,2
start,449899,Trevion Griffin,1,7,9
start,489409,Nate Weidenaar,1,8,7
start,455697,Eliazar Carmona,1,9,8
start,452306,Yeliar Castro,1,0,1
play,1,0,491676,,,S5/BG
play,1,0,501813,,,SB2
play,1,0,501813,,,S7/F.2-3
play,1,0,465098,,,WP.1-2;3-H
play,1,0,465098,,,BK.2-3
play,1,0,465098,,,D8/F.3-H;BX3(453)
play,1,0,502073,,,D7/F
play,1,0,502422,,,5/PF
play,1,0,455371,,,K
play,1,1,452671,,,W
play,1,1,448188,,,W.1-2
play,1,1,502203,,,D8/F.1-H;2-H
play,1,1,445219,,,S3/G.2-3
play,1,1,503425,,,9/F
play,1,1,467725,,,W.1-2
play,1,1,placeholder,,,NP
sub,452023,Alec Sheppard,0,0,1
play,1,1,449899,,,K
