id,BluAPP200506240
info,visteam,DanAPP
info,hometeam,BluAPP
info,date,2005/06/24
play,9,0,488822,,,13/G.2-3;3-H
play,9,0,445632,,,W
play,9,0,448274,,,7/F
play,9,1,458568,,,63/G
play,9,1,459933,,,E6
play,9,1,458593,,,NP
sub,489762,Leonel Yeme,1,3,11
play,9,1,489762,,,63/G.1-2
play,9,1,446544,,,K
id,BluAPP200506260
info,visteam,DanAPP
info,hometeam,BluAPP
info,date,2005/06/26
start,488822,Quentin Davis,0,1,8
start,448274,Eric Campbell,0,2,5
start,488862,Yunel Escobar,0,3,6
start,445615,Maximiliano Ramirez,0,4,10
start,461735,Manuel Rodriguez,0,5,3
start,457449,Jamie Romak,0,6,9
start,449156,Jon Owings,0,7,7
start,448855,Junior Guerra,0,8,2
start,453534,Derrick Arnold,0,9,4
start,451754,Devin Anderson,0,0,1
start,458568,Jonathan Tucker,1,1,4
start,459933,Robert Andrews,1,2,8
start,458593,Joey Howell,1,3,9
start,446544,Andrew Moffitt,1,4,2
start,489160,Stuart Musslewhite,1,5,6
start,473224,Joel Pacheco,1,6,3
start,452064,Dan Puente,1,7,2
start,455108,Denver Kitch,1,8,5
start,489762,Leonel Yeme,1,9,7
start,460249,Kyle Schmidt,1,0,1
play,1,0,488822,,,43/G
play,1,0,448274,,,D8/F
play,1,0,488862,,,S4/G.2-3
play,1,0,445615,,,D8/F.1-3;3-H
play,1,0,461735,,,E3.2-3;3-H
play,1,0,457449,,,46(1)3/GDP/G4
play,1,1,458568,,,9/F
play,1,1,459933,,,S7/F
play,1,1,458593,,,6/P
play,1,1,446544,,,9/F
play,2,0,449156,,,S7/F
play,2,0,448855,,,S8/G.1-3
play,2,0,453534,,,64(1)3/GDP/G6.3-H
play,2,0,488822,,,6/L
play,2,1,489160,,,63/G
play,2,1,473224,,,S9/F
play,2,1,452064,,,SB2
play,2,1,452064,,,K
play,2,1,455108,,,9/F
play,3,0,448274,,,K
play,3,0,488862,,,D9/F
play,3,0,445615,,,W
play,3,0,461735,,,K
play,3,0,457449,,,53/G
play,3,1,489762,,,S3/G
play,3,1,458568,,,13/G.1-2
play,3,1,459933,,,D9/F.2-H
