id,KinCAR200504080
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2005/04/08
play,5,0,457988,,,K
play,5,0,463553,,,K23
play,5,0,453497,,,D7/G
play,5,0,455004,,,K
play,5,1,457830,,,NP
sub,454455,Orionny Lopez,0,0,1
play,5,1,457830,,,8/F
play,5,1,444515,,,W
play,5,1,453892,,,7/F
play,5,1,446897,,,9/F
play,6,0,449804,,,2/P
play,6,0,468327,,,K
play,6,0,440364,,,W
play,6,0,454608,,,13/G
play,6,1,444340,,,W
play,6,1,452967,,,6/P
play,6,1,444514,,,S7/G.1-3
play,6,1,449775,,,53/G.3-H
play,6,1,430957,,,K
play,7,0,451695,,,NP
sub,460592,Dan Eisentrager,1,0,1
play,7,0,451695,,,53/G
play,7,0,457988,,,K
play,7,0,463553,,,S8/F
play,7,0,453497,,,S8/F.1-2
play,7,0,455004,,,9/F
play,7,1,457830,,,NP
sub,466983,Fabio Castro,0,0,1
play,7,1,457830,,,4/P
play,7,1,444515,,,4/P
play,7,1,453892,,,63/G
play,8,0,449804,,,S8/G
play,8,0,468327,,,7/F
play,8,0,440364,,,D9/F.1-H
play,8,0,454608,,,K
play,8,0,451695,,,9/F
play,8,1,446897,,,NP
sub,469164,Ehren Wasserman,0,0,1
play,8,1,446897,,,K
play,8,1,444340,,,K
play,8,1,452967,,,43/G
play,9,0,457988,,,NP
sub,465629,Edward Mujica,1,0,1
play,9,0,457988,,,K
play,9,0,463553,,,S7/F
play,9,0,453497,,,NP
sub,444327,Joshua Shaffer,0,8,12
play,9,0,453497,,,HR/F.1-H
play,9,0,455004,,,9/F
play,9,0,449804,,,S4/G
play,9,0,468327,,,K
id,KinCAR200504110
info,visteam,WilCAR
info,hometeam,KinCAR
info,date,2005/04/11
start,451506,Zach Borowiak,0,1,6
start,445985,Dirimo Chavez,0,2,4
start,445945,Ian Bladergroen,0,3,3
start,452658,Scott White,0,4,10
start,458665,Chad Spann,0,5,5
start,456390,Michael Hall,0,6,7
