id,GbrGCL200506250
info,visteam,GyaGCL
info,hometeam,GbrGCL
info,date,2005/06/25
sub,453631,Miguel Trejo,0,0,1
play,6,1,455697,,,K
play,6,1,449899,,,4/L
play,7,0,489413,,,NP
sub,450169,Pedro Rayo,1,0,1
play,7,0,489413,,,W
play,7,0,448236,,,S8/L.1-2
play,7,0,453641,,,HR/F.1-H;2-H
play,7,0,447739,,,S1/G.B-3(E1/TH)
play,7,0,469226,,,K
play,7,0,462489,,,K
play,7,0,459430,,,9/F
play,7,1,457788,,,NP
sub,458929,Manuel Brea,0,7,7
play,7,1,457788,,,D7/L.BX3(745)
play,7,1,462101,,,43/G
play,7,1,445219,,,K
play,8,0,458007,,,K
play,8,0,489188,,,W
play,8,0,489413,,,9/F
play,8,0,448236,,,9/F
play,8,1,460369,,,K
play,8,1,458636,,,8/F
play,8,1,489132,,,4/L
play,9,0,453641,,,HR/F
play,9,0,447739,,,43/G
play,9,0,458929,,,K
play,9,0,462489,,,S9/L
play,9,0,459430,,,NP
sub,446596,Joshua Ward,1,0,1
play,9,0,459430,,,8/F
play,9,1,461427,,,NP
sub,490012,Phil Napolitan,0,0,1
play,9,1,461427,,,K
play,9,1,455697,,,9/F
play,9,1,449899,,,W
play,9,1,457788,,,K
id,GbrGCL200507070
info,visteam,GphGCL
info,hometeam,GbrGCL
info,date,2005/07/07
start,471912,Alberto Cambero,0,1,4
start,488887,Joe Frazee,0,2,8
start,470491,Timothy Kennelly,0,3,5
start,455085,Reese Creswell,0,4,2
start,474447,Michael Durant,0,5,3
start,468438,Douglas Morales,0,6,9
start,465696,Fidel Hernandez,0,7,6
start,489425,Jermaine Williams,0,8,7
start,472533,Welinson Baez,0,9,10
start,468539,Edgar Garcia,0,0,1
start,457788,Jordan Schafer,1,1,8
start,449899,Trevion Griffin,1,2,7
start,462101,Elvis Andrus,1,3,6
start,445219,Adam Parliament,1,4,9
start,458636,Bienvenido Disla,1,5,5
start,489132,Brandon Monk,1,6,4
start,448171,Ernesto Mejia,1,7,10
start,490633,Greg Creek,1,8,3
start,453650,Juan Mota,1,9,2
start,452168,Sergio Valenzuela,1,0,1
play,1,0,471912,,,3/G
play,1,0,488887,,,43/G
play,1,0,470491,,,S5/G
play,1,0,455085,,,FC5/G.1X2(54)
play,1,1,457788,,,K
play,1,1,449899,,,S8/G
play,1,1,462101,,,PB.1-2
play,1,1,462101,,,K
play,1,1,445219,,,K
play,2,0,474447,,,HR/F
play,2,0,468438,,,63/G
play,2,0,465696,,,S5/BG
play,2,0,489425,,,CS2
play,2,0,489425,,,K
play,2,1,458636,,,53/G
play,2,1,489132,,,S5/BG
play,2,1,448171,,,S9/F.1-2
play,2,1,490633,,,S7/F.1-2;2-3
play,2,1,453650,,,W.1-2;2-3;3-H
play,2,1,457788,,,3/G.1-2;2-3;3-H
play,2,1,449899,,,S8/G.2-3;3-H
play,2,1,462101,,,8/F
play,3,0,472533,,,53/G
play,3,0,471912,,,E6
play,3,0,488887,,,K
play,3,0,470491,,,8/F
play,3,1,445219,,,S6/G
play,3,1,458636,,,NP
sub,448188,Deivis Rivadeneira,1,5,11
play,3,1,448188,,,9/F
play,3,1,489132,,,53/G.1-2
play,3,1,448171,,,43/G
play,4,0,455085,,,NP
sub,448188,Deivis Rivadeneira,1,5,5
play,4,0,455085,,,6/P
play,4,0,474447,,,63/G
play,4,0,468438,,,D8/L
play,4,0,465696,,,3/G
play,4,1,490633,,,W
play,4,1,453650,,,PB.1-2
play,4,1,453650,,,K
play,4,1,457788,,,S9/G.2-3
play,4,1,449899,,,8/SF.3-H
play,4,1,462101,,,63/G
play,5,0,489425,,,NP
sub,459421,Jeff Katz,1,0,1
play,5,0,489425,,,8/F
play,5,0,472533,,,D8/L
play,5,0,471912,,,9/F
play,5,0,488887,,,3/G
play,5,1,445219,,,NP
sub,466388,Alexander Concepcion,0,0,1
play,5,1,445219,,,K
play,5,1,448188,,,K
play,5,1,489132,,,S7/G
play,5,1,448171,,,WP.1-2
play,5,1,448171,,,4/L
play,6,0,470491,,,D8/F
play,6,0,455085,,,NP
sub,450779,Cooper Osteen,0,3,12
play,6,0,455085,,,K
play,6,0,474447,,,5/P
play,6,0,468438,,,6/P
play,6,1,490633,,,NP
sub,471912,Alberto Cambero,0,1,6
play,6,1,453650,,,NP
sub,450779,Cooper Osteen,0,3,4
play,6,1,457788,,,NP
sub,465696,Fidel Hernandez,0,7,5
play,6,1,490633,,,S7/G
play,6,1,453650,,,T9/L.1-H
play,6,1,457788,,,T8/F.3-H
play,6,1,449899,,,9/SF.3-H
play,6,1,462101,,,K
play,6,1,445219,,,K
play,7,0,465696,,,S8/G
play,7,0,489425,,,NP
sub,451220,Buck Shaw,0,8,11
play,7,0,451220,,,S9/L.1-2
play,7,0,472533,,,5/PF
play,7,0,471912,,,S9/G.1-2;2-3
play,7,0,488887,,,K
play,7,0,450779,,,31/G
play,7,1,448188,,,NP
sub,489993,Tom Paterson,0,5,7
play,7,1,489132,,,NP
sub,451220,Buck Shaw,0,8,3
play,7,1,448171,,,NP
sub,488911,Tyler Gooch,0,0,1
play,7,1,448188,,,8/F
play,7,1,489132,,,S8/G
play,7,1,448171,,,WP.1-2
play,7,1,448171,,,S9/G.2-3
play,7,1,490633,,,FC4/G.1X2(46);3-H;B-1
play,7,1,453650,,,K
play,8,0,455085,,,NP
sub,450311,Tyler Wilson,1,0,1
play,8,0,455085,,,D8/F
play,8,0,489993,,,W
play,8,0,468438,,,K
play,8,0,465696,,,FC4/G.1X2(46);2-3;B-1
play,8,0,451220,,,8/F
play,8,1,457788,,,NP
sub,462975,Juan Alvarez,0,0,1
play,8,1,457788,,,K
play,8,1,449899,,,K
play,8,1,462101,,,5/L
play,9,0,472533,,,NP
sub,455697,Eliazar Carmona,1,1,8
play,9,0,472533,,,D8/F
play,9,0,471912,,,8/F
play,9,0,488887,,,63/G.2-3
play,9,0,450779,,,5/L
id,GbrGCL200507081
info,visteam,GyaGCL
info,hometeam,GbrGCL
info,date,2005/07/08
start,462495,Luis Nunez,0,1,5
start,476015,C. J. Henry,0,2,6
start,460344,Wilkins De La Rossa,0,3,9
start,490006,Jared Greenwood,0,4,3
start,457706,Austin Jackson,0,5,8
start,468474,Jose Gil,0,6,2
start,465041,Francisco Cervelli,0,7,10
start,467798,Jose Tabata,0,8,7
start,457107,Wilmer Pino,0,9,4
