id,WisMDW200505060
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/06
play,3,1,452678,,,5/PF
play,4,0,446013,,,9/F
play,4,0,450325,,,5/P
play,4,0,452028,,,3/G
play,4,1,472594,,,NP
sub,448289,Rafael Gonzalez,0,0,1
play,4,1,472594,,,S9/F
play,4,1,451573,,,W.1-2
play,4,1,453963,,,5/PF
play,4,1,462523,,,D7/L.1-3;2-H
play,4,1,456698,,,D3/P.2-H;3-H
play,4,1,464281,,,W
play,4,1,453444,,,K
play,4,1,453531,,,HR/F.1-H;2-H
play,4,1,452678,,,K
play,5,0,448790,,,K
play,5,0,460354,,,K
play,5,0,455675,,,D9/L
play,5,0,457926,,,3/PF
play,5,1,472594,,,NP
sub,444410,Alexander Farfan,0,0,1
play,5,1,472594,,,S8/L
play,5,1,451573,,,E4/TH.1-3;B-2
play,5,1,453963,,,WP.2-3;3-H
play,5,1,453963,,,W
play,5,1,462523,,,8/SF.3-H
play,5,1,456698,,,S8/L.1-2
play,5,1,464281,,,FC3/G.1X2(36);2-3;B-1
play,5,1,453444,,,9/F
play,6,0,446041,,,7/F
play,6,0,461874,,,13/G
play,6,0,446013,,,S9/L
play,6,0,450325,,,NP
sub,451591,Chad Fillinger,1,0,1
play,6,0,450325,,,3/PF
play,6,1,453531,,,43/G
play,6,1,452678,,,43/G
play,6,1,472594,,,9/F
play,7,0,452028,,,K
play,7,0,448790,,,W
play,7,0,460354,,,K
play,7,0,455675,,,K
play,7,1,451573,,,43/G
play,7,1,453963,,,3/G
play,7,1,462523,,,S7/L
play,7,1,456698,,,S7/L.1-3
play,7,1,464281,,,3/G
play,8,0,457926,,,NP
sub,470370,Roman Martinez,1,0,1
play,8,0,457926,,,63/G
play,8,0,446041,,,HP
play,8,0,461874,,,6(1)3/G6/GDP
play,8,1,453444,,,NP
sub,450240,Carlos Bohorquez,0,0,1
play,8,1,453444,,,3/G
play,8,1,453531,,,43/G
play,8,1,452678,,,K
play,9,0,446013,,,NP
sub,447714,Eric O'Flaherty,1,0,1
play,9,0,446013,,,S6/G
play,9,0,450325,,,D9/F.1-3
play,9,0,452028,,,53/G.3-H
play,9,0,448790,,,53/G
play,9,0,460354,,,3/L
id,WisMDW200505090
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/09
start,455675,Philip Gentry,0,1,7
start,457926,Paul Janish,0,2,6
start,451778,Ben Himes,0,3,9
start,446339,Jeremiah Piepkorn,0,4,5
start,450819,Chris Kroski,0,5,2
start,446041,John Purdom,0,6,3
start,461874,Craig Tatum,0,7,2
start,452028,Drew Anderson,0,8,4
start,448790,Cody Strait,0,9,8
start,452212,Damian Ursin,0,0,1
start,456698,Jack Arroyo,1,1,4
start,453444,Joshua Womack,1,2,8
start,453531,Robert Johnson,1,3,2
start,449168,Matt Tuiasosopo,1,4,6
start,472594,Yung Chi Chen,1,5,5
start,462523,Brandon Green,1,6,3
start,444125,Michael Wilson,1,7,9
start,451573,Sebastien Boucher,1,8,7
start,445164,Brent Johnson,1,9,10
start,450275,Mark Lowe,1,0,1
play,1,0,455675,,,K
play,1,0,457926,,,W
play,1,0,451778,,,K
play,1,0,446339,,,9/F
play,1,1,456698,,,13/G
play,1,1,453444,,,K
play,1,1,453531,,,8/F
play,2,0,450819,,,W
play,2,0,446041,,,S5/G.1-2
play,2,0,461874,,,E6.1-2;2-3
play,2,0,452028,,,K
play,2,0,448790,,,K
play,2,0,455675,,,K
play,2,1,449168,,,K
play,2,1,472594,,,13/G
play,2,1,462523,,,43/G
play,3,0,457926,,,9/F
play,3,0,451778,,,W
play,3,0,446339,,,SB2
play,3,0,446339,,,DGR/F7.2-H
play,3,0,450819,,,31/G.2-3
play,3,0,446041,,,8/F
play,3,1,444125,,,S1/G
play,3,1,451573,,,SB2
play,3,1,451573,,,W
play,3,1,445164,,,WP.1-2;2-3
play,3,1,445164,,,W
play,3,1,456698,,,W.1-2;2-3;3-H
play,3,1,453444,,,8/F.?X?(836)
play,3,1,453531,,,9/F
play,4,0,461874,,,W
play,4,0,452028,,,W.1-2
play,4,0,448790,,,NP
sub,470370,Roman Martinez,1,0,1
