id,ColSAL200505040
info,visteam,AugSAL
info,hometeam,ColSAL
info,date,2005/05/04
play,9,1,448244,,,NP
sub,452205,Timothy Alvarez,0,0,1
play,9,1,448244,,,W
play,9,1,469845,,,13/SH.1-2
play,9,1,455088,,,D7/F.2-H
play,9,1,458239,,,IW
play,9,1,444871,,,K
play,9,1,448622,,,4/P
play,10,0,446879,,,9/F
play,10,0,452210,,,7/F
play,10,0,448145,,,D7/F
play,10,0,463625,,,WP.2-3
play,10,0,463625,,,3/L
play,10,1,448596,,,63/G
play,10,1,468368,,,63/G
play,10,1,451640,,,K
play,11,0,430263,,,NP
sub,464302,Carlos Alvarez,1,0,1
play,11,0,430263,,,8/F
play,11,0,448773,,,53/G
play,11,0,452013,,,K
play,11,1,448244,,,9/F
play,11,1,469845,,,S9/G
play,11,1,455088,,,43/G.1-2
play,11,1,458239,,,IW
play,11,1,444871,,,NP
sub,454477,Anthony Moreno,0,0,1
play,11,1,444871,,,NP
sub,461315,Lucas May,1,5,11
play,11,1,461315,,,31/G
play,12,0,461756,,,NP
sub,461315,Lucas May,1,5,10
play,12,0,461756,,,E8.B-3
play,12,0,445008,,,W
play,12,0,446879,,,S7/G.1-2;3-H
play,12,0,452210,,,NP
sub,469821,Jonathan Armitage,0,7,11
play,12,0,469821,,,E5/TH.1-3;2-H;B-2
play,12,0,448145,,,K
play,12,0,463625,,,S7/G.2-3;3-H
play,12,0,430263,,,K
play,12,0,448773,,,K
play,12,1,448622,,,K
play,12,1,448596,,,3/P
play,12,1,468368,,,W
play,12,1,451640,,,S7/G.1-2
play,12,1,448244,,,S8/G.1-2;2-3
play,12,1,469845,,,K
id,ColSAL200505070
info,visteam,AugSAL
info,hometeam,ColSAL
info,date,2005/05/07
start,430263,Alex Requena,0,1,8
start,448773,Marcus Sanders,0,2,6
start,469821,Jonathan Armitage,0,3,9
start,461756,Jason Columbus,0,4,10
start,452210,Brad Vericker,0,5,3
start,445008,Simon Klink,0,6,5
start,446879,Michael Wagner,0,7,7
start,452207,Nick Conte,0,8,2
start,446659,Aaron Hornostaj,0,9,4
start,458564,Darren Sack,0,0,1
start,448244,Sam Steidl,1,1,7
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,10
start,458239,Travis Denker,1,4,4
start,461315,Lucas May,1,5,6
start,448622,Daniel Batz,1,6,3
start,448596,David Nicholson,1,7,5
start,465698,Juan Apodaca,1,8,2
start,451640,Ryan Russ,1,9,9
start,457915,Javy Guerra,1,0,1
play,1,0,430263,,,6/P
play,1,0,448773,,,K
play,1,0,469821,,,K
play,1,1,448244,,,W
play,1,1,469845,,,S8/G.1-3(E8)(E8);B-2
play,1,1,455088,,,S8/F.2-3;3-H
play,1,1,458239,,,K
play,1,1,461315,,,HP.1-2
play,1,1,448622,,,FC5/G.1-2;2X3(5);3-H;B-1
play,1,1,448596,,,E1/TH.1-3;2-H;B-2
play,1,1,465698,,,K
play,2,0,461756,,,W
play,2,0,452210,,,6(B)63(1)/LDP
play,2,0,445008,,,K
play,2,1,451640,,,5/P
play,2,1,448244,,,43/G
play,2,1,469845,,,T8/F
play,2,1,455088,,,D9/L.3-H
play,2,1,458239,,,53/G
play,3,0,446879,,,HP
play,3,0,452207,,,6(B)63(1)/LDP
play,3,0,446659,,,K
play,3,1,461315,,,S7/G
play,3,1,448622,,,D7/L.1-3
play,3,1,448596,,,S8/G.2-3;3-H
play,3,1,465698,,,S7/G.1-2;3-H
play,3,1,451640,,,S7/G.1-2;2-3
play,3,1,448244,,,NP
sub,459402,Sean Martin,0,0,1
play,3,1,448244,,,6(1)3/G6/GDP.2-3;3-H
play,3,1,469845,,,7/L
play,4,0,430263,,,W
play,4,0,448773,,,K+SB2
play,4,0,469821,,,7/F
play,4,0,461756,,,8/F
play,4,1,455088,,,S7/L
play,4,1,458239,,,D8/F.1-3
play,4,1,461315,,,63/G.2-3;3-H
play,4,1,448622,,,6/P
play,4,1,448596,,,K
play,5,0,452210,,,7/F
play,5,0,445008,,,31/G
play,5,0,446879,,,3/L
play,5,1,465698,,,K
play,5,1,451640,,,9/L
play,5,1,448244,,,K
play,6,0,452207,,,K
play,6,0,446659,,,43/G
play,6,0,430263,,,S8/G
play,6,0,448773,,,HP.1-2
play,6,0,469821,,,NP
sub,470462,Ramon Troncoso,1,0,1
play,6,0,469821,,,S8/G.1-3;2-H
play,6,0,461756,,,FC4/G.1X2(46)
play,6,1,469845,,,9/F
play,6,1,455088,,,K
play,6,1,458239,,,7/L
play,7,0,452210,,,S7/F
play,7,0,445008,,,54(1)3/GDP/G5
play,7,0,446879,,,W
play,7,0,452207,,,13/G
play,7,1,461315,,,NP
sub,460278,Matthew Minor,0,0,1
play,7,1,461315,,,8/F
play,7,1,448622,,,HP
play,7,1,448596,,,S8/G.1-2
play,7,1,465698,,,WP.1-2;2-3
play,7,1,465698,,,S7/F.2-3;3-H
play,7,1,451640,,,46(1)3/GDP/G4
play,8,0,446659,,,8/F
play,8,0,430263,,,K23
play,8,0,448773,,,K
play,8,1,448244,,,31/G
play,8,1,469845,,,K
play,8,1,455088,,,43/G
play,9,0,469821,,,8/F
play,9,0,461756,,,S7/F
play,9,0,452210,,,FC6/G.1X2(64);B-1
play,9,0,445008,,,S8/G.1-2
play,9,0,446879,,,K
id,ColSAL200505090
info,visteam,ChaSAL
info,hometeam,ColSAL
info,date,2005/05/09
start,456656,Tim Battle,0,1,8
start,458533,Ryan Haag,0,2,4
start,452675,Marcos Vechionacci,0,3,6
start,444949,Ben Jones,0,4,3
start,452780,Cody Ehlers,0,5,10
start,450316,Yosvany Almario-Cabrera,0,6,9
start,456394,Estee Harris,0,7,7
start,435407,Irwil Rojas,0,8,2
start,459449,Grant Plumley,0,9,5
start,459345,Eric Hacker,0,0,1
start,448244,Sam Steidl,1,1,7
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,5
start,458239,Travis Denker,1,4,10
start,461315,Lucas May,1,5,6
start,448622,Daniel Batz,1,6,3
start,444871,James Peterson,1,7,9
start,468368,Gabriel Gutierrez,1,8,2
start,446565,Brandon Carter,1,9,4
start,455106,Blake Johnson,1,0,1
play,1,0,456656,,,K
play,1,0,458533,,,S3/BG
play,1,0,452675,,,43/G.1-2
play,1,0,444949,,,9/F
play,1,1,448244,,,S8/G
play,1,1,469845,,,8/F
play,1,1,455088,,,S7/F.1-2
play,1,1,458239,,,K
play,1,1,461315,,,8/F
play,2,0,452780,,,W
play,2,0,450316,,,K
play,2,0,456394,,,K
play,2,0,435407,,,3/G
play,2,1,448622,,,S8/G
play,2,1,444871,,,S9/F.1-3
play,2,1,468368,,,43/G.1-2;3-H
play,2,1,446565,,,W
play,2,1,448244,,,46(1)3/GDP/G4
play,3,0,459449,,,43/G
play,3,0,456656,,,9/F
play,3,0,458533,,,7/F
play,3,1,469845,,,3/G
play,3,1,455088,,,7/F
play,3,1,458239,,,K
play,4,0,452675,,,NP
sub,448596,David Nicholson,1,9,4
play,4,0,452675,,,3/P
play,4,0,444949,,,63/G
play,4,0,452780,,,W
play,4,0,450316,,,53/G
play,4,1,461315,,,9/F
play,4,1,448622,,,D7/L
play,4,1,444871,,,FC1.2X3(145)
play,4,1,468368,,,13/G
play,5,0,456394,,,K
play,5,0,435407,,,63/G
play,5,0,459449,,,8/F
play,5,1,448596,,,S7/F
play,5,1,448244,,,SB2
play,5,1,448244,,,FC6.2X3(65)
play,5,1,469845,,,W.1-2
play,5,1,455088,,,PO2(16)
play,5,1,455088,,,S7/F.1-2
play,5,1,458239,,,NP
sub,467135,Randy Vanderplow,0,0,1
play,5,1,458239,,,K
play,6,0,456656,,,63/G
play,6,0,458533,,,K
play,6,0,452675,,,31/G
play,6,1,461315,,,7/F
play,6,1,448622,,,S7/F
play,6,1,444871,,,S9/L.1-2
play,6,1,468368,,,K
play,6,1,448596,,,S9/F.1-2;2-3
play,6,1,448244,,,NP
sub,446338,Shaun Parker,0,0,1
play,6,1,448244,,,W.1-2;2-3;3-H
play,6,1,469845,,,W.1-2;2-3;3-H
play,6,1,455088,,,43/G
play,7,0,444949,,,K
play,7,0,452780,,,S9/F
play,7,0,450316,,,4/P
play,7,0,456394,,,W.1-2
play,7,0,435407,,,NP
sub,450692,Christopher Malone,1,0,1
play,7,0,435407,,,6/P
play,7,1,458239,,,63/G
play,7,1,461315,,,HR/F
play,7,1,448622,,,43/G
play,7,1,444871,,,K
play,8,0,459449,,,D7/L
play,8,0,456656,,,W
play,8,0,458533,,,FC4/G.1X2(46);2-3;B-1
play,8,0,452675,,,8/SF.3-H
play,8,0,444949,,,FC6/G.1X2(64)
play,8,1,468368,,,W
play,8,1,448596,,,W.1-2
play,8,1,448244,,,13/SH.1-2;2-3
play,8,1,469845,,,IW
play,8,1,455088,,,FC3.1-2;2-3;3XH(32)
play,8,1,458239,,,E5.1-3;2-H;3-H;B-2
play,8,1,461315,,,43/G
play,9,0,452780,,,NP
sub,464302,Carlos Alvarez,1,0,1
play,9,0,452780,,,53/G
play,9,0,450316,,,S9/F
play,9,0,456394,,,E3.1-2
play,9,0,435407,,,64(1)3/GDP/G6
id,ColSAL200505100
info,visteam,ChaSAL
info,hometeam,ColSAL
info,date,2005/05/10
start,456656,Tim Battle,0,1,8
start,458533,Ryan Haag,0,2,4
