id,MisSL200505130
info,visteam,MobSL
info,hometeam,MisSL
info,date,2005/05/13
play,5,1,459320,,,K
play,5,1,453923,,,7/F
play,5,1,438423,,,S9/L
play,5,1,425796,,,7/F
play,6,0,435222,,,9/F
play,6,0,279565,,,S8/L
play,6,0,455755,,,8/F
play,6,0,458873,,,FC4/G.1X2(46)
play,6,1,429801,,,8/F
play,6,1,435263,,,K
play,6,1,430643,,,W
play,6,1,443554,,,SB2
play,6,1,443554,,,63/G
play,7,0,455683,,,NP
sub,120717,Jay Powell,1,0,1
play,7,0,455683,,,K
play,7,0,435539,,,8/F
play,7,0,455759,,,K
play,7,1,434682,,,8/F
play,7,1,459320,,,K
play,7,1,453923,,,S8/L
play,7,1,438423,,,8/L
play,8,0,435220,,,NP
sub,457460,Ryan Basner,1,0,1
play,8,0,435220,,,S6/G
play,8,0,434602,,,8/F.?X?(83)
play,8,0,435222,,,K
play,8,1,425796,,,NP
sub,434603,Paulino Reynoso,0,0,1
play,8,1,425796,,,K
play,8,1,429801,,,43/G
play,8,1,435263,,,W
play,8,1,430643,,,K
play,9,0,279565,,,HP
play,9,0,455755,,,3/SH.1-2
play,9,0,458873,,,7/F
play,9,0,455683,,,NP
sub,445144,Cory Haggerty,0,9,11
play,9,0,445144,,,S7/L.2-H
play,9,0,435539,,,63/G
play,9,1,443554,,,NP
sub,445144,Cory Haggerty,0,9,4
play,9,1,434682,,,NP
sub,408057,Bobby Jenks,0,0,1
play,9,1,443554,,,S5/G
play,9,1,434682,,,K
play,9,1,459320,,,54(1)3/GDP/G5
id,MisSL200505170
info,visteam,BirSL
info,hometeam,MisSL
info,date,2005/05/17
start,435539,Jerry Owens,0,1,10
start,455759,Christopher Young,0,2,8
start,435220,Ryan Sweeney,0,3,9
start,434602,Casey Rogowski,0,4,3
start,435222,Josh Fields,0,5,5
start,279565,Darren Blakely,0,6,7
start,455755,Chris Stewart,0,7,2
start,462413,Angel Gonzalez,0,8,6
start,455683,Antoin Gray,0,9,4
start,433278,Eduardo Villacis,0,0,1
start,453923,Gregor Blanco,1,1,8
start,451664,Wes Timmons,1,2,5
start,425796,Jeff Francoeur,1,3,9
start,429801,Scott Thorman,1,4,3
start,435263,Brian McCann,1,5,2
start,438423,Juan Velazquez,1,6,4
start,452190,Michael RosamondJr.,1,7,7
start,434682,Luis Hernandez,1,8,6
start,459320,Jonathan Schuerholz,1,9,10
start,444418,Matt Wright,1,0,1
play,1,0,435539,,,31/G
play,1,0,455759,,,S7/L
play,1,0,435220,,,SB2
play,1,0,435220,,,7/F
play,1,0,434602,,,7/F
play,1,1,453923,,,W
play,1,1,451664,,,7/F
play,1,1,425796,,,9/F
play,1,1,429801,,,S9/G.1-2
play,1,1,435263,,,W.1-2;2-3
play,1,1,438423,,,FC6/G.2X3(6)
play,2,0,435222,,,7/F
play,2,0,279565,,,S7/L
play,2,0,455755,,,CS2
play,2,0,455755,,,63/G
play,2,1,452190,,,9/F
play,2,1,434682,,,7/L
play,2,1,459320,,,S9/G
play,2,1,453923,,,9/F
play,3,0,462413,,,K
play,3,0,455683,,,63/G
play,3,0,435539,,,D8/L
play,3,0,455759,,,K
play,3,1,451664,,,S8/G
play,3,1,425796,,,D7/G.1-H
play,3,1,429801,,,S8/L.2-H;BX2(83)
play,3,1,435263,,,K
