id,KinCAR200604240
info,visteam,LynCAR
info,hometeam,KinCAR
info,date,2006/04/24
play,4,1,469040,,,NP
sub,457992,Kyle Jackson,0,0,1
play,4,1,469040,,,S9/G.1-2;3-H
play,4,1,452073,,,7/F
play,4,1,460067,,,43/G
play,5,0,452768,,,NP
sub,449822,Scott Roehl,1,0,1
play,5,0,452768,,,31/G
play,5,0,457958,,,9/F
play,5,0,456031,,,43/G
play,5,1,460115,,,S9/G
play,5,1,456594,,,W.1-2
play,5,1,488740,,,FC3/G.1X2(36);2-3;B-1
play,5,1,457830,,,7/SF.3-H
play,5,1,444340,,,K
play,6,0,446636,,,K23
play,6,0,445945,,,63/G
play,6,0,456390,,,43/G
play,6,1,440924,,,NP
sub,453512,Ryan Schroyer,0,0,1
play,6,1,440924,,,9/F
play,6,1,469040,,,5/L
play,6,1,452073,,,W
play,6,1,460067,,,SB2
play,6,1,460067,,,S8/F.2-H
play,6,1,460115,,,7/F
play,7,0,458902,,,S9/F
play,7,0,489227,,,6/L
play,7,0,453056,,,8/F
play,7,0,452768,,,9/L
play,7,1,456594,,,K
play,7,1,488740,,,43/G
play,7,1,457830,,,K
play,8,0,457958,,,9/F
play,8,0,456031,,,S9/G
play,8,0,446636,,,D7/F.1-3
play,8,0,445945,,,9/SF.2-3;3-H
play,8,0,456390,,,NP
sub,452083,Kyle Collins,1,0,1
play,8,0,456390,,,43/G
play,8,1,444340,,,NP
sub,449772,Jason Richardson,0,0,1
play,8,1,444340,,,43/G
play,8,1,440924,,,8/F
play,8,1,469040,,,7/L
play,9,0,458902,,,W
play,9,0,489227,,,NP
sub,476704,Jed Lowrie,0,9,11
play,9,0,476704,,,S9/G.1-3
play,9,0,453056,,,FC6/G.1X2(64);3-H;B-1
play,9,0,452768,,,8/F
play,9,0,457958,,,K
id,KinCAR200604120
info,visteam,WilCAR
info,hometeam,KinCAR
info,date,2006/04/12
start,453056,Jacoby Ellsbury,0,1,8
start,452768,Jeffrey Corsaletti,0,2,7
start,476704,Jed Lowrie,0,3,6
start,456031,Andrew Pinckney,0,4,5
start,445945,Ian Bladergroen,0,5,3
start,452658,Scott White,0,6,10
start,456390,Michael Hall,0,7,9
start,458659,Jonathan Devries,0,8,2
start,458902,Ignacio Suarez,0,9,4
start,459415,Thomas Hottovy,0,0,1
start,469040,Argenis Reyes,1,1,8
start,452073,Brian Finegan,1,2,6
start,457830,Ryan Goleski,1,3,9
start,460115,Stephen Head,1,4,3
start,446897,Caleb Brock,1,5,10
start,488740,Jordan Brown,1,6,7
start,449775,Brandon Pinckney,1,7,5
start,444340,Micah Schilling,1,8,4
start,444430,Wyatt Toregas,1,9,2
start,458001,Sean Smith,1,0,1
play,1,0,453056,,,K
play,1,0,452768,,,63/G
play,1,0,476704,,,7/F
play,1,1,469040,,,8/F
play,1,1,452073,,,HP
play,1,1,457830,,,W.1-2
play,1,1,460115,,,5/P
play,1,1,446897,,,5/PF
play,2,0,456031,,,5/PF
play,2,0,445945,,,8/F
play,2,0,452658,,,K
play,2,1,488740,,,4/P
play,2,1,449775,,,S7/G
play,2,1,444340,,,36(1)3/GDP/G3
play,3,0,456390,,,7/F
play,3,0,458659,,,S8/G
play,3,0,458902,,,7/F
play,3,0,453056,,,W.1-2
play,3,0,452768,,,K
play,3,1,444430,,,D7/L
play,3,1,469040,,,S3/BG.2-3
play,3,1,452073,,,8/SF.1-2;3-H
play,3,1,457830,,,CS3
play,3,1,457830,,,63/G
play,4,0,476704,,,8/F
play,4,0,456031,,,63/G
play,4,0,445945,,,3/G
play,4,1,460115,,,9/F
play,4,1,446897,,,63/G
play,4,1,488740,,,S9/G
play,4,1,449775,,,D7/F.1-H
play,4,1,444340,,,43/G
play,5,0,452658,,,S8/G
play,5,0,456390,,,6/P
play,5,0,458659,,,K
play,5,0,458902,,,4/P
play,5,1,444430,,,63/G
play,5,1,469040,,,63/G
play,5,1,452073,,,6/L
play,6,0,453056,,,S1/BG
play,6,0,452768,,,CS2
play,6,0,452768,,,T9/G
play,6,0,476704,,,8/SF.3-H
play,6,0,456031,,,4/P
play,6,1,457830,,,63/G
play,6,1,460115,,,S9/L
play,6,1,446897,,,8/F
play,6,1,488740,,,K
play,7,0,445945,,,W
play,7,0,452658,,,NP
sub,445961,Reid Santos,1,0,1
play,7,0,452658,,,8/F
play,7,0,456390,,,S7/F.1-2
play,7,0,458659,,,7/F
play,7,0,458902,,,13/G
play,7,1,449775,,,NP
sub,445186,Michael James,0,0,1
play,7,1,449775,,,8/F
play,7,1,444340,,,W
play,7,1,444430,,,43/G.1-2
play,7,1,469040,,,8/F
play,8,0,453056,,,S8/G
play,8,0,452768,,,SB2
play,8,0,452768,,,8/F
play,8,0,476704,,,6/L
play,8,0,456031,,,W
play,8,0,445945,,,43/G
play,8,1,452073,,,K
play,8,1,457830,,,K
play,8,1,460115,,,HR/F
play,8,1,446897,,,S8/G
play,8,1,488740,,,SB2
play,8,1,488740,,,K
play,9,0,452658,,,NP
sub,445069,T. J. Burton,1,0,1
play,9,0,452658,,,8/F
play,9,0,456390,,,7/L
play,9,0,458659,,,K
id,KinCAR200604130
info,visteam,WilCAR
info,hometeam,KinCAR
info,date,2006/04/13
start,451621,Bryan Pritz,0,1,8
start,452768,Jeffrey Corsaletti,0,2,10
start,476704,Jed Lowrie,0,3,6
start,452658,Scott White,0,4,3
start,456031,Andrew Pinckney,0,5,5
start,457958,John Otness,0,6,2
start,446636,Claudio Arias,0,7,7
start,456390,Michael Hall,0,8,9
start,489227,Dominic Ramos,0,9,4
start,465008,Gary Galvez,0,0,1
start,469040,Argenis Reyes,1,1,4
start,452073,Brian Finegan,1,2,6
start,460067,Trevor Crowe,1,3,8
start,460115,Stephen Head,1,4,3
start,457830,Ryan Goleski,1,5,9
start,488740,Jordan Brown,1,6,7
start,449775,Brandon Pinckney,1,7,5
start,444340,Micah Schilling,1,8,10
start,440924,Armando Camacaro,1,9,2
start,460260,Scott Lewis,1,0,1
play,1,0,451621,,,K
play,1,0,452768,,,K
play,1,0,476704,,,S9/F
play,1,0,placeholder,,,POCS2(136)
play,1,1,469040,,,9/L
play,1,1,452073,,,63/G
play,1,1,460067,,,4/P
play,2,0,452658,,,8/F
play,2,0,456031,,,K
play,2,0,457958,,,9/F
play,2,1,460115,,,7/F
play,2,1,457830,,,S8/F
play,2,1,488740,,,4(1)3/G4/GDP
play,3,0,446636,,,S8/F
play,3,0,456390,,,FC1/B.1X2(16);B-1
play,3,0,489227,,,8/F
