id,MisSL200604060
info,visteam,HunSL
info,hometeam,MisSL
info,date,2006/04/06
sub,448184,Steve Moss,0,9,11
play,5,0,448184,,,K
play,5,0,450825,,,W
play,5,0,449776,,,SB2
play,5,0,449776,,,W
play,5,0,457824,,,13/G.1-2;2-3
play,5,0,431153,,,W
play,5,0,462560,,,FC6/G.1X2(64)
play,5,1,150306,,,NP
sub,275934,Mike Meyers,0,9,1
play,5,1,150306,,,S7/L
play,5,1,452169,,,S9/F.1-2
play,5,1,461345,,,D9/L.1-3;2-H
play,5,1,452162,,,53/G.2-3;3-H
play,5,1,446932,,,NP
sub,430643,Onil Joseph,1,9,11
play,5,1,430643,,,S8/G.3-H
play,5,1,453923,,,E6/TH.1-2
play,5,1,445988,,,D9/F.1-H;2-H
play,5,1,488862,,,NP
sub,448297,Matt Yeatman,0,9,1
play,5,1,488862,,,K+CS3
play,6,0,400268,,,NP
sub,430666,Phil Stockman,1,9,1
play,6,0,400268,,,K
play,6,0,451682,,,53/BG
play,6,0,461788,,,K
play,6,1,457454,,,W
play,6,1,150306,,,S8/F.1-2
play,6,1,452169,,,HP.1-2;2-3
play,6,1,461345,,,7/F
play,6,1,452162,,,7/SF.3-H
play,6,1,430666,,,K
play,7,0,448297,,,NP
sub,435139,Lou Palmisano,0,9,11
play,7,0,435139,,,K
play,7,0,450825,,,9/F
play,7,0,449776,,,W
play,7,0,457824,,,9/F
play,7,1,453923,,,NP
sub,455589,Gerrit Simpson,0,9,1
play,7,1,453923,,,K
play,7,1,445988,,,S4/G
play,7,1,488862,,,46(1)3/GDP/G4
play,8,0,431153,,,K
play,8,0,462560,,,4/PF
play,8,0,400268,,,K
play,8,1,457454,,,8/F
play,8,1,150306,,,S7/F
play,8,1,452169,,,K
play,8,1,461345,,,13/G
play,9,0,451682,,,NP
sub,457450,Glenn Tucker,1,9,1
play,9,0,451682,,,W
play,9,0,461788,,,S8/F.1-2
play,9,0,455589,,,NP
sub,457517,Guilder Rodriguez,0,9,11
play,9,0,457517,,,6/L
play,9,0,450825,,,6/P
play,9,0,449776,,,3/G
id,MisSL200604090
info,visteam,HunSL
info,hometeam,MisSL
info,date,2006/04/09
start,450825,Callix Crabbe,0,1,4
start,449776,Drew Anderson,0,2,7
start,448184,Steve Moss,0,3,8
start,431153,Ron Acuna,0,4,9
start,457824,Adam Heether,0,5,5
start,435139,Lou Palmisano,0,6,2
start,462560,Jeffrey Eure,0,7,3
start,461788,Ozzie Chavez,0,8,6
start,434522,Jeff Housman,0,9,1
start,461345,Carl Loadenthal,1,1,8
start,445988,Martin Prado,1,2,5
start,488862,Yunel Escobar,1,3,6
start,150306,Dax Norris,1,4,3
start,452169,Matt Esquivel,1,5,9
start,430643,Onil Joseph,1,6,7
start,434682,Luis Hernandez,1,7,4
start,453835,Ray Serrano,1,8,2
start,425561,Chris Waters,1,9,1
play,1,0,450825,,,53/G
play,1,0,449776,,,7/FF
play,1,0,448184,,,S7/L
play,1,0,431153,,,W.1-2
play,1,0,457824,,,3/L
play,1,1,461345,,,53/G
play,1,1,445988,,,W
play,1,1,488862,,,K
play,1,1,150306,,,6/P
play,2,0,435139,,,W
play,2,0,462560,,,9/F
play,2,0,461788,,,K
play,2,0,434522,,,53/G
play,2,1,452169,,,7/F
play,2,1,430643,,,K
play,2,1,434682,,,K
play,3,0,450825,,,63/G
play,3,0,449776,,,K
play,3,0,448184,,,S5/G
play,3,0,431153,,,S9/F.1-2
play,3,0,457824,,,S9/G.1-2;2-3
play,3,0,435139,,,9/F
play,3,1,453835,,,S5/G
play,3,1,425561,,,FC1/B.1X2(16);B-1
play,3,1,461345,,,7/F
play,3,1,445988,,,S8/G.1-2
play,3,1,488862,,,D9/F.1-H;2-H
play,3,1,150306,,,K
play,4,0,462560,,,K
play,4,0,461788,,,S9/G
play,4,0,434522,,,1/BP
play,4,0,450825,,,POCS2(136)
play,4,1,452169,,,K
play,4,1,430643,,,K
play,4,1,434682,,,3/G
play,5,0,450825,,,8/F
play,5,0,449776,,,T9/F
play,5,0,448184,,,W
play,5,0,431153,,,3/G.1-2;3-H
play,5,0,457824,,,NP
sub,453450,Paul Bush,1,9,1
play,5,0,457824,,,3/PF
play,5,1,453835,,,43/G
play,5,1,453450,,,S9/L
play,5,1,461345,,,FC6/G.1X2(64);B-1
play,5,1,445988,,,W.1-2
play,5,1,488862,,,K
play,6,0,435139,,,S7/F
play,6,0,462560,,,K
play,6,0,461788,,,4/P
play,6,0,434522,,,NP
sub,451682,Kennard Bibbs,0,9,11
play,6,0,451682,,,S9/F.1-3
play,6,0,450825,,,8/F
play,6,1,150306,,,NP
sub,449081,Steve Bray,0,9,1
play,6,1,150306,,,7/F
play,6,1,452169,,,K
play,6,1,430643,,,DGR/F89
play,6,1,434682,,,43/G
play,7,0,449776,,,4/P
play,7,0,448184,,,7/F
play,7,0,431153,,,W
play,7,0,457824,,,8/F
play,7,1,453835,,,S7/G
play,7,1,453450,,,K
play,7,1,461345,,,FC3/G.1X2(36);B-1
play,7,1,445988,,,SB2
play,7,1,445988,,,31/G
play,8,0,435139,,,NP
sub,434580,Brad Baker,1,9,1
play,8,0,435139,,,8/F
play,8,0,462560,,,8/F
play,8,0,461788,,,D7/F
play,8,0,449081,,,NP
sub,457517,Guilder Rodriguez,0,9,11
play,8,0,457517,,,43/G
play,8,1,488862,,,NP
sub,407892,Andy Pratt,0,9,1
play,8,1,488862,,,W
play,8,1,150306,,,S7/G.1-2
play,8,1,452169,,,4(1)3/G4/GDP.2-3
play,8,1,430643,,,S9/G.3-H
play,8,1,434682,,,SB2
play,8,1,434682,,,S6/G.2XH(62)
play,9,0,placeholder,,,NP
sub,407924,Manny Acosta,1,9,1
play,9,0,450825,,,W
play,9,0,449776,,,53/G.1-2
play,9,0,448184,,,63/G.2-3
play,9,0,431153,,,K
id,MisSL200604100
info,visteam,HunSL
info,hometeam,MisSL
info,date,2006/04/10
start,450825,Callix Crabbe,0,1,4
start,449776,Drew Anderson,0,2,7
start,448184,Steve Moss,0,3,8
start,457824,Adam Heether,0,4,5
start,431153,Ron Acuna,0,5,9
start,462560,Jeffrey Eure,0,6,3
start,435139,Lou Palmisano,0,7,2
start,461788,Ozzie Chavez,0,8,6
start,460173,Khalid Ballouli,0,9,1
start,453923,Gregor Blanco,1,1,8
start,445988,Martin Prado,1,2,5
start,488862,Yunel Escobar,1,3,6
start,457454,Jarrod Saltalamacchia,1,4,2
start,150306,Dax Norris,1,5,3
start,452190,Michael Rosamond,1,6,9
start,430643,Onil Joseph,1,7,7
start,434682,Luis Hernandez,1,8,4
start,435259,Dan Curtis,1,9,10
start,434680,Macay McBride,1,0,1
play,1,0,450825,,,S7/L
play,1,0,449776,,,13/SH.1-2
play,1,0,448184,,,K
play,1,0,457824,,,63/G
play,1,1,453923,,,D8/F
play,1,1,445988,,,S6/G.2-3
play,1,1,488862,,,S8/G.1-2;3-H
play,1,1,457454,,,HP.1-2;2-3
play,1,1,150306,,,S7/L.1-2;2-H;3-H
play,1,1,452190,,,K
play,1,1,430643,,,FC3/G.1X2(36);2-3;B-1
play,1,1,434682,,,13/G
play,2,0,placeholder,,,NP
sub,435259,Dan Curtis,1,9,1
play,2,0,431153,,,W
play,2,0,462560,,,S7/L.1-2
play,2,0,435139,,,46(1)3/GDP/G4.2-3
play,2,0,461788,,,31/G
play,2,1,435259,,,K
play,2,1,453923,,,E1/TH
play,2,1,445988,,,FC6/G.1X2(64);B-1
play,2,1,488862,,,FC6/G.1X2(64)
play,3,0,460173,,,S7/G
play,3,0,450825,,,W.1-2
play,3,0,449776,,,K
play,3,0,448184,,,K
play,3,0,457824,,,S9/G.1-3;2-H;B-2
play,3,0,431153,,,W
play,3,0,462560,,,D7/F.1-H;2-H;3-H
play,3,0,435139,,,43/G
play,3,1,457454,,,K
play,3,1,150306,,,53/G
play,3,1,452190,,,D9/F
play,3,1,430643,,,K
play,4,0,461788,,,6/P
play,4,0,460173,,,S8/F
play,4,0,450825,,,9/F
play,4,0,449776,,,SB2
play,4,0,449776,,,43/G
play,4,1,434682,,,43/G
play,4,1,435259,,,W
play,4,1,453923,,,D7/L.1-3
play,4,1,445988,,,FC1.3X3(15)
play,4,1,488862,,,9/L
play,5,0,448184,,,8/F
play,5,0,457824,,,4/P
play,5,0,431153,,,D9/L
play,5,0,462560,,,4/P
play,5,1,457454,,,NP
sub,448297,Matt Yeatman,0,9,1
play,5,1,457454,,,43/G
play,5,1,150306,,,K
play,5,1,452190,,,D7/L
play,5,1,430643,,,53/G
play,6,0,435139,,,NP
sub,446932,Bryan Digby,1,9,1
play,6,0,435139,,,S9/G
play,6,0,461788,,,WP.1-2
play,6,0,461788,,,7/F
play,6,0,448297,,,K
play,6,0,450825,,,W
play,6,0,449776,,,D7/L.1-H;2-H
play,6,0,448184,,,WP.2-3
play,6,0,448184,,,K
play,6,1,434682,,,43/G
play,6,1,446932,,,5/P
play,6,1,453923,,,S5/G
play,6,1,445988,,,S9/G.1-3
play,6,1,488862,,,K
play,7,0,457824,,,K
play,7,0,431153,,,S7/L
play,7,0,462560,,,W.1-2
play,7,0,435139,,,S7/L.1-2;2-3
play,7,0,461788,,,S9/F.1-2;2-3;3-H
play,7,0,448297,,,NP
sub,456099,Greg Sain,0,9,11
play,7,0,456099,,,9/F
play,7,0,450825,,,W.1-2;2-3;3-H
play,7,0,449776,,,8/F
play,7,1,457454,,,NP
sub,206463,Joe Winkelsas,0,9,1
play,7,1,457454,,,K
play,7,1,150306,,,S7/L
play,7,1,452190,,,K
play,7,1,430643,,,FC4/G.1X2(46)
play,8,0,448184,,,S7/L
play,8,0,457824,,,S7/L.1-2
play,8,0,431153,,,S7/L.1-3;2-H;B-2
play,8,0,462560,,,NP
sub,457450,Glenn Tucker,1,7,1
play,8,0,435139,,,NP
sub,461345,Carl Loadenthal,1,9,7
play,8,0,462560,,,FC6.2-3;3XH(652)
play,8,0,435139,,,E5.1-2;3-H
play,8,0,461788,,,FC6/G.1X2(64);2-3;B-1
play,8,0,206463,,,W.1-2
play,8,0,450825,,,S7/L.1-2;2-3;3-H
play,8,0,449776,,,7/F
play,8,1,434682,,,8/F
play,8,1,461345,,,K
play,8,1,453923,,,S8/F
play,8,1,445988,,,FC5/G.1X2(54)
play,9,0,448184,,,D7/F
play,9,0,457824,,,W
play,9,0,431153,,,8/F
play,9,0,462560,,,W.1-2;2-3
play,9,0,435139,,,FC5/G.1-3;2-H;3XH(52);B-1(E)
play,9,0,461788,,,7/F
play,9,1,488862,,,63/G
play,9,1,457454,,,HR/F
play,9,1,150306,,,S7/G
play,9,1,452190,,,S8/G.1-2
play,9,1,457450,,,NP
sub,452169,Matt Esquivel,1,7,11
play,9,1,452169,,,K
play,9,1,434682,,,D7/L.1-3;2-H
play,9,1,461345,,,NP
sub,455589,Gerrit Simpson,0,9,1
play,9,1,461345,,,13/G
id,MisSL200604110
info,visteam,MobSL
info,hometeam,MisSL
info,date,2006/04/11
start,455674,Adam Bourassa,0,1,8
start,458501,Luis Cruz,0,2,4
start,449065,Kennard Jones,0,3,7
start,435459,George Kottaras,0,4,2
start,451258,Brett Bonvechio,0,5,5
start,445928,Drew Macias,0,6,9
start,445143,Fernando Valenzuela Jr.,0,7,3
start,473239,Juan Ciriaco,0,8,6
start,460044,Cesar Carrillo,0,9,1
start,453923,Gregor Blanco,1,1,8
start,445988,Martin Prado,1,2,4
start,488862,Yunel Escobar,1,3,6
start,457454,Jarrod Saltalamacchia,1,4,2
start,150306,Dax Norris,1,5,3
start,452169,Matt Esquivel,1,6,9
start,430643,Onil Joseph,1,7,7
start,452162,Josh Arteaga,1,8,5
start,457461,Sean White,1,9,1
play,1,0,455674,,,7/FF
play,1,0,458501,,,9/F
play,1,0,449065,,,K
play,1,1,453923,,,43/G
play,1,1,445988,,,43/G
play,1,1,488862,,,K
play,2,0,435459,,,K
play,2,0,451258,,,7/F
play,2,0,445928,,,9/F
play,2,1,457454,,,7/F
play,2,1,150306,,,53/G
play,2,1,452169,,,K
play,3,0,445143,,,463/G4
play,3,0,473239,,,K
play,3,0,460044,,,K
play,3,1,430643,,,S6/G
play,3,1,452162,,,S9/L.1-2
play,3,1,457461,,,54/SH.1-2;2-3
play,3,1,453923,,,FC1.3XH(12)
play,3,1,445988,,,9/F
play,4,0,455674,,,S7/F
play,4,0,458501,,,8/F
play,4,0,449065,,,S8/G.1-2
play,4,0,435459,,,S9/F.1-2;2-3
play,4,0,451258,,,S7/F.1-2;2-3;3-H
play,4,0,445928,,,S9/L.1-2;2-3;3-H
play,4,0,445143,,,7/SF.3-H
play,4,0,473239,,,S2/BG.1-2;2-3
play,4,0,460044,,,K
play,4,1,488862,,,S7/L
play,4,1,457454,,,S7/G.1-3
play,4,1,150306,,,7/SF.3-H
play,4,1,452169,,,T9/L.1-H
play,4,1,430643,,,FC4.3XH(42)
play,4,1,452162,,,CS2
play,5,0,455674,,,S8/F
play,5,0,458501,,,FC6/G.1X2(64);B-1
play,5,0,449065,,,WP.1-2
play,5,0,449065,,,63/G.2-3
play,5,0,435459,,,S9/F.3-H
