id,BluAPP200606281
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
play,5,0,455702,,,K
play,5,1,458593,,,W
play,5,1,463717,,,K
play,5,1,462984,,,64(1)3/GDP/G6
play,6,0,457739,,,NP
sub,467746,Juan Escorcha,1,0,1
play,6,0,457739,,,K
play,6,0,465713,,,7/F
play,6,0,471131,,,K
play,6,1,489762,,,K
play,6,1,502664,,,43/G
play,6,1,465753,,,63/G
play,7,0,445165,,,43/G
play,7,0,501920,,,W
play,7,0,474727,,,4/P
play,7,0,458686,,,K
play,7,1,466445,,,K+WP.B-1
play,7,1,457780,,,HP.1-2
play,7,1,488780,,,7/F
play,7,1,458593,,,3/PF
play,7,1,463717,,,K
id,BluAPP200606292
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/29
start,502035,Steven Singleton,0,1,6
start,501979,Garrett Olson,0,2,5
start,501920,Brian Dinkelman,0,3,10
start,474727,Henry Sanchez,0,4,3
start,456999,Jeffrey Christy,0,5,2
start,445180,Danny Santiesteban,0,6,8
start,469083,Richard Sojo,0,7,7
start,468522,Wesley Connor,0,8,9
start,464348,Michael Lysaught,0,9,4
start,461725,Jose Lugo,0,0,1
start,470459,Winter Polo,1,1,9
start,466445,Pedro Silveren,1,2,4
start,502335,Bobby Henson,1,3,6
start,457780,Kieron Pope,1,4,7
start,501794,Anthony Martinez,1,5,3
start,502351,Luis Lopez,1,6,8
start,456388,Emile Thiel,1,7,5
start,462966,Andino Diaz,1,8,10
start,488698,Brian Bent,1,9,2
start,502790,Zachary Jevne,1,0,1
play,1,0,502035,,,K23
play,1,0,501979,,,13/G
play,1,0,501920,,,K
play,1,1,470459,,,K
play,1,1,466445,,,43/G
play,1,1,502335,,,W
play,1,1,457780,,,S9/G.1-3
play,1,1,501794,,,FC6/G.1X2(64)
play,2,0,474727,,,53/G
play,2,0,456999,,,63/G
play,2,0,445180,,,53/G
play,2,1,502351,,,43/G
play,2,1,456388,,,W
play,2,1,462966,,,K
play,2,1,488698,,,HP.1-2
play,2,1,470459,,,53/G
play,3,0,469083,,,D8/L
play,3,0,468522,,,E6.2-H
play,3,0,464348,,,SB2
play,3,0,464348,,,K
play,3,0,502035,,,S8/G.2-H
play,3,0,501979,,,4/PF
play,3,0,501920,,,9/F
play,3,1,466445,,,S7/L
play,3,1,502335,,,D9/L.1-3
play,3,1,457780,,,K
play,3,1,501794,,,K
play,3,1,502351,,,31/G
play,4,0,474727,,,NP
sub,460695,Bryan Lee,1,0,1
play,4,0,474727,,,K23
play,4,0,456999,,,W
play,4,0,445180,,,K
play,4,0,469083,,,43/G
play,4,1,456388,,,W
play,4,1,462966,,,S9/G.1-2
play,4,1,488698,,,24/SH.1-2;2-3
play,4,1,470459,,,K23
play,4,1,466445,,,S6/G.2-3;3-H
play,4,1,502335,,,K
play,5,0,468522,,,HP
play,5,0,464348,,,SB2
play,5,0,464348,,,K+WP.2-3;B-1
play,5,0,502035,,,K
play,5,0,501979,,,W.1-2
play,5,0,501920,,,S7/F.1-2;2-3;3-H
play,5,0,474727,,,K
play,5,0,456999,,,W.1-2;2-3;3-H
play,5,0,445180,,,NP
sub,456954,Matthew Hayes,1,0,1
play,5,0,445180,,,K
play,5,1,457780,,,S7/G
play,5,1,501794,,,W.1-2
play,5,1,502351,,,WP.1-2;2-3
play,5,1,502351,,,6/L
play,5,1,456388,,,K
play,5,1,462966,,,63/G
play,6,0,469083,,,K
play,6,0,468522,,,K
play,6,0,464348,,,W
play,6,0,502035,,,S8/G.1-2
play,6,0,501979,,,E3.1-3;2-H
play,6,0,501920,,,S6/G.1-2;3-H
play,6,0,474727,,,E5.1-2;2-3
play,6,0,456999,,,K
play,6,1,488698,,,NP
sub,460257,Matthew Fox,0,0,1
play,6,1,488698,,,63/G
play,6,1,470459,,,E5
play,6,1,466445,,,K
play,6,1,502335,,,K
play,7,0,445180,,,NP
sub,453565,Samuel Basta,1,0,1
play,7,0,445180,,,K
play,7,0,469083,,,S6/G
play,7,0,468522,,,S7/G.1-2
play,7,0,464348,,,W.1-2;2-3
play,7,0,502035,,,E3.1-2;2-3;3-H
play,7,0,501979,,,K
play,7,0,501920,,,31/G
play,7,1,457780,,,E1
play,7,1,501794,,,K
play,7,1,502351,,,K
play,7,1,456388,,,K
id,BluAPP200607041
info,visteam,PriAPP
info,hometeam,BluAPP
info,date,2006/07/04
start,457775,Desmond Jennings,0,1,8
start,502523,Shawn O'Malley,0,2,6
start,489101,Michael McCormick,0,3,5
start,489071,Andrew Lopez,0,4,7
start,502213,Nevin Ashley,0,5,2
start,456168,Steven Pickerell,0,6,10
start,456823,Seth Dhaenens,0,7,4
start,468527,Epifanio De Leon,0,8,9
start,502583,Eligio Sonoqui,0,9,3
start,503359,Scott Welch,0,0,1
start,463717,Richard D Oleo,1,1,8
start,466445,Pedro Silveren,1,2,4
start,488780,Paul Chmiel,1,3,3
start,457780,Kieron Pope,1,4,7
start,502664,Justin Johnson,1,5,2
start,462984,Franklin Gonzalez,1,6,5
start,489762,Leonel Yeme,1,7,9
start,502335,Bobby Henson,1,8,6
start,503484,Joseph Nowicki,1,9,10
start,503483,Zachary Clark,1,0,1
play,1,0,457775,,,S6/G
play,1,0,502523,,,43/G.1-2
play,1,0,489101,,,K
play,1,0,489071,,,K
play,1,1,463717,,,K
play,1,1,466445,,,8/F
play,1,1,488780,,,D8/F
play,1,1,457780,,,S8/L.2-H
play,1,1,502664,,,HR/L.1-H
play,1,1,462984,,,6/L
play,2,0,502213,,,9/F
play,2,0,456168,,,K
play,2,0,456823,,,K
play,2,1,489762,,,43/G
