id,IowPCL200604060
info,visteam,AlbPCL
info,hometeam,IowPCL
info,date,2006/04/06
start,425473,Jamal Strong,1,3,7
start,282879,Michael Restovich,1,4,9
start,407846,Jeff Deardorff,1,5,3
start,431171,Casey McGehee,1,6,5
start,324432,Augie Ojeda,1,7,6
start,430901,Casey Kopitzke,1,8,2
start,425768,Angel Guzman,1,9,1
play,1,0,150458,,,K
play,1,0,441144,,,S8/L
play,1,0,218694,,,SB2
play,1,0,218694,,,W
play,1,0,434593,,,8/L
play,1,0,407828,,,6/P
play,1,1,429712,,,S9/G
play,1,1,444135,,,9/F
play,1,1,425473,,,SB2
play,1,1,425473,,,63/G.2-3
play,1,1,282879,,,W
play,1,1,407846,,,43/G
play,2,0,133120,,,S8/L
play,2,0,346867,,,8/F
play,2,0,150137,,,143/G1.1-2
play,2,0,461902,,,K
play,2,1,431171,,,S8/L
play,2,1,324432,,,HP.1-2
play,2,1,430901,,,2/PF
play,2,1,425768,,,S4/G.1-2;2-3
play,2,1,429712,,,8/SF.3-H
play,2,1,444135,,,8/L
play,3,0,150458,,,8/F
play,3,0,441144,,,K
play,3,0,218694,,,63/G
play,3,1,425473,,,63/G
play,3,1,282879,,,HR/F
play,3,1,407846,,,3/PF
play,3,1,431171,,,9/F
play,4,0,434593,,,K
play,4,0,407828,,,43/G
play,4,0,133120,,,K
play,4,1,324432,,,W
play,4,1,430901,,,54(1)3/GDP/G5
play,4,1,425768,,,8/F
play,5,0,346867,,,63/G
play,5,0,150137,,,K
play,5,0,461902,,,43/G
play,5,1,429712,,,43/G
play,5,1,444135,,,53/G
play,5,1,425473,,,S7/L
play,5,1,282879,,,SB2
play,5,1,282879,,,E5.2-H
play,5,1,407846,,,SB2
play,5,1,407846,,,S7/L.2-3
play,5,1,431171,,,K
play,6,0,150458,,,NP
sub,458222,Bobby Brownlie,1,9,1
play,6,0,150458,,,S7/L
play,6,0,441144,,,4(B)43(1)/LDP
play,6,0,218694,,,8/F
play,6,1,324432,,,K
play,6,1,430901,,,53/G
play,6,1,458222,,,43/G
play,7,0,434593,,,53/G
play,7,0,407828,,,31/G
play,7,0,133120,,,D8/F
play,7,0,346867,,,D7/F.2-H
play,7,0,150137,,,NP
sub,469832,Andy Shipman,1,9,1
play,7,0,150137,,,K
play,7,1,429712,,,NP
sub,114517,Eddie Gaillard,0,9,1
play,7,1,429712,,,T9/G
play,7,1,444135,,,S8/F.3-H
play,7,1,425473,,,64(1)3/GDP/G6
play,7,1,282879,,,53/G
play,8,0,114517,,,NP
sub,136726,Mike Kinkade,0,9,11
play,8,0,136726,,,2/P
play,8,0,150458,,,S9/L
play,8,0,441144,,,46(1)3/GDP/G4
play,8,1,407846,,,NP
sub,434591,Randy Messenger,0,9,1
play,8,1,407846,,,13/G
play,8,1,431171,,,9/F
play,8,1,324432,,,S8/L
play,8,1,430901,,,SB2
play,8,1,430901,,,W
play,8,1,469832,,,NP
sub,430917,Mike Fontenot,1,9,11
play,8,1,430917,,,W.1-2;2-3
play,8,1,429712,,,NP
sub,150247,Jimmy Anderson,0,9,1
play,8,1,429712,,,T9/L.1-H;2-H;3-H
play,8,1,444135,,,K
play,9,0,218694,,,NP
