id,LanCAL200504120
info,visteam,SanCAL
info,hometeam,LanCAL
info,date,2005/04/12
play,6,0,446879,,,7/F
play,6,0,276534,,,9/F
play,6,0,455962,,,K
play,6,1,449805,,,7/F
play,6,1,452080,,,S8/G
play,6,1,446652,,,64(1)3/GDP/G6
play,7,0,446659,,,53/G
play,7,0,435626,,,S6/G
play,7,0,435623,,,SB2
play,7,0,435623,,,K
play,7,0,435624,,,5/P
play,7,1,471083,,,NP
sub,457910,Eugene Espineli,0,0,1
play,7,1,471083,,,K
play,7,1,448686,,,K
play,7,1,451790,,,8/F
play,8,0,425769,,,NP
sub,454622,Ryan Holsten,1,0,1
play,8,0,425769,,,63/G
play,8,0,425824,,,HR/F
play,8,0,446879,,,S8/G
play,8,0,276534,,,S5/G.1-2
play,8,0,455962,,,HP.1-2;2-3
play,8,0,446659,,,NP
sub,459692,Carlton Wells,1,0,1
play,8,0,446659,,,2/P
play,8,0,435626,,,K
play,8,1,451576,,,NP
sub,452211,Jonny Kaplan,1,8,11
play,8,1,452211,,,K
play,8,1,470364,,,53/G
play,8,1,450294,,,K
play,9,0,435623,,,NP
sub,462950,Danny Richar,1,8,6
play,9,0,435624,,,NP
sub,454563,Alexander Cremidan,1,0,1
play,9,0,435623,,,W
play,9,0,435624,,,43/G.1-2
play,9,0,425769,,,SB3
play,9,0,425769,,,W.3XH(21)
play,9,0,425824,,,8/F
play,9,1,449805,,,W
play,9,1,452080,,,K
play,9,1,446652,,,K
play,9,1,471083,,,3/G
id,LanCAL200504150
info,visteam,StoCAL
info,hometeam,LanCAL
info,date,2005/04/15
start,456659,Luke Appert,0,1,4
start,435562,Richie Robnett,0,2,8
start,435559,Kurt Suzuki,0,3,2
start,435558,Daric Barton,0,4,10
start,456035,Danny Putnam,0,5,7
start,473029,Francis Gomez,0,6,6
start,460607,Vasili Spanos,0,7,3
start,451794,Dustin Majewski,0,8,9
start,455008,John McCurdy,0,9,5
start,446899,Brad Ziegler,0,0,1
start,450294,Erik Schindewolf,1,1,4
start,452211,Jonny Kaplan,1,2,7
start,452080,Chris Carter,1,3,3
start,448686,Jay Garthwaite,1,4,5
start,471083,Miguel Montero,1,5,2
start,446652,Alex Frazier,1,6,10
start,449805,Jeff Cook,1,7,9
start,470364,Lino Garcia,1,8,8
start,462950,Danny Richar,1,9,6
start,453438,Samuel Smith,1,0,1
play,1,0,456659,,,8/F
play,1,0,435562,,,8/F
play,1,0,435559,,,S7/G
play,1,0,435558,,,43/G
play,1,1,450294,,,W
play,1,1,452211,,,64(1)3/GDP/G6
play,1,1,452080,,,K
play,2,0,456035,,,7/F
play,2,0,473029,,,9/F
play,2,0,460607,,,HR/F
play,2,0,451794,,,W
play,2,0,455008,,,K
play,2,1,448686,,,5/L
play,2,1,471083,,,S7/F
play,2,1,446652,,,K+CS2
play,3,0,456659,,,8/F
play,3,0,435562,,,W
play,3,0,435559,,,53/G.1-2
play,3,0,435558,,,HR/F.2-H
play,3,0,456035,,,W
play,3,0,473029,,,S8/F.1-2
play,3,0,460607,,,E3.1-3;2-H
play,3,0,451794,,,S9/F.1-2;3-H
play,3,0,455008,,,S8/G.1-2;2-3
play,3,0,456659,,,9/F
play,3,1,449805,,,S5/G
play,3,1,470364,,,7/F
play,3,1,462950,,,S8/F.1-3
play,3,1,450294,,,5/P.3X3(56)
play,4,0,435562,,,K
play,4,0,435559,,,HP
play,4,0,435558,,,7/L
play,4,0,456035,,,T7/F.1-H
play,4,0,473029,,,63/G
play,4,1,452211,,,E6
play,4,1,452080,,,S9/F.1-3
play,4,1,448686,,,WP.1-2;3-H
play,4,1,448686,,,W
play,4,1,471083,,,8/F
play,4,1,446652,,,S7/L.1-H;2-H;B-2
play,4,1,449805,,,9/F
play,4,1,470364,,,53/G
play,5,0,460607,,,NP
sub,461351,Reuben Kerbs,1,0,1
play,5,0,460607,,,T7/L
play,5,0,451794,,,6/P
play,5,0,455008,,,S7/F.3-H
play,5,0,456659,,,S8/F.1-2
play,5,0,435562,,,K
play,5,0,435559,,,S7/F.2XH
play,5,1,462950,,,D7/L
play,5,1,450294,,,8/F
play,5,1,452211,,,W
play,5,1,452080,,,NP
sub,456575,Christopher Dunwell,0,0,1
play,5,1,452080,,,S8/G.1-2;2-H
play,5,1,448686,,,9/F
play,5,1,471083,,,W.1-2;2-3
play,5,1,446652,,,WP.1-2;2-3;3-H
play,5,1,446652,,,6/P
play,6,0,435558,,,9/F
play,6,0,456035,,,7/F
play,6,0,473029,,,K
play,6,1,449805,,,S7/F
play,6,1,470364,,,8/F
play,6,1,462950,,,7/L
play,6,1,450294,,,S4/G.1-3
play,6,1,452211,,,WP.1-2;3-H
play,6,1,452211,,,K
play,7,0,460607,,,K
play,7,0,451794,,,43/G
play,7,0,455008,,,7/F
play,7,1,452080,,,NP
sub,454537,Jared Burton,0,0,1
play,7,1,452080,,,63/G
play,7,1,448686,,,7/L
play,7,1,471083,,,S8/F
play,7,1,446652,,,3/P
play,8,0,456659,,,NP
sub,448157,Ryan Coffin,1,0,1
play,8,0,456659,,,K
play,8,0,435562,,,S9/F
play,8,0,435559,,,8/F
play,8,0,435558,,,8/L
play,8,1,449805,,,NP
sub,455041,Alex Santos,0,0,1
play,8,1,449805,,,43/G
play,8,1,470364,,,K
play,8,1,462950,,,63/G
play,9,0,456035,,,S9/F
play,9,0,473029,,,S3/BG.1-2
play,9,0,460607,,,FC5/G.1X2(54);2-3;B-1
play,9,0,451794,,,NP
sub,459692,Carlton Wells,1,0,1
play,9,0,451794,,,S7/F.1-2;3-H
play,9,0,455008,,,64(1)3/GDP/G6
play,9,1,450294,,,W
play,9,1,452211,,,NP
sub,454453,Edgar Varela,1,2,11
play,9,1,454453,,,K
play,9,1,452080,,,7/F
play,9,1,448686,,,E4.1-3
play,9,1,471083,,,PB.1-2;3-H
play,9,1,471083,,,K
id,LanCAL200504160
info,visteam,StoCAL
info,hometeam,LanCAL
info,date,2005/04/16
start,456659,Luke Appert,0,1,4
start,435562,Richie Robnett,0,2,8
start,460607,Vasili Spanos,0,3,3
start,435558,Daric Barton,0,4,10
start,456035,Danny Putnam,0,5,7
start,473029,Francis Gomez,0,6,6
start,451794,Dustin Majewski,0,7,9
start,455008,John McCurdy,0,8,5
start,461759,Jed Morris,0,9,2
start,458233,Trent Peterson,0,0,1
start,451790,Steve Garrabrants,1,1,4
start,452211,Jonny Kaplan,1,2,9
start,452080,William Carter,1,3,3
start,448686,Jay Garthwaite,1,4,5
start,471083,Miguel Montero,1,5,10
start,446652,Alex Frazier,1,6,7
start,449806,Brian Rose,1,7,2
start,470364,Lino Garcia,1,8,8
start,462950,Danny Richar,1,9,6
start,461317,Christopher Kinsey,1,0,1
play,1,0,456659,,,E4/TH.B-2
play,1,0,435562,,,S7/L.2-3
play,1,0,460607,,,S8/F.1-3;3-H
play,1,0,435558,,,W.1-2
play,1,0,456035,,,K
play,1,0,473029,,,4/P
play,1,0,451794,,,D9/F.1-3;2-H;3-H
play,1,0,455008,,,63/G
play,1,1,451790,,,S7/F
play,1,1,452211,,,2/PF
play,1,1,452080,,,5/PF
play,1,1,448686,,,FC4/G.1X2(46)
play,2,0,461759,,,S9/F
play,2,0,456659,,,W.1-2
play,2,0,435562,,,7/F
play,2,0,460607,,,8/F.2-3
play,2,0,435558,,,S7/F.1-3;3-H
play,2,0,456035,,,W.1-2
play,2,0,473029,,,1/G
play,2,1,471083,,,63/G
play,2,1,446652,,,K
play,2,1,449806,,,53/G
