TeamID,City,Nickname,League,06Aff,07Aff,08Aff,09Aff,10Aff
OklPCL,Oklahoma City,RedHawks,PCL,Tex,Tex,Tex,Tex,Tex
MisPIO,Missoula,Osprey,PIO,Ari,Ari,Ari,Ari,Ari
LkcMDW,Lake County,Captains,MDW,None,None,None,None,Cle
AroAZL,AZL Royals, ,AZL,Kan,Kan,Kan,Kan,Kan
MidDSL,DSL Brewers, ,DSL,None,None,None,None,Mil
BriAPP,Bristol,Sox,APP,Chw,Chw,Chw,Chw,Chw
StiNYP,Staten Island,Yankees,NYP,Nyy,Nyy,Nyy,Nyy,Nyy
TidDSL,DSL Tigers, ,DSL,None,None,None,Det,Det
DurIL,Durham,Bulls,IL,Tam,Tam,Tam,Tam,Tam
VphVZL,VSL Phillies, ,VZL,Phi,Phi,Phi,Phi,Phi
HicSAL,Hickory,Crawdads,SAL,Pit,Pit,Pit,Tex,Tex
ConNYP,Connecticut,Tigers,NYP,None,None,None,None,Det
PulAPP,Pulaski,Mariners,APP,Tor,Tor,Tor,Sea,Sea
GtwGCL,GCL Twins, ,GCL,Min,Min,Min,Min,Min
HarEL,Harrisburg,Senators,EL,Was,Was,Was,Was,Was
SavSAL,Savannah,Sand Gnats,SAL,Was,Nym,Nym,Nym,Nym
FriTEX,Frisco,RoughRiders,TEX,Tex,Tex,Tex,Tex,Tex
GidDSL,DSL Giants, ,DSL,None,None,None,Sfg,Sfg
RomSAL,Rome,Braves,SAL,Atl,Atl,Atl,Atl,Atl
ReaEL,Reading,Phillies,EL,Phi,Phi,Phi,Phi,Phi
AraAZL,AZL Rangers, ,AZL,Tex,Tex,Tex,Tex,Tex
GrePIO,Great Falls,White Sox,PIO,Chw,Chw,Chw,Chw,Chw
SalNWL,Salem-Keizer,Volcanoes,NWL,Sfg,Sfg,Sfg,Sfg,Sfg
VtiVZL,VSL Tigers, ,VZL,None,None,None,Det,Det
OrePIO,Orem,Owlz,PIO,Laa,Laa,Laa,Laa,Laa
CleAZL,AZL Indians, ,AZL,None,None,None,Cle,Cle
KinAPP,Kingsport,Mets,APP,Nym,Nym,Nym,Nym,Nym
GpiGCL,GCL Pirates, ,GCL,Pit,Pit,Pit,Pit,Pit
TacPCL,Tacoma,Rainiers,PCL,Sea,Sea,Sea,Sea,Sea
VtbVZL,VSL Twins/Blue Jays, ,VZL,Min,Min,Min,None,None
OmaPCL,Omaha,Royals,PCL,Kan,Kan,Kan,Kan,Kan
PorPCL,Portland,Beavers,PCL,Sdp,Sdp,Sdp,Sdp,Sdp
NwbEL,New Britain,Rock Cats,EL,Min,Min,Min,Min,Min
LkwSAL,Lakewood,BlueClaws,SAL,Phi,Phi,Phi,Phi,Phi
MfdDSL,DSL Mets2, ,DSL,None,None,None,None,Nym
BjdDSL,DSL Blue Jays, ,DSL,None,None,None,Tor,Tor
PalFSL,Palm Beach,Cardinals,FSL,St.,St.,St.,St.,St.
StdDSL,DSL Cardinals, ,DSL,None,None,None,St.,St.
LehIL,Lehigh Valley,IronPigs,IL,None,None,Phi,Phi,Phi
MidTEX,Midland,RockHounds,TEX,Oak,Oak,Oak,Oak,Oak
GphGCL,GCL Phillies, ,GCL,Phi,Phi,Phi,Phi,Phi
AkrEL,Akron,Aeros,EL,Cle,Cle,Cle,Cle,Cle
MonSL,Montgomery,Biscuits,SL,Tam,Tam,Tam,Tam,Tam
ColPCL,Colorado Springs,Sky Sox,PCL,Col,Col,Col,Col,Col
GreAPP,Greeneville,Astros,APP,Hou,Hou,Hou,Hou,Hou
ObdDSL,DSL Orioles2, ,DSL,None,None,None,Mlt,Bal
GyaGCL,GCL Yankees, ,GCL,Nyy,Nyy,Nyy,Nyy,Nyy
TwdDSL,DSL Twins, ,DSL,None,None,None,Min,Min
CrdDSL,DSL Rockies, ,DSL,None,None,None,Col,Col
BowEL,Bowie,Baysox,EL,Bal,Bal,Bal,Bal,Bal
BowMDW,Bowling Green,Hot Rods,MDW,None,None,None,Tam,Tam
EliAPP,Elizabethton,Twins,APP,Min,Min,Min,Min,Min
BluAPP,Bluefield, Orioles,APP,Bal,Bal,Bal,Bal,Bal
HunSL,Huntsville,Stars,SL,Mil,Mil,Mil,Mil,Mil
LkcSAL,Lake County,Captains,SAL,Cle,Cle,Cle,Cle,None
SwmMDW,Southwest Michigan,Devil Rays,MDW,Tam,None,None,None,None
ChaSL,Chattanooga,Lookouts,SL,Cin,Cin,Cin,Lad,Lad
RadDSL,DSL Rangers, ,DSL,None,None,None,Tex,Tex
BakCAL,Bakersfield,Blaze,CAL,Tex,Tex,Tex,Tex,Tex
JamNYP,Jamestown,Jammers,NYP,Flo,Flo,Flo,Flo,Flo
MobSL,Mobile,BayBears,SL,Sdp,Ari,Ari,Ari,Ari
