id,ChaIL200505090
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/09
play,1,0,425488,,,S9/L
play,1,0,439421,,,64(1)3/GDP/G6
play,1,1,462441,,,31/G
play,1,1,434601,,,3/PF
play,1,1,150032,,,D9/L
play,1,1,435042,,,8/F
play,2,0,440056,,,31/G
play,2,0,430899,,,S5/BG.B-2(E5/TH)
play,2,0,124388,,,W
play,2,0,434630,,,5/P
play,2,0,407855,,,9/F
play,2,1,150243,,,S9/G
play,2,1,406550,,,3/PF
play,2,1,400021,,,64(1)3/GDP/G6
play,3,0,408244,,,E1
play,3,0,406428,,,54(1)3/GDP/G5
play,3,0,425488,,,D8/F
play,3,0,439421,,,K
play,3,1,115263,,,S8/G
play,3,1,150399,,,SB2
play,3,1,150399,,,31/G.2-3
play,3,1,462441,,,K
play,3,1,434601,,,HR/F.3-H
play,3,1,150032,,,S9/G
play,3,1,435042,,,FC4/G.1X2(4)
play,4,0,440056,,,53/G
play,4,0,430899,,,HP
play,4,0,124388,,,SB2
play,4,0,124388,,,63/G.2-3
play,4,0,434630,,,9/F
play,4,1,150243,,,3/PF
play,4,1,406550,,,43/G
play,4,1,400021,,,D9/L
play,4,1,115263,,,S6/G
play,4,1,150399,,,S3/G.1-2;2-3
play,4,1,462441,,,K
play,5,0,407855,,,9/F
play,5,0,408244,,,13/G
play,5,0,406428,,,13/G
play,5,1,434601,,,53/G
play,5,1,150032,,,W
play,5,1,435042,,,CS2
play,5,1,435042,,,K
play,6,0,425488,,,NP
sub,425553,David Sanders,1,0,1
play,6,0,425488,,,E1/TH.B-H
play,6,0,439421,,,9/F
play,6,0,440056,,,43/G
play,6,0,430899,,,S6/G
play,6,0,124388,,,7/F
play,6,1,150243,,,D8/F
play,6,1,406550,,,E6.2-H;B-2
play,6,1,400021,,,D8/F.2-H
play,6,1,115263,,,23/SH.2-3
play,6,1,150399,,,14/SH.3-H
play,6,1,462441,,,K
play,7,0,434630,,,D7/F
play,7,0,407855,,,63/G.2-3
play,7,0,408244,,,13/G
play,7,0,406428,,,S2/BG.3-H
play,7,0,425488,,,53/G
play,7,1,434601,,,NP
sub,430626,Eddy Rodriguez,0,0,1
play,7,1,434601,,,W
play,7,1,150032,,,D8/L.1-3
play,7,1,435042,,,63/G.3-H
play,7,1,150243,,,K
play,7,1,406550,,,W
play,7,1,400021,,,K
play,8,0,439421,,,NP
sub,434599,Matt Smith,1,0,1
play,8,0,439421,,,K
play,8,0,440056,,,W
