id,MidTEX200505040
info,visteam,TulTEX
info,hometeam,MidTEX
info,date,2005/05/04
play,2,0,150306,,,8/F
play,2,1,450196,,,S5/G
play,2,1,459322,,,46(1)3/GDP/G4
play,2,1,425851,,,63/G
play,3,0,455986,,,K
play,3,0,461811,,,K
play,3,0,431246,,,31/G
play,3,1,452712,,,K
play,3,1,460183,,,K
play,3,1,456577,,,7/F
play,4,0,462405,,,43/G
play,4,0,443767,,,K
play,4,0,464240,,,43/G
play,4,1,461769,,,43/G
play,4,1,435560,,,S6/G
play,4,1,444843,,,WP.1-2
play,4,1,444843,,,K
play,4,1,450196,,,3/L
play,5,0,458658,,,63/G
play,5,0,430591,,,W
play,5,0,150306,,,7/F
play,5,0,455986,,,8/F
play,5,1,459322,,,6/P
play,5,1,425851,,,53/G
play,5,1,452712,,,W
play,5,1,460183,,,D8/F.1-H
play,5,1,456577,,,K
play,6,0,461811,,,S5/G
play,6,0,431246,,,16(1)3/GDP/G1
play,6,0,462405,,,1/G
play,6,1,461769,,,W
play,6,1,435560,,,6(1)3/G6/GDP
play,6,1,444843,,,3/G
play,7,0,443767,,,8/F
play,7,0,464240,,,53/G
play,7,0,458658,,,K
play,7,1,450196,,,NP
sub,449143,Monte Mansfield,0,0,1
play,7,1,450196,,,7/F
play,7,1,459322,,,63/G
play,7,1,425851,,,S7/L
play,7,1,452712,,,K
play,8,0,430591,,,NP
sub,434632,Evan Fahrner,1,0,1
play,8,0,430591,,,K
play,8,0,150306,,,63/G
play,8,0,455986,,,43/G
play,8,1,460183,,,63/G
play,8,1,456577,,,W
play,8,1,461769,,,SB2
play,8,1,461769,,,43/G.2-3
play,8,1,435560,,,W
play,8,1,444843,,,63/G
play,9,0,461811,,,63/G
play,9,0,431246,,,7/F
play,9,0,462405,,,8/F
id,MidTEX200505161
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2005/05/16
start,461811,Josh Anderson,0,1,8
start,431246,Eric Riggs,0,2,6
start,462405,Brooks Conrad,0,3,4
start,443767,Carlos Rodriguez,0,4,7
start,464240,Ray Navarrete,0,5,5
start,430590,Charlton Jimerson,0,6,9
start,430591,Hector Gimenez,0,7,2
start,455986,Mark Saccomanno,0,8,10
start,468010,Junior Zamora,0,9,3
start,434642,Mark McLemore,0,0,1
start,456577,Mark Kiger,1,1,4
start,460183,Lloyd Turner,1,2,5
start,444843,Andre Ethier,1,3,7
start,425851,Jeremy Brown,1,4,2
start,459322,Brian Stavisky,1,5,10
start,450196,Brant Colamarino,1,6,3
start,452712,Matthew Allegra,1,7,9
start,435560,Omar Quintanilla,1,8,6
start,461769,Steve Stanley,1,9,8
start,451795,Matt Lynch,1,0,1
play,1,0,461811,,,13/G
play,1,0,431246,,,3/P
play,1,0,462405,,,D7/L
play,1,0,443767,,,S9/L.2-H
play,1,0,464240,,,8/F
play,1,1,456577,,,S8/L
play,1,1,460183,,,FC3/G.1X2(36);B-1
play,1,1,444843,,,K
play,1,1,425851,,,K
play,2,0,430590,,,K
play,2,0,430591,,,7/F
play,2,0,455986,,,9/F
play,2,1,459322,,,7/F
play,2,1,450196,,,S8/L
play,2,1,452712,,,S7/L.1-2
play,2,1,435560,,,43/G.1-2;2-3
play,2,1,461769,,,D7/L.2-H;3-H
play,2,1,456577,,,43/G
play,3,0,468010,,,S7/L
play,3,0,461811,,,K
play,3,0,431246,,,13/SH.1-2
play,3,0,462405,,,D7/L.2-H
play,3,0,443767,,,8/L
play,3,1,460183,,,W
play,3,1,444843,,,S9/G.1-2
play,3,1,425851,,,543/GTP/G5.1X2;2X3
play,4,0,464240,,,8/F
play,4,0,430590,,,5/PF
play,4,0,430591,,,8/F
play,4,1,459322,,,43/G
play,4,1,450196,,,43/G
play,4,1,452712,,,53/G
play,5,0,455986,,,K
play,5,0,468010,,,S5/G
play,5,0,461811,,,S7/L.1-2
play,5,0,431246,,,8/F
play,5,0,462405,,,W.1-2;2-3
play,5,0,443767,,,T8/F.1-H;2-H;3-H
play,5,0,464240,,,63/G
play,5,1,435560,,,D7/L
play,5,1,461769,,,7/F
play,5,1,456577,,,W
play,5,1,460183,,,W.1-2;2-3
play,5,1,444843,,,46(1)3/GDP/G4
play,6,0,430590,,,7/F
play,6,0,430591,,,S8/L
play,6,0,455986,,,46(1)3/GDP/G4
play,6,1,425851,,,43/G
play,6,1,459322,,,S8/G
play,6,1,450196,,,46(1)3/GDP/G4
play,7,0,468010,,,NP
sub,446629,Nick Brannon,1,0,1
play,7,0,468010,,,K23
play,7,0,461811,,,63/G
play,7,0,431246,,,W
play,7,0,462405,,,W.1-2
play,7,0,443767,,,NP
sub,456729,Kyle Crowell,1,0,1
play,7,0,443767,,,K
play,7,1,452712,,,E5/TH
play,7,1,435560,,,K
play,7,1,461769,,,7/F
play,7,1,456577,,,4/P
id,MidTEX200505162
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2005/05/16
start,461811,Josh Anderson,0,1,8
start,431246,Eric Riggs,0,2,6
start,462405,Brooks Conrad,0,3,4
start,443767,Carlos Rodriguez,0,4,7
start,464240,Ray Navarrete,0,5,5
start,430590,Charlton Jimerson,0,6,9
start,150306,Dax Norris,0,7,2
start,454472,Pat Peavey,0,8,10
start,468010,Junior Zamora,0,9,3
start,448200,Chris Sampson,0,0,1
start,461769,Steve Stanley,1,1,8
start,435560,Omar Quintanilla,1,2,6
start,444843,Andre Ethier,1,3,9
start,450196,Brant Colamarino,1,4,3
start,459322,Brian Stavisky,1,5,7
start,452712,Matthew Allegra,1,6,10
start,462390,Casey Myers,1,7,2
