MLBAM,First,Last,Bats,Throws,M,D,Y
477368,Juan,Alvarez,R,R,,,
501236,Pedro,Ramirez,R,R,9,09,1987
587131,Smailey,Borges,R,R,1,28,1984
549930,Alberto,Carreon,R,R,05,01,1988
549931,Carlos,Saldivar,R,R,12,24,1989
477361,Rodolfo,Aguirre,R,R,07,26,1985
477360,Gaudencio,Aguirre,R,R,1,22,1973
477362,Manuel,Alfonso,L,R,12,28,1976
477365,Shammar,Almeida,L,R,,,
534612,Nate,Recknagel,R,R,04,29,1986
477367,Hector,Alvarez,R,R,,,
477366,Antonio,Alvarez,R,R,6,09,1971
543475,Jordan,Lyles,R,R,10,19,1990
543474,Carlos,Luna,R,R,10,05,1986
543477,Mike,Lynn,R,R,10,11,1984
543476,Colin,Lynch,R,R,08,30,1985
543471,Jose,Lozada,B,R,12,29,1985
501545,Alejandro,Selen,R,R,3,20,1989
543473,Aaron,Luna,R,R,03,28,1987
543472,Spencer,Lucian,R,R,10,04,1985
543478,David,Macias,B,R,03,07,1986
150173,Wilton,Veras,R,R,1,19,1978
150174,Rob,Bell,R,R,1,17,1977
593505,Oswaldo,Bravo,L,L,4,23,1993
447841,Luis,Lajara,L,L,12,12,1984
451747,Dominick,Ambrosini,L,L,02,21,1981
593506,Jose,Brazoban,R,R,5,28,1993
501239,Harol,Tolentino,R,L,11,08,1988
489569,Daniel,Hawkins,R,R,8,11,1982
596732,Ryan,Query,R,R,08,24,1987
150178,Jason,LaRue,R,R,3,19,1974
488833,James,Deters,R,R,6,04,1983
596733,Meng,Tsai,R,R,05,13,1990
467808,Eleno,Soto,R,R,12,28,1987
467853,Carlos,Quintana,,,6,14,1987
593509,Jossiel,Martinez,L,L,11,9,1991
467805,Pedro,Gonzalez,L,R,10,29,1986
543135,Nathan,Eovaldi,R,R,02,13,1990
467807,Deivis,Mavares,R,R,9,19,1986
467806,Allan,De San Miguel,R,R,2,01,1988
467801,Jeury,Pimental,R,R,9,20,1985
467802,Jonathan,Ortiz,R,R,10,29,1985
487676,Israel,Nunez,R,R,9,01,1985
487677,Alfredo,Mateo,B,R,9,12,1987
456152,Nilson,Berroa,B,R,12,30,1987
453431,Ralph,Roberts,R,R,3,28,1980
453430,Brian,Walker,L,L,2,20,1980
456157,Eduardo,Caraballo,B,R,6,14,1987
