id,AbeNYP200506210
info,visteam,HudNYP
info,hometeam,AbeNYP
info,date,2005/06/21
sub,488909,Gregory Gonzalez,0,4,8
play,9,1,451187,,,NP
sub,489116,Joseph Mihalics,0,7,4
play,9,1,466956,,,NP
sub,451252,Aristides Almenar,0,0,1
play,9,1,460623,,,43/G
play,9,1,489711,,,NP
sub,489710,Jason Maxey,1,7,11
play,9,1,489710,,,6/P
play,9,1,451187,,,8/F
id,AbeNYP200507010
info,visteam,BroNYP
info,hometeam,AbeNYP
info,date,2005/07/01
start,446001,Jonel Pacheco,0,1,8
start,489116,Joseph Mihalics,0,2,6
start,446018,Jesus Gamero,0,3,9
start,452067,Caleb Stewart,0,4,7
start,459001,Joshua Petersen,0,5,5
start,459014,Jeffrey Timmons,0,6,10
start,458054,David Wabick,0,7,3
start,452029,Rafael Arroyo,0,8,2
start,450798,Ivan Naccarata,0,9,4
start,452056,Jeffrey Landing,0,0,1
start,461823,Lorenzo Scott Jr.,1,1,8
start,489338,Ryan Steinbach,1,2,6
start,488879,Mark Fleisher,1,3,3
start,489710,Jason Maxey,1,4,10
start,460099,Nolan Reimold,1,5,9
start,452652,Corey Shafer,1,6,7
start,448642,Robert Marconi,1,7,5
start,469698,Jose Zapata,1,8,4
start,488814,Kyle Dahlberg,1,9,2
start,448658,Ryan Schwabe,1,0,1
play,1,0,446001,,,S8/G
play,1,0,489116,,,SB2
play,1,0,489116,,,13/G.2-3
play,1,0,446018,,,53/G
play,1,0,452067,,,PB.3-H
play,1,0,452067,,,K
play,1,1,461823,,,S7/G
play,1,1,489338,,,6(1)3/G6/GDP
play,1,1,488879,,,W
play,1,1,489710,,,43/G
play,2,0,459001,,,63/G
play,2,0,459014,,,K
play,2,0,458054,,,43/G
play,2,1,460099,,,53/G
play,2,1,452652,,,63/G
play,2,1,448642,,,HR/F
play,2,1,469698,,,K
play,3,0,452029,,,K
play,3,0,450798,,,9/F
play,3,0,446001,,,53/G
play,3,1,488814,,,K
play,3,1,461823,,,S3/G
play,3,1,489338,,,13/G.1-2
play,3,1,488879,,,W
play,3,1,489710,,,WP.1-2;2-3
play,3,1,489710,,,S8/G.2-H;3-H
play,3,1,460099,,,HR/F.1-H
play,3,1,452652,,,W
play,3,1,448642,,,FC5/G.1X2(54)
play,4,0,489116,,,K
play,4,0,446018,,,S7/G
play,4,0,452067,,,K
play,4,0,459001,,,43/G
play,4,1,469698,,,NP
sub,488737,Eric Brown,0,0,1
play,4,1,469698,,,43/G
play,4,1,488814,,,8/F
play,4,1,461823,,,43/G
play,5,0,459014,,,K
play,5,0,458054,,,7/F
play,5,0,452029,,,3/PF
play,5,1,489338,,,3/G
play,5,1,488879,,,S7/G
play,5,1,489710,,,46(1)3/GDP/G4
play,6,0,450798,,,S9/G
play,6,0,446001,,,FC4/G.1X2(46);B-1
play,6,0,489116,,,9/F
play,6,0,446018,,,FC6/G.1X2(64)
play,6,1,460099,,,K
play,6,1,452652,,,3/G
play,6,1,448642,,,K
play,7,0,452067,,,7/F
play,7,0,459001,,,8/F
play,7,0,459014,,,HR/F
play,7,0,458054,,,D8/F
play,7,0,452029,,,NP
sub,444449,Kyle Boehm,1,0,1
play,7,0,452029,,,E6/TH.2-H
play,7,0,450798,,,9/F
play,7,1,469698,,,NP
sub,457694,Kyle Risinger,0,0,1
play,7,1,469698,,,13/G
play,7,1,488814,,,K
play,7,1,461823,,,D7/F
play,7,1,489338,,,31/G
play,8,0,446001,,,S5/G
play,8,0,489116,,,NP
sub,448757,Jonathan Malo,0,2,11
play,8,0,448757,,,6/P
play,8,0,446018,,,PO1(E?).1-2
play,8,0,452067,,,NP
sub,460098,Blake Owen,1,0,1
play,8,0,446018,,,4/P
play,8,0,452067,,,PB.2-3
play,8,0,452067,,,W
play,8,0,459001,,,8/F
play,8,1,488879,,,NP
sub,449171,Armand Gaerlan,0,2,6
play,8,1,488879,,,53/G
play,8,1,489710,,,53/G
play,8,1,460099,,,D8/F
play,8,1,452652,,,S9/G.2-H;BX2(96)
play,9,0,459014,,,NP
sub,488909,Gregory Gonzalez,0,6,11
play,9,0,488909,,,K
play,9,0,458054,,,43/G
play,9,0,452029,,,NP
sub,456895,Timothy Grogan,0,8,11
play,9,0,456895,,,W
play,9,0,450798,,,SB2
play,9,0,450798,,,8/F
id,AbeNYP200507020
info,visteam,BroNYP
info,hometeam,AbeNYP
info,date,2005/07/02
start,488909,Gregory Gonzalez,0,1,8
start,449171,Armand Gaerlan,0,2,4
start,458054,David Wabick,0,3,10
start,459001,Joshua Petersen,0,4,3
start,456895,Timothy Grogan,0,5,5
start,460077,Andrew Butera,0,6,2
start,489311,Michael Sharpe,0,7,9
start,488973,Joseph Holden,0,8,7
start,489116,Joseph Mihalics,0,9,6
start,446017,Orlando Rengel,0,0,1
start,461823,Lorenzo Scott Jr.,1,1,8
start,462918,Angel Avila,1,2,9
start,488879,Mark Fleisher,1,3,3
start,460099,Nolan Reimold,1,4,10
start,460194,Zachary Davis,1,5,7
start,448642,Robert Marconi,1,6,4
start,460623,Matthew Pulley,1,7,5
start,466956,Francisco Guerrero,1,8,6
start,488814,Kyle Dahlberg,1,9,2
start,467785,Radhames Liz,1,0,1
play,1,0,488909,,,K
play,1,0,449171,,,D9/L
play,1,0,458054,,,W
play,1,0,459001,,,WP.1-2;2-3
play,1,0,459001,,,53/G.2-3;3-H
play,1,0,456895,,,K
play,1,1,461823,,,K
play,1,1,462918,,,S7/L
play,1,1,placeholder,,,POCS2(136)
play,1,1,488879,,,K
play,2,0,460077,,,S6/G
play,2,0,489311,,,K
play,2,0,488973,,,7/F
play,2,0,489116,,,K
play,2,1,460099,,,K
play,2,1,460194,,,7/F
play,2,1,448642,,,63/G
play,3,0,488909,,,8/F
play,3,0,449171,,,3/PF
play,3,0,458054,,,K
play,3,1,460623,,,31/G
play,3,1,466956,,,K
play,3,1,488814,,,W
play,3,1,461823,,,K
play,4,0,459001,,,S8/L
play,4,0,456895,,,K
play,4,0,460077,,,K+CS2
play,4,1,462918,,,S7/G
play,4,1,488879,,,7/F
play,4,1,460099,,,K+SB2
play,4,1,460194,,,31/G
play,5,0,489311,,,K
play,5,0,488973,,,S9/L
play,5,0,489116,,,W.1-2
play,5,0,488909,,,K
play,5,0,449171,,,7/F
play,5,1,448642,,,D9/L
play,5,1,460623,,,NP
sub,451663,Robert Paulk,0,0,1
play,5,1,460623,,,S7/L.2-3
play,5,1,466956,,,K
play,5,1,488814,,,63/G.1-2;3-H
play,5,1,461823,,,K23
play,6,0,458054,,,NP
sub,457903,Bryce Chamberlin,1,0,1
play,6,0,458054,,,S9/F
play,6,0,459001,,,D9/F.1-3
play,6,0,456895,,,K
play,6,0,460077,,,K
play,6,0,489311,,,K23
play,6,1,462918,,,NP
sub,458703,Eric Domangue,0,0,1
play,6,1,462918,,,K
play,6,1,488879,,,8/F
play,6,1,460099,,,4/P
play,7,0,488973,,,7/F
play,7,0,489116,,,K
play,7,0,488909,,,13/G
play,7,1,460194,,,W
play,7,1,448642,,,23/SH.1-2
play,7,1,460623,,,5/PF
play,7,1,466956,,,K
play,8,0,449171,,,53/G
play,8,0,458054,,,K
play,8,0,459001,,,K
play,8,1,488814,,,W
play,8,1,461823,,,1/BP
play,8,1,462918,,,64(1)3/GDP/G6
play,9,0,456895,,,NP
sub,451758,Henry Lozado,1,0,1
play,9,0,456895,,,3/G
play,9,0,460077,,,NP
sub,450798,Ivan Naccarata,0,6,11
play,9,0,450798,,,K
play,9,0,489311,,,K
play,9,1,488879,,,NP
sub,452029,Rafael Arroyo,0,6,2
play,9,1,460099,,,NP
sub,488815,Joe D'Alessandro,0,0,1
play,9,1,488879,,,9/F
play,9,1,460099,,,E5
play,9,1,460194,,,E6.1-2
play,9,1,448642,,,S7/F.1-2;2XH
play,9,1,460623,,,31/G
play,10,0,488973,,,S8/G
play,10,0,489116,,,13/SH.1-2
play,10,0,488909,,,NP
sub,446001,Jonel Pacheco,0,1,11
play,10,0,446001,,,K
play,10,0,449171,,,K
play,10,1,466956,,,NP
sub,446001,Jonel Pacheco,0,1,8
play,10,1,466956,,,K
play,10,1,488814,,,K
play,10,1,461823,,,K
play,11,0,458054,,,K23
play,11,0,459001,,,S7/F
play,11,0,456895,,,CS2
play,11,0,456895,,,K
play,11,1,462918,,,K
play,11,1,488879,,,S6/G
play,11,1,460099,,,NP
sub,451187,Bradford Wiggins,1,3,12
play,11,1,460099,,,D7/F.1-3
play,11,1,460194,,,NP
sub,489377,Kevin Tomasiewicz,0,0,1
play,11,1,460194,,,4/P
play,11,1,448642,,,IW
play,11,1,460623,,,53/G
play,12,0,452029,,,NP
sub,452093,Ryan Finan,1,3,3
play,12,0,489311,,,NP
sub,461825,Russell Brocato,1,0,1
play,12,0,452029,,,7/F
play,12,0,489311,,,NP
sub,446018,Jesus Gamero,0,7,11
play,12,0,446018,,,K
play,12,0,488973,,,S6/G
play,12,0,489116,,,NP
sub,448757,Jonathan Malo,0,9,11
play,12,0,448757,,,8/F
play,12,1,466956,,,NP
sub,446018,Jesus Gamero,0,7,9
play,12,1,488814,,,NP
sub,448757,Jonathan Malo,0,9,6
play,12,1,461823,,,NP
sub,451252,Aristides Almenar,0,0,1
play,12,1,466956,,,7/F
play,12,1,488814,,,K
play,12,1,461823,,,63/G
play,13,0,446001,,,S9/L
play,13,0,449171,,,K
play,13,0,458054,,,4(1)3/G4/GDP
play,13,1,462918,,,3/PF
play,13,1,452093,,,5/PF
play,13,1,460099,,,K
play,14,0,459001,,,9/F
play,14,0,456895,,,W
play,14,0,452029,,,64(1)3/GDP/G6
play,14,1,460194,,,HR/F
id,AbeNYP200507030
info,visteam,WilNYP
info,hometeam,AbeNYP
info,date,2005/07/03
start,452121,Brent Lillibridge,0,1,6
start,448794,Cameron Blair,0,2,4
start,446394,James Boone,0,3,10
start,449115,Euvi Solano,0,4,5
start,460047,Brad Corley,0,5,8
start,459774,Jason Delaney,0,6,9
start,456665,Steven Pearce,0,7,3
start,457486,Denny Nino,0,8,2
start,445974,Anthony Stevens,0,9,7
start,445170,Todd Redmond,0,0,1
start,460194,Zachary Davis,1,1,8
start,489338,Ryan Steinbach,1,2,6
start,488879,Mark Fleisher,1,3,10
start,452093,Ryan Finan,1,4,3
start,460099,Nolan Reimold,1,5,9
start,448642,Robert Marconi,1,6,5
start,452652,Corey Shafer,1,7,7
start,489711,Joe Michalski,1,8,2
start,469698,Jose Zapata,1,9,4
start,455970,Robert McCrory,1,0,1
play,1,0,452121,,,63/G
play,1,0,448794,,,K
play,1,0,446394,,,3/G
play,1,1,460194,,,63/G
play,1,1,489338,,,K
play,1,1,488879,,,9/F
play,2,0,449115,,,9/F
play,2,0,460047,,,W
play,2,0,459774,,,46(1)3/GDP/G4
play,2,1,452093,,,D8/L
play,2,1,460099,,,53/G
play,2,1,448642,,,K
play,2,1,452652,,,S8/L.2XH
play,3,0,456665,,,S8/L
play,3,0,457486,,,S9/L.1-3
play,3,0,445974,,,64(1)3/GDP/G6.3-H
play,3,0,452121,,,S8/L
play,3,0,448794,,,7/F
play,3,1,489711,,,K
play,3,1,469698,,,K
play,3,1,460194,,,8/F
play,4,0,446394,,,31/G
play,4,0,449115,,,63/G
play,4,0,460047,,,HP
play,4,0,459774,,,3/L
play,4,1,489338,,,9/F
play,4,1,488879,,,K
play,4,1,452093,,,43/G
play,5,0,456665,,,8/F
play,5,0,457486,,,S8/G
play,5,0,445974,,,WP.1-2
play,5,0,445974,,,K
play,5,0,452121,,,63/G
play,5,1,460099,,,W
play,5,1,448642,,,64(1)3/GDP/G6
play,5,1,452652,,,W
play,5,1,489711,,,DGR/F9.1-3
play,5,1,469698,,,5/P
play,6,0,448794,,,S9/L
play,6,0,446394,,,SB2
play,6,0,446394,,,31/G.2-3
play,6,0,449115,,,E5.3-H
play,6,0,460047,,,HP.1-2
play,6,0,459774,,,PB.1-2;2-3
play,6,0,459774,,,9/F.3XH(92)
play,6,1,460194,,,NP
sub,446003,Luis Valdez,0,0,1
play,6,1,460194,,,13/G
play,6,1,489338,,,W
