id,ColSAL200604280
info,visteam,AshSAL
info,hometeam,ColSAL
info,date,2006/04/28
play,6,0,455126,,,63/G.2-3
play,6,0,488716,,,63/G
play,6,1,488906,,,K
play,6,1,461315,,,K
play,6,1,451096,,,W
play,6,1,452199,,,13/G
play,7,0,457595,,,NP
sub,467796,Matthew Gomez de Segura,1,0,1
play,7,0,457595,,,43/G
play,7,0,446087,,,K
play,7,0,455391,,,5/P
play,7,1,489065,,,NP
sub,446363,Ethan Katz,0,0,1
play,7,1,489065,,,53/G
play,7,1,468401,,,W
play,7,1,465698,,,K
play,7,1,469125,,,4/P
play,8,0,451198,,,NP
sub,451534,Jordan Pratt,1,0,1
play,8,0,451198,,,K
play,8,0,452014,,,K
play,8,0,451594,,,S8/G
play,8,0,458913,,,S7/L.1-2
play,8,0,455126,,,SB3;SB2
play,8,0,455126,,,W
play,8,0,488716,,,S7/L.1-2;2-H;3-H
play,8,0,457595,,,K
play,8,1,474443,,,S3/BG
play,8,1,488906,,,13/SH.1-2
play,8,1,461315,,,S8/G.2-H
play,8,1,451096,,,D8/F.1-H
play,8,1,452199,,,63/G
play,8,1,489065,,,31/G
play,9,0,446087,,,W
play,9,0,455391,,,FC4/G.1X2(46);B-1
play,9,0,451198,,,SB2
play,9,0,451198,,,W
play,9,0,452014,,,S7/G.1-2;2-3
play,9,0,451594,,,NP
sub,465719,Francisco Felix,1,0,1
play,9,0,451594,,,W.1-2;2-3;3-H
play,9,0,458913,,,5/P
play,9,0,455126,,,HR/F7.1-H;2-H;3-H
play,9,0,488716,,,K+WP.B-1
play,9,0,457595,,,53/G
play,9,1,468401,,,NP
sub,446116,James Burok,0,0,1
play,9,1,468401,,,4/P
play,9,1,465698,,,13/G
play,9,1,469125,,,5/P
id,ColSAL200605010
info,visteam,AshSAL
info,hometeam,ColSAL
info,date,2006/05/01
start,451594,Dexter Fowler,0,1,8
start,458913,Eric YoungJr.,0,2,4
start,455126,Christopher Nelson,0,3,6
start,488716,Kyle Blumenthal,0,4,10
start,446087,Travis Becktel,0,5,7
start,455391,Michael Paulk,0,6,3
start,453045,Daniel Carte,0,7,9
start,488793,Christopher Cook,0,8,5
start,452014,Nelson Robledo,0,9,2
start,450583,Zachary Simons,0,0,1
start,488906,Adam Godwin,1,1,8
start,461315,Lucas May,1,2,7
start,451096,Sergio Pedroza,1,3,9
start,452199,Russell Mitchell,1,4,5
start,468401,Eduardo Perez,1,5,10
start,472544,David Sutherland,1,6,3
start,447749,Anthony Harper,1,7,2
start,469125,Jesus Soto,1,8,4
start,474443,Ivan De Jesus,1,9,6
start,457428,James McDonald,0,0,1
play,1,0,451594,,,K
play,1,0,458913,,,43/G
play,1,0,455126,,,2/G
play,1,1,488906,,,8/F
play,1,1,461315,,,K
play,1,1,451096,,,HP
play,1,1,452199,,,43/G
play,2,0,488716,,,63/G
play,2,0,446087,,,W
play,2,0,455391,,,W.1-2
play,2,0,453045,,,S7/L.1-2;2-H
play,2,0,488793,,,54(1)3/GDP/G5
play,2,1,468401,,,8/F
play,2,1,472544,,,43/G
play,2,1,447749,,,S7/G
play,2,1,469125,,,8/F
play,3,0,452014,,,2/PF
play,3,0,451594,,,K23
play,3,0,458913,,,43/G
play,3,1,474443,,,D7/F
play,3,1,488906,,,3/G.2-3
play,3,1,461315,,,K
play,3,1,451096,,,3/G
play,4,0,455126,,,K
play,4,0,488716,,,K
play,4,0,446087,,,K
play,4,1,452199,,,K
play,4,1,468401,,,HP
play,4,1,472544,,,S9/F.1-2
play,4,1,447749,,,E6.1-2;2-3
play,4,1,469125,,,E6/TH.1-2;2-3;3-H
play,4,1,474443,,,8/SF.1-2;2-3;3-H
play,4,1,488906,,,PO2(14)
play,5,0,455391,,,W
play,5,0,453045,,,S8/G.1-2
play,5,0,488793,,,HR/F7.1-H;2-H
play,5,0,452014,,,NP
sub,464340,Arismendy Castillo,1,0,1
play,5,0,452014,,,S9/G
play,5,0,451594,,,FC1/G.1X2(16);B-1
play,5,0,458913,,,43/G.1-2
play,5,0,455126,,,PB.2-3
play,5,0,455126,,,W
play,5,0,488716,,,8/F
play,5,1,488906,,,S8/G
play,5,1,461315,,,D7/L.1-3
play,5,1,451096,,,S8/G.2-H;3-H
play,5,1,452199,,,D7/F.1-3
play,5,1,468401,,,K
play,5,1,472544,,,WP.2-H;3-H
play,5,1,472544,,,S9/F
play,5,1,447749,,,NP
sub,465616,George Delgado,0,0,1
play,5,1,447749,,,7/F
play,5,1,469125,,,3/G
play,6,0,446087,,,43/G
play,6,0,455391,,,63/G
play,6,0,453045,,,K
play,6,1,474443,,,HP
play,6,1,488906,,,13/SH.1-2
play,6,1,461315,,,HP
play,6,1,451096,,,S7/L.1-2;2-3
play,6,1,452199,,,K
play,6,1,468401,,,K
play,7,0,488793,,,K
play,7,0,452014,,,3/PF
play,7,0,451594,,,W
play,7,0,458913,,,SB2.1-H(E6)
play,7,0,458913,,,S7/F
play,7,0,455126,,,SB2
play,7,0,455126,,,63/G
play,7,1,472544,,,NP
sub,488706,Byron Binda,0,0,1
play,7,1,472544,,,53/G
play,7,1,447749,,,K23
play,7,1,469125,,,K
play,8,0,488716,,,NP
sub,462961,Miguel Sanfler,1,0,1
play,8,0,488716,,,5/P
play,8,0,446087,,,W
play,8,0,455391,,,W.1-2
play,8,0,453045,,,WP.1-2;2-3
play,8,0,453045,,,W
play,8,0,488793,,,W.1-2;2-3;3-H
