id,AbeNYP200606230
info,visteam,BroNYP
info,hometeam,AbeNYP
info,date,2006/06/23
play,4,1,459933,,,63/G
play,5,0,465041,,,S8/F
play,5,0,502167,,,S8/L.1-2
play,5,0,460344,,,FC4/G.1X2(46);2-3;B-1
play,5,0,501912,,,4/P
play,5,0,502278,,,W.1-2
play,5,0,446089,,,S8/F.1-3(E8/TH);2-H;3-H;B-2
play,5,0,488796,,,HP
play,5,0,502346,,,FC6/G.1X2(64)
play,5,1,460018,,,53/G
play,5,1,114909,,,6/P
play,5,1,489401,,,S8/F
play,5,1,452652,,,WP.1-2
play,5,1,452652,,,41/G
play,6,0,450632,,,NP
sub,448642,Robert Marconi,1,3,5
play,6,0,465041,,,NP
sub,489362,Chad Thall,1,0,1
play,6,0,450632,,,E4/TH
play,6,0,465041,,,PO1(E?).1-2
play,6,0,465041,,,K
play,6,0,502167,,,S9/F.2-H
play,6,0,460344,,,PO1(16)
play,6,0,460344,,,K
play,6,1,485573,,,NP
sub,453521,Juan Velazquez,0,0,1
play,6,1,485573,,,S9/F
play,6,1,460194,,,K
play,6,1,473224,,,8/F
play,6,1,502487,,,K
play,7,0,501912,,,63/G
play,7,0,502278,,,K
play,7,0,446089,,,6/P
play,7,1,459933,,,NP
sub,502546,Luke Trubee,0,0,1
play,7,1,459933,,,63/G
play,7,1,460018,,,53/G
play,7,1,448642,,,2/PF
play,8,0,488796,,,8/F
play,8,0,502346,,,NP
sub,473990,Ryan Stadanlick,1,0,1
play,8,0,502346,,,K
play,8,0,450632,,,8/F
play,8,1,489401,,,NP
sub,502170,Nicholas Peterson,0,0,1
play,8,1,489401,,,143/G1
play,8,1,452652,,,S7/L
play,8,1,485573,,,W.1-2
play,8,1,460194,,,7/F
play,8,1,473224,,,K
play,9,0,465041,,,NP
sub,489759,Luis Lebron,1,0,1
play,9,0,465041,,,K
play,9,0,502167,,,W
play,9,0,460344,,,7/F
play,9,0,501912,,,SB2
play,9,0,501912,,,4/L
id,AbeNYP200607040
info,visteam,StiNYP
info,hometeam,AbeNYP
info,date,2006/07/04
start,502363,Christopher Kunda,0,1,4
start,488796,James Cooper,0,2,7
start,502278,Mitchell Hilligoss,0,3,6
start,446089,Kyle Larsen,0,4,10
start,450632,Kevin Smith,0,5,3
start,502346,Timothy O'Brien,0,6,5
start,459934,Brian Aragon,0,7,9
start,468474,Jose Gil,0,8,2
start,460344,Wilkins De La Rosa,0,9,8
start,468483,Francisco Castillo,0,0,1
start,459933,Robert Andrews,1,1,8
start,488652,Miguel Abreu,1,2,4
start,485573,Victor Castillo,1,3,2
start,489401,Christopher Vinyard,1,4,3
start,452652,Corey Shafer,1,5,7
start,448642,Robert Marconi,1,6,5
start,460623,Matthew Pulley,1,7,10
start,462918,Angel Avila,1,8,9
start,502487,Jedidiah Stephen,1,9,6
start,457673,Jeffrey Moore,1,0,1
play,1,0,502363,,,K
play,1,0,488796,,,HP
play,1,0,502278,,,8/F
play,1,0,446089,,,K
play,1,1,459933,,,W
play,1,1,488652,,,13/SH.1-2
play,1,1,485573,,,4/P
play,1,1,489401,,,S8/G.2-H
play,1,1,452652,,,K
play,2,0,450632,,,T9/G
play,2,0,502346,,,3/G.3-H
play,2,0,459934,,,E9.B-2
play,2,0,468474,,,S7/G.2XH;B-2
play,2,0,460344,,,6/P
play,2,1,448642,,,53/G
play,2,1,460623,,,S7/G
play,2,1,462918,,,K
play,2,1,502487,,,FC6/G.1X2(64)
play,3,0,502363,,,8/F
play,3,0,488796,,,7/F
play,3,0,502278,,,7/F
play,3,1,459933,,,63/G
play,3,1,488652,,,D7/G
play,3,1,485573,,,SB3.2-H(E2/TH)
play,3,1,485573,,,63/G
play,3,1,489401,,,K
play,4,0,446089,,,9/F
play,4,0,450632,,,7/F
play,4,0,502346,,,9/F
play,4,1,452652,,,S5/G
play,4,1,448642,,,K
play,4,1,460623,,,46(1)3/GDP/G4
play,5,0,459934,,,D9/G
play,5,0,468474,,,7/F
play,5,0,460344,,,8/F
play,5,0,502363,,,8/F
play,5,1,462918,,,S9/G
play,5,1,502487,,,SB2
play,5,1,502487,,,S2/BG.2-3
play,5,1,459933,,,FC5.1-2;3XH(52)
play,5,1,488652,,,BK.1-2;2-3
play,5,1,488652,,,IW
play,5,1,485573,,,32(3)3/GDP/G3
play,6,0,488796,,,43/G
play,6,0,502278,,,8/F
play,6,0,446089,,,K
play,6,1,489401,,,7/F
play,6,1,452652,,,43/G
play,6,1,448642,,,S7/G
play,6,1,460623,,,3/G
play,7,0,450632,,,NP
sub,448839,Julio Soriano,1,0,1
play,7,0,450632,,,K23
play,7,0,502346,,,K
play,7,0,459934,,,43/G
play,7,1,462918,,,NP
sub,502546,Luke Trubee,0,0,1
play,7,1,462918,,,53/G
play,7,1,502487,,,8/F
play,7,1,459933,,,K
play,8,0,468474,,,43/G
play,8,0,460344,,,53/G
play,8,0,502363,,,K
play,8,1,488652,,,13/G
play,8,1,485573,,,K
play,8,1,489401,,,K
play,9,0,488796,,,NP
sub,460194,Zachary Davis,1,8,9
play,9,0,502278,,,NP
sub,488720,Brett Bordes,1,0,1
play,9,0,488796,,,NP
sub,457107,Wilmer Pino,0,2,11
play,9,0,457107,,,W
play,9,0,502278,,,S5/G.1-2
play,9,0,446089,,,K
play,9,0,450632,,,6(B)64(2)/LDP
id,AbeNYP200607050
info,visteam,HudNYP
info,hometeam,AbeNYP
info,date,2006/07/05
start,489094,John Matulia,0,1,8
start,502338,Joseph Callender,0,2,5
start,469775,Maiko Loyola,0,3,9
start,446612,Matthew Fields,0,4,3
start,444981,Ryan Royster,0,5,7
start,452740,Matt Spring,0,6,10
start,451190,Thomas Lagreid,0,7,2
start,471858,Jairo de la Rosa,0,8,6
start,489739,Eric Durante,0,9,4
start,454666,Woods Fines,0,0,1
start,459933,Robert Andrews,1,1,8
start,488652,Miguel Abreu,1,2,4
start,490716,Paul Winterling,1,3,9
start,489401,Christopher Vinyard,1,4,3
start,452652,Corey Shafer,1,5,7
start,448642,Robert Marconi,1,6,5
start,485573,Victor Castillo,1,7,2
start,460194,Zachary Davis,1,8,10
start,460018,Todd Davison,1,9,6
start,453316,Nathan Nery,1,0,1
play,1,0,489094,,,K
play,1,0,502338,,,W
play,1,0,469775,,,S1/G.1-3
play,1,0,446612,,,FC5/G.1X2(54);3-H;B-1
play,1,0,444981,,,8/F
play,1,1,459933,,,HP
play,1,1,488652,,,FC3/G.1X2(36);B-1
play,1,1,490716,,,D8/F.1-H
play,1,1,489401,,,S9/L.2-H
play,1,1,452652,,,K
play,1,1,448642,,,4/P
play,2,0,452740,,,5/PF
play,2,0,451190,,,13/G
play,2,0,471858,,,S7/G
play,2,0,489739,,,S8/F.1-3
play,2,0,489094,,,CSH
play,2,1,485573,,,S8/G
play,2,1,460194,,,K
play,2,1,460018,,,FC6/G.1X2(64);B-1
play,2,1,459933,,,W.1-2
play,2,1,488652,,,53/G
play,3,0,489094,,,43/G
play,3,0,502338,,,K23
play,3,0,469775,,,K
play,3,1,490716,,,8/F
play,3,1,489401,,,7/F
play,3,1,452652,,,S9/F
play,3,1,448642,,,8/F
play,4,0,446612,,,S8/F
play,4,0,444981,,,3/G.1-2
play,4,0,452740,,,K23
play,4,0,451190,,,8/L
play,4,1,485573,,,HP
play,4,1,460194,,,FC5/G.1X2(54);B-1
play,4,1,460018,,,D7/L.1-H
play,4,1,459933,,,S8/F.2-H
play,4,1,488652,,,S9/G.1-3
play,4,1,490716,,,D7/F.1-3;3-H
play,4,1,489401,,,K23
play,4,1,452652,,,4/P
play,5,0,471858,,,13/G
play,5,0,489739,,,W
play,5,0,489094,,,SB2
play,5,0,489094,,,3/SH.2-3
play,5,0,502338,,,8/L
play,5,1,448642,,,8/F
play,5,1,485573,,,63/G
play,5,1,460194,,,K
play,6,0,469775,,,NP
sub,451758,Henry Lozado,1,0,1
play,6,0,469775,,,S7/G
play,6,0,446612,,,S9/G.1-2
play,6,0,444981,,,14/SH.1-2;2-3
play,6,0,452740,,,PB.2-3;3-H
play,6,0,452740,,,K
play,6,0,451190,,,63/G
play,6,1,460018,,,5/L
play,6,1,459933,,,8/F
play,6,1,488652,,,S8/G
play,6,1,490716,,,SB2
play,6,1,490716,,,SB3.2-H(E2/TH)
play,6,1,490716,,,S7/G
play,6,1,489401,,,NP
sub,472592,Roberto Gil,0,0,1
play,6,1,489401,,,D8/F.1-H
play,6,1,452652,,,W
play,6,1,448642,,,13/G
play,7,0,471858,,,NP
sub,455970,Bob McCrory,1,0,1
play,7,0,471858,,,3/P
play,7,0,489739,,,K
play,7,0,489094,,,43/G
play,7,1,485573,,,6/P
play,7,1,460194,,,8/L
play,7,1,460018,,,53/G
play,8,0,502338,,,NP
sub,474039,Pedro Beato,1,0,1
play,8,0,502338,,,13/G
play,8,0,469775,,,W
play,8,0,446612,,,9/F
play,8,0,444981,,,W.1-2
play,8,0,452740,,,K
play,8,1,459933,,,NP
sub,446231,Neal Frontz,0,0,1
play,8,1,459933,,,W
play,8,1,488652,,,7/F
play,8,1,490716,,,7/F
play,8,1,489401,,,DGR/F78.1-3
play,8,1,452652,,,13/G
play,9,0,451190,,,NP
sub,473990,Ryan Stadanlick,1,0,1
play,9,0,451190,,,63/G
play,9,0,471858,,,K
play,9,0,489739,,,S7/L.BX2(743)
id,AbeNYP200607060
info,visteam,HudNYP
info,hometeam,AbeNYP
info,date,2006/07/06
start,489094,John Matulia,0,1,8
start,502338,Joseph Callender,0,2,5
start,285078,Josh Hamilton,0,3,10
start,446612,Matthew Fields,0,4,3
start,469775,Maiko Loyola,0,5,9
start,444981,Ryan Royster,0,6,10
start,452740,Matt Spring,0,7,10
start,471858,Jairo de la Rosa,0,8,6
start,489739,Eric Durante,0,9,4
start,476451,Jeremy Hellickson,0,0,1
start,459933,Robert Andrews,1,1,8
start,488652,Miguel Abreu,1,2,5
start,490716,Paul Winterling,1,3,9
start,489401,Christopher Vinyard,1,4,10
start,452652,Corey Shafer,1,5,7
start,474319,Brandon Snyder,1,6,2
start,473224,Joel Pacheco,1,7,3
start,460018,Todd Davison,1,8,4
start,502487,Jedidiah Stephen,1,9,6
start,460249,Kyle Schmidt,1,0,1
play,1,0,489094,,,43/G
play,1,0,502338,,,K
play,1,0,285078,,,W
play,1,0,446612,,,FC5/G.1X2(54)
play,1,1,459933,,,43/G
play,1,1,488652,,,S7/F
play,1,1,490716,,,SB2
play,1,1,490716,,,K
play,1,1,489401,,,S8/L.2-H
play,1,1,452652,,,E2.1-2;B-1
play,1,1,474319,,,WP.1-2;2-3
play,1,1,474319,,,K
play,2,0,469775,,,K
play,2,0,444981,,,K
play,2,0,452740,,,S7/L
play,2,0,471858,,,K
play,2,1,473224,,,K
play,2,1,460018,,,8/F
play,2,1,502487,,,W
play,2,1,459933,,,43/G
play,3,0,489739,,,K
play,3,0,489094,,,3/G
play,3,0,502338,,,13/G
play,3,1,488652,,,K
play,3,1,490716,,,8/F
play,3,1,489401,,,W
play,3,1,452652,,,S7/F.1-2
play,3,1,474319,,,K
play,4,0,285078,,,6/P
play,4,0,446612,,,K
play,4,0,469775,,,D9/F
play,4,0,444981,,,53/G
play,4,1,473224,,,K
play,4,1,460018,,,53/G
play,4,1,502487,,,8/F
play,5,0,452740,,,K
play,5,0,471858,,,8/F
play,5,0,489739,,,K
play,5,1,459933,,,13/G
play,5,1,488652,,,63/G
play,5,1,490716,,,K
play,6,0,489094,,,D9/F
play,6,0,502338,,,S5/G.2-3
play,6,0,285078,,,PB.1-2
play,6,0,285078,,,43/G.2-3;3-H
play,6,0,446612,,,K
play,6,0,469775,,,K
play,6,1,489401,,,NP
sub,489703,Brett Nagy,0,0,1
play,6,1,452652,,,NP
sub,489740,David Kennedy,0,3,7
play,6,1,474319,,,NP
sub,469775,Maiko Loyola,0,5,9
play,6,1,489401,,,13/G
play,6,1,452652,,,K
play,6,1,474319,,,K
play,7,0,444981,,,8/F
play,7,0,452740,,,K
play,7,0,471858,,,HP
play,7,0,489739,,,K
play,7,1,473224,,,S9/L.B-2(E9)
play,7,1,460018,,,23/SH.2-3
play,7,1,502487,,,8/SF.3-H
play,7,1,459933,,,8/F
play,8,0,489094,,,NP
sub,488720,Brett Bordes,1,0,1
play,8,0,489094,,,K
play,8,0,502338,,,K
play,8,0,489740,,,W
play,8,0,446612,,,9/F
play,8,1,488652,,,NP
sub,489702,Brian Baker,0,0,1
play,8,1,488652,,,D9/F
play,8,1,490716,,,1/P
play,8,1,489401,,,S8/F.2-H
play,8,1,452652,,,16(1)3/GDP/G1
play,9,0,469775,,,W
play,9,0,444981,,,NP
sub,489759,Luis Lebron,1,0,1
play,9,0,444981,,,WP.1-2
play,9,0,444981,,,S9/F.2-H
play,9,0,placeholder,,,NP
sub,451197,Brandon Rousseve,0,6,12
play,9,0,452740,,,SB2
play,9,0,452740,,,K
play,9,0,471858,,,K
play,9,0,489739,,,W
play,9,0,489094,,,W.1-2;2-3
play,9,0,502338,,,9/F
id,AbeNYP200607070
info,visteam,HudNYP
info,hometeam,AbeNYP
info,date,2006/07/07
start,489094,John Matulia,0,1,8
start,502338,Joseph Callender,0,2,5
start,285078,Josh Hamilton,0,3,10
start,446612,Matthew Fields,0,4,3
start,469775,Maiko Loyola,0,5,9
start,444981,Ryan Royster,0,6,7
start,452740,Matt Spring,0,7,2
start,471858,Jairo de la Rosa,0,8,6
start,451197,Brandon Rousseve,0,9,4
start,502159,Ryan Owen,0,0,1
start,459933,Robert Andrews,1,1,8
start,488652,Miguel Abreu,1,2,9
start,490716,Paul Winterling,1,3,7
start,489401,Christopher Vinyard,1,4,3
start,448642,Robert Marconi,1,5,5
start,473224,Joel Pacheco,1,6,10
start,485573,Victor Castillo,1,7,2
start,460018,Todd Davison,1,8,4
start,502487,Jedidiah Stephen,1,9,6
