id,TreEL200505060
info,visteam,AltEL
info,hometeam,TreEL
info,date,2005/05/06
play,7,1,150202,,,8/F
play,7,1,462375,,,7/F
play,7,1,450363,,,SB2
play,7,1,450363,,,6/P
play,8,0,430832,,,NP
sub,447797,Ben Julianel,1,0,1
play,8,0,430832,,,HP
play,8,0,433593,,,K
play,8,0,454990,,,K
play,8,0,444422,,,S9/L.1-3
play,8,0,434658,,,SB2
play,8,0,434658,,,K
play,8,1,435408,,,53/G
play,8,1,453911,,,43/G
play,8,1,451668,,,S8/L
play,8,1,466320,,,9/F
play,9,0,444839,,,NP
sub,447788,Justin Pope,1,0,1
play,9,0,444839,,,63/G
play,9,0,113941,,,D8/L
play,9,0,455650,,,K
play,9,0,425661,,,13/G
id,TreEL200505100
info,visteam,ReaEL
info,hometeam,TreEL
info,date,2005/05/10
start,456422,Michael Bourn,0,1,8
start,434562,Chris Roberson,0,2,9
start,441117,Ryan Fleming,0,3,7
start,457859,Randy Ruiz,0,4,3
start,407913,Jim Deschaine,0,5,10
start,425494,Juan Richardson,0,6,5
start,458504,Daniel Gonzalez,0,7,6
start,430936,Brian Hitchcox,0,8,4
start,430937,Trent Pratt,0,9,2
start,441127,Allen Davis,0,0,1
start,453911,Kevin Thompson,1,1,7
start,451668,Gabe Lopez,1,2,4
start,466320,Melky Cabrera,1,3,8
start,455167,Shelly Duncan,1,4,3
start,449080,Eric Duncan,1,5,5
start,150202,Dee Brown,1,6,10
start,462375,Andy Cannizaro,1,7,6
start,435408,Omir Santos,1,8,2
start,430577,Yobal Duenas,1,9,9
start,444371,Jeffrey Karstens,1,0,1
play,1,0,456422,,,43/G
play,1,0,434562,,,K
play,1,0,441117,,,S9/L
play,1,0,457859,,,S8/G.1-2
play,1,0,407913,,,FC5/G.1X2(54)
play,1,1,453911,,,K
play,1,1,451668,,,S4/G
play,1,1,466320,,,K
play,1,1,455167,,,D7/L.1XH
play,2,0,425494,,,S7/G
play,2,0,458504,,,7/F
play,2,0,430936,,,K+CS2
play,2,1,449080,,,8/F
play,2,1,150202,,,K
play,2,1,462375,,,13/G
play,3,0,430937,,,K
play,3,0,456422,,,K
play,3,0,434562,,,13/G
play,3,1,435408,,,8/F
play,3,1,430577,,,2/PF
play,3,1,453911,,,9/F
play,4,0,441117,,,S5/BG
play,4,0,457859,,,K
play,4,0,407913,,,SB2
play,4,0,407913,,,S7/G.2-H;BX2(75)
play,4,0,425494,,,K
play,4,1,451668,,,4/P
play,4,1,466320,,,8/F
play,4,1,455167,,,S7/F
play,4,1,449080,,,W.1-2
play,4,1,150202,,,K
play,5,0,458504,,,13/G
play,5,0,430936,,,43/G
play,5,0,430937,,,63/G
play,5,1,462375,,,D7/G
play,5,1,435408,,,S9/F
play,5,1,430577,,,K
play,5,1,453911,,,FC6/G.1X2(64);2-3;B-1
play,5,1,451668,,,SB2
play,5,1,451668,,,S9/L.2XH;3-H
play,6,0,456422,,,S8/G
play,6,0,434562,,,S7/G.1-2
play,6,0,441117,,,E1/TH.1-2;2-3
play,6,0,457859,,,63/G.1-2;2-3;3-H
play,6,0,407913,,,S8/G.2-3;3-H
play,6,0,425494,,,D7/F.1-H;3-H
play,6,0,458504,,,3/G.2-3
play,6,0,430936,,,S8/G.3-H
play,6,0,430937,,,NP
sub,430682,Eduardo Sierra,1,0,1
play,6,0,430937,,,53/G
play,6,1,466320,,,K
play,6,1,455167,,,S5/G
play,6,1,449080,,,S9/G.1-2
play,6,1,150202,,,K
play,6,1,462375,,,6/P
play,7,0,456422,,,D9/G
play,7,0,434562,,,S8/L.2-H;B-2
play,7,0,441117,,,T9/L.2-H
play,7,0,457859,,,7/SF.3-H
play,7,0,407913,,,E9.BX2(946)
play,7,0,425494,,,13/G
play,7,1,435408,,,S7/L
play,7,1,430577,,,D7/F.1-3
play,7,1,453911,,,S7/L.2-3;3-H
play,7,1,451668,,,NP
sub,425550,Ryan Cameron,0,0,1
play,7,1,451668,,,SB2
play,7,1,451668,,,63/G.3-H
play,7,1,466320,,,8/F
play,7,1,455167,,,3/P
play,8,0,458504,,,NP
sub,425899,Charlie Manning,1,0,1
play,8,0,458504,,,K
play,8,0,430936,,,9/F
play,8,0,430937,,,W
play,8,0,456422,,,FC6/G.1X2(64)
play,8,1,449080,,,8/F
play,8,1,150202,,,6/P
play,8,1,462375,,,53/G
play,9,0,434562,,,K
play,9,0,441117,,,HP
play,9,0,457859,,,64(1)3/GDP/G6
play,9,1,435408,,,NP
sub,437729,Jeff Wilson,0,0,1
play,9,1,435408,,,K
play,9,1,430577,,,7/F
play,9,1,453911,,,W
play,9,1,451668,,,FC6/G.1X2(64)
id,TreEL200505110
info,visteam,ReaEL
info,hometeam,TreEL
info,date,2005/05/11
start,456422,Michael Bourn,0,1,8
start,434562,Chris Roberson,0,2,9
start,453461,Ryan Barthelemy,0,3,3
start,457859,Randy Ruiz,0,4,10
start,407913,Jim Deschaine,0,5,7
start,425494,Juan Richardson,0,6,5
start,430936,Brian Hitchcox,0,7,4
start,472923,Carlos Leon,0,8,6
start,430937,Trent Pratt,0,9,2
start,420944,Mike Smith,0,0,1
start,453911,Kevin Thompson,1,1,7
start,451668,Gabe Lopez,1,2,4
start,466320,Melky Cabrera,1,3,8
start,455167,Shelly Duncan,1,4,3
start,449080,Eric Duncan,1,5,5
start,150202,Dee Brown,1,6,10
start,462375,Andy Cannizaro,1,7,6
start,450363,Bronson Sardinha,1,8,9
start,435408,Omir Santos,1,9,2
start,451774,Matthew Desalvo,1,0,1
play,1,0,456422,,,K
play,1,0,434562,,,8/L
play,1,0,453461,,,K
play,1,1,453911,,,HP
play,1,1,451668,,,CS2
play,1,1,451668,,,63/G
play,1,1,466320,,,13/G
play,2,0,457859,,,K
play,2,0,407913,,,4/P
play,2,0,425494,,,K
play,2,1,455167,,,8/F
play,2,1,449080,,,63/G
play,2,1,150202,,,HR/F
play,2,1,462375,,,HP
play,2,1,450363,,,43/G
play,3,0,430936,,,8/F
play,3,0,472923,,,S3/G
play,3,0,430937,,,K+CS2
play,3,1,435408,,,7/F
play,3,1,453911,,,S7/G
play,3,1,451668,,,HP.1-2
play,3,1,466320,,,NP
sub,447670,JT Stotts,1,2,12
play,3,1,466320,,,WP.1-2;2-3
play,3,1,466320,,,9/SF.2-3;3-H
play,3,1,455167,,,S7/G.3-H
play,3,1,449080,,,3/G
play,4,0,456422,,,NP
sub,447670,JT Stotts,1,2,4
play,4,0,456422,,,43/G
play,4,0,434562,,,53/G
play,4,0,453461,,,K
play,4,1,150202,,,43/G
play,4,1,462375,,,9/F
play,4,1,450363,,,43/G
play,5,0,457859,,,63/G
play,5,0,407913,,,K
play,5,0,425494,,,K
play,5,1,435408,,,8/F
play,5,1,453911,,,W
play,5,1,447670,,,W.1-2
play,5,1,466320,,,9/L
play,5,1,455167,,,PB.1-2;2-3
play,5,1,455167,,,W
play,5,1,449080,,,K
play,6,0,430936,,,43/G
play,6,0,472923,,,5/PF
play,6,0,430937,,,K
play,6,1,150202,,,K
play,6,1,462375,,,8/F
play,6,1,450363,,,43/G
play,7,0,456422,,,63/G
play,7,0,434562,,,9/F
play,7,0,453461,,,63/G
play,7,1,435408,,,NP
sub,447787,Felix Villegas,0,0,1
play,7,1,435408,,,13/G
play,7,1,453911,,,D8/F
play,7,1,447670,,,S9/L.2-3
play,7,1,466320,,,E3.1-2;3-H
play,7,1,455167,,,S8/G.1-2;2-H
play,7,1,449080,,,S8/G.1-2;2-3
play,7,1,150202,,,D9/F.1-3;2-H;3-H
play,7,1,462375,,,43/G
play,7,1,450363,,,9/F
play,8,0,457859,,,K
play,8,0,407913,,,K
play,8,0,425494,,,8/F
play,8,1,435408,,,NP
sub,437729,Jeff Wilson,0,0,1
play,8,1,435408,,,HP
play,8,1,453911,,,S7/G.1-2
play,8,1,447670,,,W.1-2;2-3
play,8,1,466320,,,3/G.1-2;2-3;3-H
play,8,1,455167,,,W
play,8,1,449080,,,7/SF.3-H
play,8,1,150202,,,S8/G.1-2;2-3
play,8,1,462375,,,D8/F.1-3;2-H;3-H
play,8,1,450363,,,W
play,8,1,435408,,,6/P
play,9,0,430936,,,NP
sub,447797,Ben Julianel,1,0,1
play,9,0,430936,,,NP
sub,458504,Daniel Gonzalez,0,7,11
play,9,0,458504,,,S6/G
play,9,0,472923,,,D7/F.1-3
play,9,0,430937,,,NP
sub,454554,Jose Cortez,0,9,11
play,9,0,454554,,,W
play,9,0,456422,,,K
