id,VerFSL200504080
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2005/04/08
play,1,1,449159,,,S9/L.1-2
play,1,1,451188,,,8/F
play,1,1,448605,,,FC5/G.2X3(5)
play,2,0,456642,,,63/G
play,2,0,458245,,,5/P
play,2,0,465093,,,43/G
play,2,1,451588,,,S8/G
play,2,1,425767,,,FC6/G.1X2(64);B-1
play,2,1,454560,,,E6.1-2
play,2,1,451640,,,W.1-2;2-3
play,2,1,473234,,,S7/L.1-2;2-3;3-H
play,2,1,464341,,,E3.1-2;2-3;3-H
play,2,1,449159,,,31/G.1-2;2-3;3-H
play,2,1,451188,,,K
play,3,0,448692,,,53/G
play,3,0,471069,,,S7/G
play,3,0,445599,,,8/F
play,3,0,460590,,,4/P
play,3,1,448605,,,13/G
play,3,1,451588,,,K
play,3,1,425767,,,53/G
play,4,0,459383,,,D9/L
play,4,0,459718,,,S9/L.2-H;B-2(E9/TH)
play,4,0,456642,,,S9/L.2-H
play,4,0,458245,,,SB2
play,4,0,458245,,,K
play,4,0,465093,,,S5/BG.2-3
play,4,0,448692,,,31/G
play,4,0,471069,,,POCSH(252)
play,4,1,454560,,,8/F
play,4,1,451640,,,9/L
play,4,1,473234,,,9/F
play,5,0,445599,,,NP
sub,451173,Casey Hoorelbeke,1,0,1
play,5,0,471069,,,31/G
play,5,0,445599,,,63/G
play,5,0,460590,,,63/G
play,5,1,464341,,,NP
sub,451545,Brad Stiles,0,0,1
play,5,1,464341,,,S9/G
play,5,1,449159,,,W.1-2
play,5,1,451188,,,8/F
play,5,1,448605,,,K
play,5,1,451588,,,S8/G.2XH
play,6,0,459383,,,S9/L
play,6,0,459718,,,K
play,6,0,456642,,,K
play,6,0,458245,,,FC6/G.1X2(64)
play,6,1,425767,,,3/L
play,6,1,454560,,,43/G
play,6,1,451640,,,8/F
play,7,0,465093,,,8/F
play,7,0,448692,,,K
play,7,0,471069,,,43/G
play,7,1,473234,,,NP
sub,457502,Weston O'Brien,0,0,1
play,7,1,473234,,,6/L
play,7,1,464341,,,K
play,7,1,449159,,,K
play,8,0,445599,,,31/G
play,8,0,460590,,,S7/L
play,8,0,459383,,,7/F
play,8,0,459718,,,2/G
play,8,1,451188,,,NP
sub,451798,Kyle Boyer,0,7,7
play,8,1,451188,,,D7/L
play,8,1,448605,,,4/P
play,8,1,451588,,,S9/L.2-H
play,8,1,425767,,,NP
sub,451125,Mayke Cabrera,1,7,11
play,8,1,451125,,,S7/L.1-2
play,8,1,454560,,,W.1-2;2-3
play,8,1,451640,,,NP
sub,445944,Dominique Laurin,1,6,12
play,8,1,451640,,,K
play,8,1,473234,,,K
play,9,0,451798,,,NP
sub,445944,Dominique Laurin,1,6,3
play,9,0,458245,,,NP
sub,451125,Mayke Cabrera,1,7,10
play,9,0,465093,,,NP
sub,439913,Mike Rodriguez,1,0,1
play,9,0,451798,,,9/F
play,9,0,458245,,,8/F
play,9,0,465093,,,4/P
play,9,1,464341,,,NP
sub,462940,Juan Mateo,0,0,1
play,9,1,464341,,,8/F
play,9,1,449159,,,5/PF
play,9,1,451188,,,S6/G
play,9,1,448605,,,K
play,10,0,448692,,,NP
sub,448618,Kyle Wilson,1,0,1
play,10,0,448692,,,W
play,10,0,471069,,,SB2
play,10,0,471069,,,14/SH.2-3
play,10,0,445599,,,S9/L.3-H
play,10,0,460590,,,K+CS2
play,10,1,445944,,,K
play,10,1,451125,,,63/G
play,10,1,454560,,,NP
sub,431143,Edwin Bellorin,1,8,11
play,10,1,431143,,,7/F
id,VerFSL200504160
info,visteam,DayFSL
info,hometeam,VerFSL
info,date,2005/04/16
start,448692,Chris Walker,0,1,8
start,471069,Carlos Rojas,0,2,6
start,445599,Scott Moore,0,3,5
start,460590,Brian Dopirak,0,4,3
start,459383,Kevin Collins,0,5,10
start,459718,JJ Johnson,0,6,9
start,451798,Kyle Boyer,0,7,7
start,444844,Jake Fox,0,8,2
start,447638,Issmael Salas,0,9,4
start,445156,Sean Marshall,0,0,1
start,464341,Chin-lung Hu,1,1,6
start,473234,Tony Abreu,1,2,4
start,449159,Anthony Raglani,1,3,9
start,451188,Andy LaRoche,1,4,5
start,451588,Cory Dunlap,1,5,10
start,431143,Edwin Bellorin,1,6,2
start,451125,Mayke Cabrera,1,7,3
start,425767,Mike Nixon,1,8,7
start,451640,Ryan Russ,1,9,8
start,467004,Jonathan Figueroa,1,0,1
play,1,0,448692,,,13/BG
play,1,0,471069,,,S8/G
play,1,0,445599,,,6(1)3/G6/GDP
play,1,1,464341,,,43/G
play,1,1,473234,,,W
play,1,1,449159,,,W.1-2
play,1,1,451188,,,CS3
play,1,1,451188,,,W.1-2
play,1,1,451588,,,43/G
play,2,0,460590,,,S7/G
play,2,0,459383,,,7/F
play,2,0,459718,,,9/F
play,2,0,451798,,,S7/G.1-2
play,2,0,444844,,,3/PF
play,2,1,431143,,,S9/L
play,2,1,451125,,,W.1-2
play,2,1,425767,,,S7/G.1-2;2-H
play,2,1,451640,,,W.1-2;2-3
play,2,1,464341,,,64(1)3/GDP/G6.2-3;3-H
play,2,1,473234,,,63/G
play,3,0,447638,,,13/G
play,3,0,448692,,,63/G
play,3,0,471069,,,7/F
play,3,1,449159,,,K
play,3,1,451188,,,4/L
play,3,1,451588,,,43/G
play,4,0,445599,,,W
play,4,0,460590,,,S7/G.1-2
play,4,0,459383,,,K
play,4,0,459718,,,43/G.1-2;2-3
play,4,0,451798,,,K
play,4,1,431143,,,NP
sub,448694,Randy Wells,0,0,1
play,4,1,431143,,,9/F
play,4,1,451125,,,K
play,4,1,425767,,,W
play,4,1,451640,,,43/G
play,5,0,444844,,,W
play,5,0,447638,,,S9/G.1-3
play,5,0,448692,,,9/F
play,5,0,471069,,,34/G.1-2;3-H
play,5,0,445599,,,W
play,5,0,460590,,,13/G
play,5,1,464341,,,K
play,5,1,473234,,,S9/F
play,5,1,449159,,,2/PF
play,5,1,451188,,,K
play,6,0,459383,,,NP
sub,445950,Chad Bailey,1,0,1
play,6,0,459383,,,S9/F
play,6,0,459718,,,CS2
play,6,0,459718,,,K
play,6,0,451798,,,63/G
play,6,1,451588,,,8/F
play,6,1,431143,,,4/P
play,6,1,451125,,,S8/L
play,6,1,425767,,,K
play,7,0,444844,,,S7/L
play,7,0,447638,,,K
play,7,0,448692,,,K
play,7,0,471069,,,W.1-2
play,7,0,445599,,,NP
sub,456514,Mark Alexander,1,0,1
play,7,0,445599,,,43/G
play,7,1,451640,,,13/G
play,7,1,464341,,,7/F
play,7,1,473234,,,5/L
play,8,0,460590,,,D7/F
play,8,0,459383,,,K
play,8,0,459718,,,K
play,8,0,451798,,,K
play,8,1,449159,,,S9/L
play,8,1,451188,,,3(B)3(1)/LDP
play,8,1,451588,,,8/F
play,9,0,444844,,,43/G
play,9,0,447638,,,K
play,9,0,448692,,,K
id,VerFSL200504180
info,visteam,PalFSL
info,hometeam,VerFSL
info,date,2005/04/18
