id,MidTEX200604160
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/16
start,458006,Matt Albers,0,0,1
start,445158,Eduardo Cornejo,1,1,4
start,444912,Ronnie MerrillJr.,1,2,6
start,456035,Danny Putnam,1,3,7
start,450196,Brant Colamarino,1,4,3
start,435559,Kurt Suzuki,1,5,2
start,461759,Jed Morris,1,6,9
start,460607,Vasili Spanos,1,7,10
start,435561,Brian Snyder,1,8,5
start,460183,Lloyd Turner,1,9,8
start,455007,Benjamin Fritz,1,0,1
play,1,0,461811,,,43/G
play,1,0,450314,,,E4
play,1,0,452254,,,CS2
play,1,0,452254,,,S4/G
play,1,0,407399,,,9/F
play,1,1,445158,,,13/G
play,1,1,444912,,,31/G
play,1,1,456035,,,K
play,2,0,455650,,,63/G
play,2,0,437912,,,43/G
play,2,0,433593,,,7/F
play,2,1,450196,,,W
play,2,1,435559,,,FC4/G.1X2(46);B-1
play,2,1,461759,,,K
play,2,1,460607,,,SB2
play,2,1,460607,,,K
play,3,0,456757,,,9/F
play,3,0,444443,,,7/F
play,3,0,461811,,,S7/L
play,3,0,450314,,,CS2
play,3,1,435561,,,2/PF
play,3,1,460183,,,43/G
play,3,1,445158,,,W
play,3,1,444912,,,S9/L.1-3
play,3,1,456035,,,43/G
play,4,0,450314,,,W
play,4,0,452254,,,E4.1-2
play,4,0,407399,,,S7/G.1-2;2-H
play,4,0,455650,,,S9/G.1-3;2-H
play,4,0,437912,,,K
play,4,0,433593,,,S9/G.1-3;3-H
play,4,0,456757,,,5/L
play,4,0,444443,,,POCS2(134)
play,4,1,450196,,,43/G
play,4,1,435559,,,63/G
play,4,1,461759,,,8/F
play,5,0,444443,,,S9/L
play,5,0,461811,,,13/LDP/BP1.1X1
play,5,0,450314,,,K
play,5,1,460607,,,7/F
play,5,1,435561,,,K
play,5,1,460183,,,53/G
play,6,0,452254,,,HR/L
play,6,0,407399,,,9/F
play,6,0,455650,,,K
play,6,0,437912,,,63/G
play,6,1,445158,,,D7/F
play,6,1,444912,,,43/G.2-3
play,6,1,456035,,,63/G.3-H
play,6,1,450196,,,43/G
play,7,0,433593,,,NP
sub,452075,Connor Robertson,1,0,1
play,7,0,433593,,,43/G
play,7,0,456757,,,K
play,7,0,444443,,,7/F
play,7,1,435559,,,63/G
play,7,1,461759,,,7/F
play,7,1,460607,,,S8/G
play,7,1,435561,,,D8/L.1-H
play,7,1,460183,,,13/G
play,8,0,461811,,,43/G
play,8,0,450314,,,8/F
play,8,0,452254,,,S5/G
play,8,0,407399,,,CS2
play,8,1,445158,,,NP
sub,460639,Jailen Peguero,0,0,1
play,8,1,445158,,,7/F
play,8,1,444912,,,W
play,8,1,456035,,,5/L
play,8,1,450196,,,SB2(E2/TH)
play,8,1,450196,,,K
play,9,0,455650,,,NP
sub,455041,Alex Santos,1,0,1
play,9,0,407399,,,63/G
play,9,0,455650,,,W
play,9,0,437912,,,8/F
play,9,0,433593,,,9/F
play,9,1,435559,,,63/G
play,9,1,461759,,,43/G
play,9,1,460607,,,HP
