id,BoiNWL200506260
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/26
play,5,0,488660,,,SB2
play,5,0,488660,,,W
play,5,0,460323,,,K
play,5,0,488773,,,S7/F.1X2(76)
play,5,1,472505,,,5/P
play,5,1,488972,,,5/P
play,5,1,460609,,,S9/F
play,5,1,488922,,,CS2
play,6,0,457698,,,53/G
play,6,0,489339,,,63/G
play,6,0,489714,,,63/G
play,6,1,488922,,,S5/G.B-3(E5/TH)
play,6,1,461861,,,13/G
play,6,1,453947,,,63/G.3-H
play,6,1,489356,,,8/F
play,7,0,471055,,,NP
sub,434883,Luke Hagerty,1,0,1
play,7,0,471055,,,W
play,7,0,455107,,,SB2
play,7,0,455107,,,W
play,7,0,489245,,,SH.1-2;2-3;B-1
play,7,0,488660,,,E6.1-2;2-3;3-H
play,7,0,460323,,,WP.1-2;2-3;3-H
play,7,0,460323,,,K
play,7,0,488773,,,S9/F.2-H;3-H
play,7,0,457698,,,S6/G.1-2
play,7,0,489339,,,NP
sub,453517,Jonathan Hunton,1,0,1
play,7,0,489339,,,6/P
play,7,0,489714,,,K
play,7,1,473222,,,NP
sub,451094,Phil Polanco,0,0,1
play,7,1,473222,,,13/G
play,7,1,448293,,,S4/G
play,7,1,472505,,,D9/F.1-H
play,7,1,488972,,,53/G
play,7,1,460609,,,7/F
play,8,0,471055,,,K
play,8,0,455107,,,7/F
play,8,0,489245,,,K23
play,8,1,488922,,,5/L
play,8,1,461861,,,31/G
play,8,1,453947,,,HP
play,8,1,489356,,,K
play,9,0,488660,,,NP
sub,456092,Edgar Baez,1,0,1
play,9,0,488660,,,W
play,9,0,460323,,,W.1-2
play,9,0,488773,,,D7/F.1-3;2-H
play,9,0,457698,,,53/G
play,9,0,489339,,,T8/F.2-H;3-H
play,9,0,489714,,,W
play,9,0,471055,,,NP
sub,446924,Victor Ramos,1,0,1
play,9,0,471055,,,3/G.1-2;3-H
play,9,0,455107,,,K
play,9,1,473222,,,NP
sub,464946,Alfredo Fernandez,0,0,1
play,9,1,473222,,,63/G
play,9,1,448293,,,53/G
play,9,1,472505,,,4/P
id,BoiNWL200506290
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/29
start,488660,Joshua Alley,0,1,8
start,460323,Jodam Rivera,0,2,4
start,488773,Brian Cavanaugh,0,3,10
start,457698,Drew Davidson,0,4,7
start,489339,Chad Steiner,0,5,5
start,489714,Brandon Gottier,0,6,2
start,471055,Santiago Guerrero,0,7,9
start,455107,Daryl Jones,0,8,3
start,489245,Billy Richardson,0,9,6
start,458149,Arnold Hughey,0,0,1
start,488922,David Gregg,1,1,8
start,461861,Mark Reed,1,2,2
start,453947,Chris Gaskin,1,3,3
start,467061,Elvin Puello,1,4,5
start,445208,Jeff Culpepper,1,5,9
start,448293,Alfred Joseph,1,6,7
start,472505,Jesus Valdez,1,7,10
start,470466,Jonathan Mota,1,8,6
start,460609,Jose Rios,1,9,4
start,444444,Mitch Atkins,1,0,1
play,1,0,488660,,,43/G
play,1,0,460323,,,D9/F
play,1,0,488773,,,K
play,1,0,457698,,,WP.2-3
play,1,0,457698,,,W
play,1,0,489339,,,8/F
play,1,1,488922,,,D7/F
play,1,1,461861,,,43/G.2-3
play,1,1,453947,,,D9/F.3-H
play,1,1,467061,,,K
play,1,1,445208,,,7/F
play,2,0,489714,,,13/G
play,2,0,471055,,,S5/BG
play,2,0,455107,,,SB2
play,2,0,455107,,,7/F
play,2,0,489245,,,K
play,2,1,448293,,,K
play,2,1,472505,,,K23
play,2,1,470466,,,K
play,3,0,488660,,,S5/G.B-2(E5/TH)
play,3,0,460323,,,14/G.2-3
play,3,0,488773,,,K
play,3,0,457698,,,HR/F.3-H
play,3,0,489339,,,S7/L
play,3,0,489714,,,HP.1-2
play,3,0,471055,,,FC5/G.2X3(5)
play,3,1,460609,,,3/P
play,3,1,488922,,,S1/BG
play,3,1,461861,,,SB2
play,3,1,461861,,,SB3
play,3,1,461861,,,K
play,3,1,453947,,,43/G
play,4,0,455107,,,E5
play,4,0,489245,,,2/PF
play,4,0,488660,,,53/G.1-2
play,4,0,460323,,,43/G
play,4,1,467061,,,D9/F
play,4,1,445208,,,W
play,4,1,448293,,,K
play,4,1,472505,,,WP.1-2;2-3
play,4,1,472505,,,E4.2-3;3-H;B-2(E)
play,4,1,470466,,,W
play,4,1,460609,,,4/P
play,4,1,488922,,,K
play,5,0,488773,,,W
play,5,0,457698,,,BK.1-2
play,5,0,457698,,,HP
play,5,0,489339,,,NP
sub,459894,Jeffrey Teasley,1,0,1
play,5,0,489339,,,S8/G.1-2;2-H
play,5,0,489714,,,53/SH.1-2;2-3
play,5,0,471055,,,W
play,5,0,455107,,,6/P
play,5,0,489245,,,HR/F.1-H;2-H;3-H
play,5,0,488660,,,W
play,5,0,460323,,,K
play,5,1,461861,,,S8/G
play,5,1,453947,,,E6.1-2
play,5,1,467061,,,9/F.2-3
