id,LanCAL200604140
info,visteam,RanCAL
info,hometeam,LanCAL
info,date,2006/04/14
play,1,1,452759,,,43/G
play,2,0,457555,,,K
play,2,0,454550,,,53/G
play,2,0,488888,,,K
play,2,1,471865,,,W
play,2,1,459446,,,E5.1-2
play,2,1,489277,,,7/F
play,2,1,placeholder,,,POCS3(?)
play,2,1,448602,,,W.1-2
play,2,1,469085,,,K
play,3,0,489432,,,S3/BG
play,3,0,457908,,,SB2
play,3,0,457908,,,1/P
play,3,0,444961,,,S9/L.2-H
play,3,0,458640,,,S7/L.1-2
play,3,0,451494,,,9/F.2-3
play,3,0,468406,,,9/F
play,3,1,466988,,,8/F
play,3,1,473922,,,DGR/F7
play,3,1,446868,,,S4/G.2-3
play,3,1,452759,,,K
play,3,1,471865,,,153/G1
play,4,0,457555,,,63/G
play,4,0,454550,,,43/G
play,4,0,488888,,,D9/F
play,4,0,489432,,,53/G
play,4,1,459446,,,S9/L
play,4,1,489277,,,S7/L.1-2
play,4,1,448602,,,HR/F.1-H;2-H
play,4,1,469085,,,D7/L
play,4,1,466988,,,S1/BG.2-3
play,4,1,473922,,,64(1)3/GDP/G6.3-H
play,4,1,446868,,,3/G
play,5,0,457908,,,W
play,5,0,444961,,,64(1)3/GDP/G6
play,5,0,458640,,,53/G
play,5,1,452759,,,NP
sub,454571,Ryan Fox,0,0,1
play,5,1,452759,,,8/F
play,5,1,471865,,,43/G
play,5,1,459446,,,S5/G.BX2(534)
play,6,0,451494,,,7/F
play,6,0,468406,,,9/F
play,6,0,457555,,,8/F
play,6,1,489277,,,NP
sub,457935,Matt Daley,0,0,1
play,6,1,489277,,,8/F
play,6,1,448602,,,K
play,6,1,469085,,,K
play,7,0,454550,,,D9/G
play,7,0,488888,,,53/SH.2-3
play,7,0,489432,,,43/G.3-H
play,7,0,457908,,,9/FF
play,7,1,466988,,,53/G
play,7,1,473922,,,43/G
play,7,1,446868,,,43/G
play,8,0,444961,,,NP
sub,448600,Daniel Pohlman,1,0,1
play,8,0,444961,,,S4/G
play,8,0,458640,,,K
play,8,0,451494,,,W.1-2
play,8,0,468406,,,K
play,8,0,457555,,,HP.1-2;2-3
play,8,0,454550,,,NP
sub,460253,Justin Nelson,0,8,11
play,8,0,460253,,,S9/L.1-3;2-H;3-H
play,8,0,488888,,,S8/L.1-3;3-H
play,8,0,489432,,,13/G
play,8,1,452759,,,NP
sub,457908,Jeffrey Dragicevich,0,2,3
play,8,1,471865,,,NP
sub,469752,Jose Valdez,0,8,5
play,8,1,459446,,,NP
sub,457489,Darren Clarke,0,0,1
play,8,1,452759,,,HR/F
play,8,1,471865,,,43/G
play,8,1,459446,,,9/F
play,8,1,489277,,,63/G
play,9,0,457908,,,NP
sub,445087,Jared Doyle,1,0,1
play,9,0,457908,,,K
play,9,0,444961,,,63/G
play,9,0,458640,,,K
play,9,1,448602,,,NP
sub,456378,Scott Beerer,0,0,1
play,9,1,448602,,,31/G
play,9,1,469085,,,NP
sub,446404,Joshua Ford,1,8,11
play,9,1,446404,,,S9/L
play,9,1,placeholder,,,NP
sub,451576,Derek Bruce,1,8,12
play,9,1,466988,,,W.1-2
play,9,1,473922,,,K
play,9,1,446868,,,4/P
id,LanCAL200604200
info,visteam,ModCAL
info,hometeam,LanCAL
info,date,2006/04/20
start,489432,Corey Wimberly,0,1,4
start,458640,Doc Brooks,0,2,9
start,444961,Matthew Miller,0,3,8
start,457555,Kyle Wilson,0,4,10
start,460253,Justin Nelson,0,5,7
start,454550,Duke Sardinha,0,6,3
start,471014,Sandy Almonte,0,7,6
start,469752,Jose Valdez,0,8,5
start,454574,Rick Guarno,0,9,2
start,496726,Humberto Cardenas,0,0,1
start,446868,Wilkin Castillo,1,1,10
start,466988,Emilio Bonifacio,1,2,4
start,473922,Chris Rahl,1,3,7
start,471865,Carlos Gonzalez,1,4,9
start,459446,Cesar Nicolas,1,5,3
start,489277,Rusty Ryal,1,6,5
start,446404,Joshua Ford,1,7,2
start,448146,Jereme Milons,1,8,8
start,451576,Derek Bruce,1,9,6
start,449821,Kellen Raab,1,0,1
play,1,0,489432,,,HP
play,1,0,458640,,,SB2
play,1,0,458640,,,9/F
play,1,0,444961,,,D8/L.2-H
play,1,0,457555,,,K
play,1,0,460253,,,7/F
play,1,1,446868,,,43/G
play,1,1,466988,,,S6/G
play,1,1,473922,,,S8/G.1-3
play,1,1,471865,,,46(1)3/GDP/G4
play,2,0,454550,,,53/G
play,2,0,471014,,,S8/L.B-2(E8)
play,2,0,469752,,,43/G.2-3
play,2,0,454574,,,13/G
play,2,1,459446,,,HR/F
play,2,1,489277,,,K
play,2,1,446404,,,S7/G
play,2,1,448146,,,S7/G.1-2
play,2,1,451576,,,S9/G.1-2;2-3
play,2,1,446868,,,9/SF.3-H
play,2,1,466988,,,7/F
play,3,0,489432,,,S7/G
play,3,0,458640,,,9/F
play,3,0,444961,,,SB2
play,3,0,444961,,,W
play,3,0,457555,,,S7/G.1-2;2-H
play,3,0,460253,,,S8/G.1-2;2-H
play,3,0,454550,,,HR/F.1-H;2-H
play,3,0,471014,,,S7/G
play,3,0,469752,,,S7/G.1-2
play,3,0,454574,,,S7/L.1-2;2-H
play,3,0,489432,,,NP
sub,448157,Ryan Coffin,1,0,1
play,3,0,489432,,,FC6/G.1X2(64);2-3;B-1
play,3,0,458640,,,53/G
play,3,1,473922,,,9/F
play,3,1,471865,,,3/G
play,3,1,459446,,,3/P
play,4,0,444961,,,NP
sub,452759,Brandon Burgess,1,4,9
play,4,0,444961,,,HR/F
play,4,0,457555,,,K
play,4,0,460253,,,7/F
play,4,0,454550,,,43/G
play,4,1,489277,,,T7/F
play,4,1,446404,,,S8/G.3-H
play,4,1,448146,,,FC6/G.1X2(64);B-1
play,4,1,451576,,,36(1)1/GDP/G3
play,5,0,471014,,,S7/F
play,5,0,469752,,,CS2
play,5,0,469752,,,9/F
play,5,0,454574,,,K
play,5,1,446868,,,63/G
play,5,1,466988,,,S7/L
play,5,1,473922,,,6(1)3/G6/GDP
play,6,0,489432,,,NP
sub,446938,Hipolito Guerrero,1,0,1
play,6,0,489432,,,HR/F
play,6,0,458640,,,63/G
play,6,0,444961,,,HR/F
play,6,0,457555,,,E5/TH
play,6,0,460253,,,3(1)6/G3/GDP
play,6,1,452759,,,31/G
play,6,1,459446,,,7/F
play,6,1,489277,,,D8/F
play,6,1,446404,,,S9/L.2-H
play,6,1,448146,,,K
play,7,0,454550,,,43/G
play,7,0,471014,,,8/L
play,7,0,469752,,,1/P
play,7,1,451576,,,S9/G
play,7,1,446868,,,S8/G.1-2
play,7,1,466988,,,FC6/G.1X2(64);2-3;B-1
play,7,1,473922,,,8/SF.3-H
play,7,1,452759,,,SB2
play,7,1,452759,,,W
play,7,1,459446,,,NP
sub,454571,Ryan Fox,0,0,1
play,7,1,459446,,,SB3;SB2
play,7,1,459446,,,W
play,7,1,489277,,,W.1-2;2-3;3-H
play,7,1,446404,,,D7/F.1-3;2-H;3-H
play,7,1,448146,,,NP
sub,457489,Darren Clarke,0,0,1
play,7,1,448146,,,W
play,7,1,451576,,,K
play,8,0,454574,,,NP
sub,452759,Brandon Burgess,1,4,9
play,8,0,454574,,,S8/L
play,8,0,489432,,,14/SH.1-2
play,8,0,458640,,,W
play,8,0,444961,,,NP
sub,458220,Esmerling Vasquez,1,0,1
play,8,0,444961,,,41/G.1-2;2-3
play,8,0,457555,,,E7.2-H;3-H
play,8,0,460253,,,3/G
play,8,1,446868,,,K
play,8,1,466988,,,8/F
play,8,1,473922,,,63/G
play,9,0,454550,,,53/G
play,9,0,471014,,,13/G
play,9,0,469752,,,W
play,9,0,454574,,,K
play,9,1,452759,,,NP
sub,460374,Adam Bright,0,0,1
play,9,1,452759,,,63/G
play,9,1,459446,,,63/G
play,9,1,489277,,,W
id,LanCAL200604250
info,visteam,VisCAL
info,hometeam,LanCAL
info,date,2006/04/25
start,445010,Fernando Perez,0,1,8
start,458582,Reid Brignac,0,2,6
start,458895,Shaun Cumberland,0,3,9
start,450207,Josh Arhart,0,4,2
start,444379,John Jaso,0,5,10
start,449878,Chris Nowak,0,6,3
start,446541,Patrick Breen,0,7,7
start,457848,Kris Dufner,0,8,4
start,456535,Patrick Cottrell,0,9,5
start,448167,Brandon Mann,0,0,1
start,466988,Emilio Bonifacio,1,1,4
start,473922,Chris Rahl,1,2,8
start,471865,Carlos Gonzalez,1,3,9
start,452759,Brandon Burgess,1,4,7
start,448602,Mark Reynolds,1,5,10
start,446404,Joshua Ford,1,6,2
start,469085,Javier Brito,1,7,3
start,489277,Rusty Ryal,1,8,5
start,451576,Derek Bruce,1,9,6
start,449821,Kellen Raab,1,0,1
play,1,0,445010,,,S8/G
play,1,0,458582,,,9/F
play,1,0,458895,,,SB2
play,1,0,458895,,,W
play,1,0,450207,,,S9/G.1-2;2-3
play,1,0,444379,,,46(1)3/GDP/G4
play,1,1,placeholder,,,NP
sub,457470,Joey Reiman,0,4,2
play,1,1,466988,,,D9/F
play,1,1,473922,,,S7/L.2-3
play,1,1,471865,,,W.1-2
play,1,1,452759,,,FC5/G.1-2;2-3;3XH(52);B-1
play,1,1,448602,,,HR/F.1-H;2-H;3-H
play,1,1,446404,,,9/F
play,1,1,469085,,,HR/F
play,1,1,489277,,,K
play,2,0,449878,,,43/G
play,2,0,446541,,,D7/F
play,2,0,457848,,,K
play,2,0,456535,,,K
play,2,1,451576,,,K
play,2,1,466988,,,63/G
play,2,1,473922,,,S5/G
play,2,1,471865,,,K
play,3,0,445010,,,S9/G
play,3,0,458582,,,FC6/G.1X2(64);B-1
play,3,0,458895,,,53/G.1-2
